datetime,Hydro pumped storage consumption,Battery Consumption,Cross border electricity trading,Hydro Run-of-River,Biomass,Fossil hard coal,Fossil oil,Fossil coal-derived gas,Fossil gas,Geothermal,Hydro water reservoir,Hydro pumped storage,Battery,Others,Waste,Wind offshore,Wind onshore,Solar,Load,Residual load,Renewable share of load,Renewable share of generation
2026-05-19 00:00:00,,0.0,5612.6,2749.0,379.0,,8.0,377.0,12072.0,574.0,257.0,,3.0,1733.0,,0.0,2314.0,0.0,26002.0,23688.0,24.1,30.7
2026-05-19 00:15:00,,0.0,6004.8,2695.0,380.0,,8.0,380.0,10566.0,574.0,270.0,,0.0,1732.0,,0.0,2387.0,0.0,25629.0,23242.0,24.6,33.2
2026-05-19 00:30:00,,,5794.5,2684.0,379.0,,8.0,381.0,10038.0,574.0,300.0,,,1734.0,,0.0,2529.0,0.0,25003.0,22474.0,25.9,34.7
2026-05-19 00:45:00,,,5626.6,2708.0,383.0,,8.0,380.0,9976.0,574.0,290.0,,,1734.0,,0.0,2625.0,0.0,24822.0,22197.0,26.5,35.2
2026-05-19 01:00:00,,,5586.0,2674.0,382.0,,8.0,377.0,10017.0,574.0,248.0,,,1733.0,,0.0,2699.0,0.0,24655.0,21956.0,26.7,35.1
2026-05-19 01:15:00,,,5551.0,2645.0,380.0,,8.0,383.0,9922.0,574.0,230.0,,,1729.0,,0.0,2796.0,0.0,24356.0,21560.0,27.2,35.5
2026-05-19 01:30:00,,,5554.0,2608.0,383.0,,8.0,380.0,9623.0,574.0,229.0,,,1722.0,,0.0,2934.0,0.0,24113.0,21179.0,27.9,36.4
2026-05-19 01:45:00,,,5557.0,2603.0,385.0,,8.0,381.0,9373.0,574.0,214.0,,,1729.0,,0.0,3044.0,0.0,23788.0,20744.0,28.7,37.2
2026-05-19 02:00:00,,,5209.3,2579.0,383.0,,8.0,378.0,9481.0,574.0,190.0,,,1734.0,,0.0,3084.0,0.0,23911.0,20827.0,28.5,37.0
2026-05-19 02:15:00,,,5206.0,2573.0,382.0,,8.0,383.0,9306.0,574.0,190.0,,,1733.0,,0.0,3085.0,0.0,23687.0,20602.0,28.7,37.3
2026-05-19 02:30:00,,,5337.0,2575.0,379.0,,8.0,382.0,9233.0,574.0,190.0,,,1732.0,,0.0,3010.0,0.0,23521.0,20511.0,28.6,37.2
2026-05-19 02:45:00,,,5236.0,2571.0,376.0,,8.0,382.0,9260.0,573.0,188.0,,,1733.0,,0.0,2959.0,0.0,23551.0,20592.0,28.3,36.9
2026-05-19 03:00:00,,,5438.0,2603.0,363.0,,8.0,382.0,9229.0,574.0,170.0,,,1730.0,,0.0,2937.0,0.0,23522.0,20585.0,28.3,36.9
2026-05-19 03:15:00,,,5439.0,2572.0,364.0,,8.0,382.0,9016.0,573.0,170.0,,,1728.0,,0.0,2913.0,0.0,23302.0,20389.0,28.3,37.2
2026-05-19 03:30:00,,,5444.0,2561.0,362.0,,8.0,381.0,9107.0,573.0,170.0,,,1725.0,,0.0,2882.0,0.0,23359.0,20477.0,28.0,36.9
