Data-Ora,Consumo
13/01/2014-00:00:00,159.69079240488594
13/01/2014-00:01:00,157.57258951493736
13/01/2014-00:02:00,156.43177954676247
13/01/2014-00:03:00,157.80456362420688
13/01/2014-00:04:00,155.25557481671868
13/01/2014-00:05:00,155.97603741883583
13/01/2014-00:06:00,154.0221335607892
13/01/2014-00:07:00,154.97984105684003
13/01/2014-00:08:00,153.24874019162291
13/01/2014-00:09:00,157.54703810669423
13/01/2014-00:10:00,140.04794352331635
13/01/2014-00:11:00,91.05877833814196
13/01/2014-00:12:00,91.73610962124448
13/01/2014-00:13:00,87.03117399276714
13/01/2014-00:14:00,90.81753575117035
13/01/2014-00:15:00,90.01974157168831
13/01/2014-00:16:00,97.51922419994912
13/01/2014-00:17:00,87.41858237472499
13/01/2014-00:18:00,94.47235434560042
13/01/2014-00:19:00,92.04147290983714
13/01/2014-00:20:00,92.66810972718616
13/01/2014-00:21:00,94.83654061703491
13/01/2014-00:22:00,85.2863257503805
13/01/2014-00:23:00,73.10051820911636
13/01/2014-00:24:00,92.13655873951704
13/01/2014-00:25:00,95.9341357042417
13/01/2014-00:26:00,110.24745420533156
13/01/2014-00:27:00,112.11612392865516
13/01/2014-00:28:00,105.60932771401576
13/01/2014-00:29:00,106.01536607007786
13/01/2014-00:30:00,109.31972544610302
13/01/2014-00:31:00,93.75132594928428
13/01/2014-00:32:00,111.0268489446345
13/01/2014-00:33:00,81.85097542834399
13/01/2014-00:34:00,119.22138361593272
13/01/2014-00:35:00,146.37771276775788
13/01/2014-00:36:00,166.04114703290742
13/01/2014-00:37:00,178.25136003992873
13/01/2014-00:38:00,176.89790396966245
13/01/2014-00:39:00,167.19912942291808
13/01/2014-00:40:00,176.06675071920995
13/01/2014-00:41:00,358.89802763486034
13/01/2014-00:42:00,420.8178951824953
13/01/2014-00:43:00,408.4760745737282
13/01/2014-00:44:00,402.07350037469337
13/01/2014-00:45:00,397.652605849283
13/01/2014-00:46:00,206.3537842504712
13/01/2014-00:47:00,103.41994315875174
13/01/2014-00:48:00,107.00667713660846
13/01/2014-00:49:00,107.38258005786012
13/01/2014-00:50:00,107.07338997555384
13/01/2014-00:51:00,107.63077484604943
13/01/2014-00:52:00,98.11958949078762
13/01/2014-00:53:00,95.04378720452624
13/01/2014-00:54:00,94.41188369365804
13/01/2014-00:55:00,88.95529267619747
13/01/2014-00:56:00,90.68398065027571
13/01/2014-00:57:00,88.51017670327695
13/01/2014-00:58:00,90.87413174843016
13/01/2014-00:59:00,90.41905550663468
13/01/2014-01:00:00,87.81421780139101
13/01/2014-01:01:00,78.41732824677035
13/01/2014-01:02:00,24.277943060615776
13/01/2014-01:03:00,26.94138033284742
13/01/2014-01:04:00,26.96266391490849
13/01/2014-01:05:00,26.169820662469
13/01/2014-01:06:00,29.68846349966472
13/01/2014-01:07:00,27.126715624970217
13/01/2014-01:08:00,29.80491754602185
13/01/2014-01:09:00,29.47246439371123
13/01/2014-01:10:00,26.419756493361508
13/01/2014-01:11:00,29.87204134317112
13/01/2014-01:12:00,27.32200657375456
13/01/2014-01:13:00,29.795106968354304
13/01/2014-01:14:00,29.633818652026594
13/01/2014-01:15:00,27.285094187841864
13/01/2014-01:16:00,29.489191831589338
13/01/2014-01:17:00,24.68609144762417
13/01/2014-01:18:00,25.030943208763325
13/01/2014-01:19:00,24.87885548266632
13/01/2014-01:20:00,24.92881273376064
13/01/2014-01:21:00,24.87726479367217
13/01/2014-01:22:00,25.008793748292646
13/01/2014-01:23:00,24.92043576352069
13/01/2014-01:24:00,24.94891335278772
13/01/2014-01:25:00,24.97459292638992
13/01/2014-01:26:00,24.916574824508047
13/01/2014-01:27:00,24.5440064357308
13/01/2014-01:28:00,26.248858650583603
13/01/2014-01:29:00,40.26925222263397
13/01/2014-01:30:00,67.36605011090624
13/01/2014-01:31:00,88.41994703544127
13/01/2014-01:32:00,96.61354362837724
13/01/2014-01:33:00,96.53058874968976
13/01/2014-01:34:00,97.5583418707984
13/01/2014-01:35:00,98.3848200224814
13/01/2014-01:36:00,99.16133145060728
13/01/2014-01:37:00,99.50037391666986
13/01/2014-01:38:00,100.49535333363472
13/01/2014-01:39:00,98.56918006956911
13/01/2014-01:40:00,95.90550081584244
13/01/2014-01:41:00,95.23568435854595
13/01/2014-01:42:00,93.853153299164
13/01/2014-01:43:00,92.66798537466484
13/01/2014-01:44:00,49.35229172187985
13/01/2014-01:45:00,14.58614044801078
13/01/2014-01:46:00,14.658212458723792
13/01/2014-01:47:00,47.18892919127402
13/01/2014-01:48:00,87.40754872268802
13/01/2014-01:49:00,87.6015819225352
13/01/2014-01:50:00,113.56088888362072
13/01/2014-01:51:00,141.3652663796535
13/01/2014-01:52:00,151.12318107760663
13/01/2014-01:53:00,145.5750889856303
13/01/2014-01:54:00,151.90837611567676
13/01/2014-01:55:00,142.48241685662865
13/01/2014-01:56:00,129.6198224874179
13/01/2014-01:57:00,132.99296541305836
13/01/2014-01:58:00,123.38226107156208
13/01/2014-01:59:00,67.3572941003749
13/01/2014-02:00:00,69.02206897882981
13/01/2014-02:01:00,1695.9104643383023
13/01/2014-02:02:00,1943.1061375414668
13/01/2014-02:03:00,1926.736846915334
13/01/2014-02:04:00,1929.633768952376
13/01/2014-02:05:00,1924.581563563784
13/01/2014-02:06:00,1925.6070430737457
13/01/2014-02:07:00,1928.329573272816
13/01/2014-02:08:00,1920.9656739187224
13/01/2014-02:09:00,1940.9106405406403
13/01/2014-02:10:00,1930.3230620399431
13/01/2014-02:11:00,1932.8321648206536
13/01/2014-02:12:00,1924.3325601663828
13/01/2014-02:13:00,1935.4892745181808
13/01/2014-02:14:00,1933.9851227858987
13/01/2014-02:15:00,1961.053196612436
13/01/2014-02:16:00,1949.484847746723
13/01/2014-02:17:00,1969.415468808838
13/01/2014-02:18:00,1998.802424498497
13/01/2014-02:19:00,1471.019249860742
13/01/2014-02:20:00,206.76084990308803
13/01/2014-02:21:00,202.7702402691547
13/01/2014-02:22:00,213.92666107821984
13/01/2014-02:23:00,276.5426023618849
13/01/2014-02:24:00,939.8735949696026
13/01/2014-02:25:00,2142.511097079086
13/01/2014-02:26:00,2133.3991090675945
13/01/2014-02:27:00,2143.07295407549
13/01/2014-02:28:00,2135.7873350669715
13/01/2014-02:29:00,2144.636697756144
13/01/2014-02:30:00,2124.5292581579897
13/01/2014-02:31:00,2129.328223919757
13/01/2014-02:32:00,2123.564924714665
13/01/2014-02:33:00,2126.253575045649
13/01/2014-02:34:00,2114.6509286609744
13/01/2014-02:35:00,2104.342610873277
13/01/2014-02:36:00,2114.529058424283
13/01/2014-02:37:00,2079.6982772811693
13/01/2014-02:38:00,2096.794640663956
13/01/2014-02:39:00,2031.967379882186
13/01/2014-02:40:00,198.64576895613465
13/01/2014-02:41:00,197.3979116681155
13/01/2014-02:42:00,195.68543432384408
13/01/2014-02:43:00,201.9149377707272
13/01/2014-02:44:00,177.6334664193141
13/01/2014-02:45:00,150.26891112543314
13/01/2014-02:46:00,149.92162800339852
13/01/2014-02:47:00,160.8078147027322
13/01/2014-02:48:00,164.0946319185374
13/01/2014-02:49:00,159.25924374187977
13/01/2014-02:50:00,163.49436801098133
13/01/2014-02:51:00,155.3373244979443
13/01/2014-02:52:00,164.81052332724002
13/01/2014-02:53:00,151.76869384534223
13/01/2014-02:54:00,145.88552673653638
13/01/2014-02:55:00,504.657340779516
13/01/2014-02:56:00,673.4226489964082
13/01/2014-02:57:00,1895.7000653773528
13/01/2014-02:58:00,2001.984206068072
13/01/2014-02:59:00,1986.0354871286024
13/01/2014-03:00:00,1994.1124508518512
13/01/2014-03:01:00,2000.1865421714776
13/01/2014-03:02:00,1358.9265892189242
13/01/2014-03:03:00,129.58757776509248
13/01/2014-03:04:00,120.0042792911618
13/01/2014-03:05:00,647.76792245283
13/01/2014-03:06:00,2013.1403739005643
13/01/2014-03:07:00,2047.982794024428
13/01/2014-03:08:00,2068.764307567053
13/01/2014-03:09:00,2081.785611438521
13/01/2014-03:10:00,2090.0619390140573
13/01/2014-03:11:00,2164.131075920902
13/01/2014-03:12:00,1125.8752393541788
13/01/2014-03:13:00,388.5685193314048
13/01/2014-03:14:00,398.4037837309899
