Data-Ora,Consumo
14/01/2014-00:00:00,114.0145988275248
14/01/2014-00:01:00,113.21407055478365
14/01/2014-00:02:00,111.30618652903684
14/01/2014-00:03:00,111.23368431461188
14/01/2014-00:04:00,111.16711804487537
14/01/2014-00:05:00,111.14182181878658
14/01/2014-00:06:00,111.01346660385587
14/01/2014-00:07:00,110.90558714686009
14/01/2014-00:08:00,111.20529875962367
14/01/2014-00:09:00,111.07328488772248
14/01/2014-00:10:00,110.9408830703455
14/01/2014-00:11:00,111.9445286749568
14/01/2014-00:12:00,113.71491816106932
14/01/2014-00:13:00,113.60659439406628
14/01/2014-00:14:00,113.52885723523708
14/01/2014-00:15:00,113.57582525473292
14/01/2014-00:16:00,113.3753541724353
14/01/2014-00:17:00,113.41653459509202
14/01/2014-00:18:00,113.34559546767608
14/01/2014-00:19:00,113.247639471873
14/01/2014-00:20:00,113.1493979723178
14/01/2014-00:21:00,113.10426273036416
14/01/2014-00:22:00,113.3196911767787
14/01/2014-00:23:00,113.19980647549195
14/01/2014-00:24:00,113.12194200832133
14/01/2014-00:25:00,113.05299590864888
14/01/2014-00:26:00,112.97756999189556
14/01/2014-00:27:00,112.9273195774045
14/01/2014-00:28:00,112.97525874981966
14/01/2014-00:29:00,112.92655394183063
14/01/2014-00:30:00,112.97916304768658
14/01/2014-00:31:00,112.83168794004564
14/01/2014-00:32:00,112.77604421431322
14/01/2014-00:33:00,112.79479121665388
14/01/2014-00:34:00,107.472882277105
14/01/2014-00:35:00,34.33817803839245
14/01/2014-00:36:00,34.36673782892541
14/01/2014-00:37:00,34.30109949776482
14/01/2014-00:38:00,34.341567663408306
14/01/2014-00:39:00,34.37466675695417
14/01/2014-00:40:00,34.36749519569662
14/01/2014-00:41:00,34.29275201674862
14/01/2014-00:42:00,34.22563800770098
14/01/2014-00:43:00,34.22718396757673
14/01/2014-00:44:00,34.33749963463781
14/01/2014-00:45:00,58.15795349333529
14/01/2014-00:46:00,82.31730494180766
14/01/2014-00:47:00,99.60534384770108
14/01/2014-00:48:00,115.02873656369448
14/01/2014-00:49:00,116.59436506361388
14/01/2014-00:50:00,117.24619606947404
14/01/2014-00:51:00,115.11741720479417
14/01/2014-00:52:00,114.0868989038038
14/01/2014-00:53:00,113.75628451259894
14/01/2014-00:54:00,113.45915870060414
14/01/2014-00:55:00,113.0770275866194
14/01/2014-00:56:00,112.90573435068607
14/01/2014-00:57:00,112.53356938307309
14/01/2014-00:58:00,112.40949984204272
14/01/2014-00:59:00,112.056820588782
14/01/2014-01:00:00,112.05655114614082
14/01/2014-01:01:00,114.34051498432218
14/01/2014-01:02:00,114.64000379370242
14/01/2014-01:03:00,114.38397118361036
14/01/2014-01:04:00,114.38331415959892
14/01/2014-01:05:00,150.49425430445265
14/01/2014-01:06:00,273.1784091709054
14/01/2014-01:07:00,270.67630974193577
14/01/2014-01:08:00,271.1161699875507
14/01/2014-01:09:00,268.1048808457692
14/01/2014-01:10:00,270.0956282048232
14/01/2014-01:11:00,268.03673131140124
14/01/2014-01:12:00,268.1903569682105
