Data-Ora,Consumo
15/01/2014-00:00:00,39.202235961411645
15/01/2014-00:01:00,40.05928471807108
15/01/2014-00:02:00,39.76184782944386
15/01/2014-00:03:00,38.61786713318992
15/01/2014-00:04:00,50.35346368907552
15/01/2014-00:05:00,39.27318989443846
15/01/2014-00:06:00,39.27943824938707
15/01/2014-00:07:00,49.74395771412129
15/01/2014-00:08:00,41.839267040689045
15/01/2014-00:09:00,41.80834501304049
15/01/2014-00:10:00,52.209210558785394
15/01/2014-00:11:00,41.939923454889566
15/01/2014-00:12:00,41.66319054381174
15/01/2014-00:13:00,45.180652488536445
15/01/2014-00:14:00,38.685556240747765
15/01/2014-00:15:00,41.75185512604259
15/01/2014-00:16:00,60.81040696406871
15/01/2014-00:17:00,73.7049991897523
15/01/2014-00:18:00,94.6858425564726
15/01/2014-00:19:00,119.29018210632752
15/01/2014-00:20:00,110.11047084503812
15/01/2014-00:21:00,88.0861816394177
15/01/2014-00:22:00,22.24970340161574
15/01/2014-00:23:00,43.020135981131375
15/01/2014-00:24:00,50.35882397029726
15/01/2014-00:25:00,109.67524626742076
15/01/2014-00:26:00,124.16532504675791
15/01/2014-00:27:00,115.7380250248635
15/01/2014-00:28:00,117.36160005840972
15/01/2014-00:29:00,128.86295858855112
15/01/2014-00:30:00,119.44127442991412
15/01/2014-00:31:00,129.87996244700906
15/01/2014-00:32:00,120.12195674501912
15/01/2014-00:33:00,115.99470276011198
15/01/2014-00:34:00,124.11236094953506
15/01/2014-00:35:00,111.67278183246998
15/01/2014-00:36:00,111.09840458385509
15/01/2014-00:37:00,120.15185655742124
15/01/2014-00:38:00,109.72337670453234
15/01/2014-00:39:00,108.81767133334716
15/01/2014-00:40:00,118.26368033142204
15/01/2014-00:41:00,42.70458017097204
15/01/2014-00:42:00,67.90650143781254
15/01/2014-00:43:00,93.78875573080856
15/01/2014-00:44:00,123.24227847560644
15/01/2014-00:45:00,125.4542737815726
15/01/2014-00:46:00,1774.543880373185
15/01/2014-00:47:00,1987.56099893756
15/01/2014-00:48:00,2005.611944075538
15/01/2014-00:49:00,1992.307295114344
15/01/2014-00:50:00,1983.286054602307
15/01/2014-00:51:00,1988.2131453450847
15/01/2014-00:52:00,1975.6625588760417
15/01/2014-00:53:00,1963.747238607745
15/01/2014-00:54:00,1983.581604898029
15/01/2014-00:55:00,1966.49710710775
15/01/2014-00:56:00,1969.5911667487103
15/01/2014-00:57:00,1980.2076941716216
15/01/2014-00:58:00,1971.882175576644
15/01/2014-00:59:00,877.8520510189339
15/01/2014-01:00:00,153.63382100176534
15/01/2014-01:01:00,141.40714700412678
15/01/2014-01:02:00,137.71767806358858
15/01/2014-01:03:00,148.53285496623062
15/01/2014-01:04:00,152.75151972260772
15/01/2014-01:05:00,160.58900684153025
15/01/2014-01:06:00,173.5879474303287
15/01/2014-01:07:00,215.75819690147853
15/01/2014-01:08:00,216.5928615394684
15/01/2014-01:09:00,221.91224921206936
15/01/2014-01:10:00,228.8594851031773
15/01/2014-01:11:00,219.99771707869857
15/01/2014-01:12:00,217.53536537967312
15/01/2014-01:13:00,223.03468639594007
15/01/2014-01:14:00,222.93193208717005
15/01/2014-01:15:00,1130.192450567046
15/01/2014-01:16:00,433.2283431918004
15/01/2014-01:17:00,717.0560817273508
15/01/2014-01:18:00,815.8268693666146
15/01/2014-01:19:00,213.15911258026304
15/01/2014-01:20:00,218.9492476597051
15/01/2014-01:21:00,230.1098268614521
15/01/2014-01:22:00,221.73487119027592
15/01/2014-01:23:00,241.83497940558044
15/01/2014-01:24:00,219.1350505279475
15/01/2014-01:25:00,224.12645211294304
15/01/2014-01:26:00,209.50517812360056
15/01/2014-01:27:00,219.9255733604141
15/01/2014-01:28:00,233.68912098490355
15/01/2014-01:29:00,223.9235992209761
15/01/2014-01:30:00,222.18998284402528
15/01/2014-01:31:00,189.29838384431403
15/01/2014-01:32:00,166.29096311749765
15/01/2014-01:33:00,146.68659503128805
15/01/2014-01:34:00,154.3221037199538
15/01/2014-01:35:00,150.19552825383806
15/01/2014-01:36:00,160.56653193352065
15/01/2014-01:37:00,153.32776414174575
15/01/2014-01:38:00,145.67851588382376
15/01/2014-01:39:00,166.16544810294957
15/01/2014-01:40:00,159.32233395503445
15/01/2014-01:41:00,155.64296041897836
15/01/2014-01:42:00,1078.7048008706568
15/01/2014-01:43:00,280.5143461239165
15/01/2014-01:44:00,136.75463747135063
15/01/2014-01:45:00,155.60475328846442
15/01/2014-01:46:00,129.2484568306673
15/01/2014-01:47:00,137.44869142643492
15/01/2014-01:48:00,144.30657090072043
15/01/2014-01:49:00,139.89003814976633
15/01/2014-01:50:00,134.6153032005089
15/01/2014-01:51:00,139.01771180236412
15/01/2014-01:52:00,134.21658535064333
15/01/2014-01:53:00,130.70264791506256
15/01/2014-01:54:00,147.42287469064337
15/01/2014-01:55:00,136.95869782010635
15/01/2014-01:56:00,171.80162322887807
15/01/2014-01:57:00,195.6341068630496
15/01/2014-01:58:00,208.15789422121105
15/01/2014-01:59:00,212.3573172052626
15/01/2014-02:00:00,206.97405677418976
15/01/2014-02:01:00,224.18133712826528
15/01/2014-02:02:00,206.94621892230853
15/01/2014-02:03:00,214.58043336523733
15/01/2014-02:04:00,215.78971561623493
15/01/2014-02:05:00,215.56336034336755
15/01/2014-02:06:00,209.94815960561309
15/01/2014-02:07:00,229.67694060239103
15/01/2014-02:08:00,223.5226392834644
15/01/2014-02:09:00,176.27176613542576
15/01/2014-02:10:00,232.11494741716209
15/01/2014-02:11:00,151.4800328901923
15/01/2014-02:12:00,218.3133459871502
15/01/2014-02:13:00,193.22486690799488
15/01/2014-02:14:00,225.97596944854536
15/01/2014-02:15:00,210.59138033364
15/01/2014-02:16:00,219.81392613479204
15/01/2014-02:17:00,215.74172536746224
15/01/2014-02:18:00,150.855859753457
15/01/2014-02:19:00,165.4790208172837
15/01/2014-02:20:00,191.20512425313345
15/01/2014-02:21:00,118.47876579293238
15/01/2014-02:22:00,100.37993178420352
15/01/2014-02:23:00,160.64464865044718
15/01/2014-02:24:00,145.67794805519475
15/01/2014-02:25:00,132.03493194420804
15/01/2014-02:26:00,139.02403906461217
15/01/2014-02:27:00,142.66557165096629
15/01/2014-02:28:00,129.69506759409396
15/01/2014-02:29:00,120.6628546419224
15/01/2014-02:30:00,69.34467933771788
15/01/2014-02:31:00,307.63096793344965
15/01/2014-02:32:00,357.28689861254367
15/01/2014-02:33:00,333.7041244274196
15/01/2014-02:34:00,326.82385354205405
15/01/2014-02:35:00,327.6669129509096
15/01/2014-02:36:00,185.11043167782609
15/01/2014-02:37:00,35.51204755251708
15/01/2014-02:38:00,31.34279544119963
15/01/2014-02:39:00,31.217847493616027
15/01/2014-02:40:00,31.23773242816712
15/01/2014-02:41:00,39.10043566361577
15/01/2014-02:42:00,36.40932883432048
15/01/2014-02:43:00,30.03570726276867
15/01/2014-02:44:00,27.4177243080744
15/01/2014-02:45:00,40.56332528432237
15/01/2014-02:46:00,63.513346676629865
15/01/2014-02:47:00,81.30762823743926
15/01/2014-02:48:00,100.85863427829362
15/01/2014-02:49:00,106.29464746728904
15/01/2014-02:50:00,121.67883989003752
15/01/2014-02:51:00,107.46038283341451
15/01/2014-02:52:00,103.59554371823056
15/01/2014-02:53:00,28.34711521618036
15/01/2014-02:54:00,32.63763958232332
15/01/2014-02:55:00,44.0566876583074
15/01/2014-02:56:00,93.52426863067718
15/01/2014-02:57:00,129.95078027305425
15/01/2014-02:58:00,1977.0599787552103
15/01/2014-02:59:00,1995.55819691666
15/01/2014-03:00:00,2046.18546104125
15/01/2014-03:01:00,2048.800015746976
15/01/2014-03:02:00,2058.3338667404423
15/01/2014-03:03:00,2051.5420589842824
15/01/2014-03:04:00,1966.5037713379843
15/01/2014-03:05:00,1971.2739157001324
15/01/2014-03:06:00,1972.08630088498
15/01/2014-03:07:00,2046.8714969286937
15/01/2014-03:08:00,2055.920664603675
15/01/2014-03:09:00,2050.725165634896
15/01/2014-03:10:00,1980.0748322842053
15/01/2014-03:11:00,1973.7428862421616
15/01/2014-03:12:00,1463.2688007936065
15/01/2014-03:13:00,106.20880544209848
15/01/2014-03:14:00,106.37930886342431
15/01/2014-03:15:00,105.82672502360462
15/01/2014-03:16:00,104.12939246314036
15/01/2014-03:17:00,54.42566493646503
15/01/2014-03:18:00,52.20402280284424
15/01/2014-03:19:00,58.87517616475355
15/01/2014-03:20:00,67.6222937845283
15/01/2014-03:21:00,62.55991439509604
15/01/2014-03:22:00,62.78299138691707
15/01/2014-03:23:00,63.04106917730594
15/01/2014-03:24:00,74.22292773046789
15/01/2014-03:25:00,106.430685499686
15/01/2014-03:26:00,108.92140441101446
15/01/2014-03:27:00,122.147716495901
15/01/2014-03:28:00,1116.9326251455625
15/01/2014-03:29:00,2248.284161429123
15/01/2014-03:30:00,3889.0382347943128
15/01/2014-03:31:00,3902.765946621966
15/01/2014-03:32:00,3875.5668682438345
15/01/2014-03:33:00,3897.9990402739263
15/01/2014-03:34:00,3962.8770177500255
15/01/2014-03:35:00,4097.4926579827625
15/01/2014-03:36:00,4133.726863087602
15/01/2014-03:37:00,4122.368176993935
15/01/2014-03:38:00,4124.447549672431
15/01/2014-03:39:00,4106.838018004897
15/01/2014-03:40:00,3855.2097851773074
15/01/2014-03:41:00,2256.3531638100626
15/01/2014-03:42:00,2266.5248540229104
15/01/2014-03:43:00,2272.040096553967
15/01/2014-03:44:00,1969.2338020607283
15/01/2014-03:45:00,383.7868886653208
15/01/2014-03:46:00,372.2336639481211
15/01/2014-03:47:00,393.90923184523774
15/01/2014-03:48:00,375.5628381307532
15/01/2014-03:49:00,383.56954541544536
15/01/2014-03:50:00,376.0621567137321
15/01/2014-03:51:00,373.40931023251
15/01/2014-03:52:00,373.20665287498537
15/01/2014-03:53:00,368.7068471920235
15/01/2014-03:54:00,372.2444882604272
15/01/2014-03:55:00,363.9585380547334
15/01/2014-03:56:00,370.5508512455434
15/01/2014-03:57:00,363.76487043363215
15/01/2014-03:58:00,365.05420950802016
15/01/2014-03:59:00,365.6383161256242
15/01/2014-04:00:00,362.4032579749784
15/01/2014-04:01:00,321.6947482171
15/01/2014-04:02:00,288.157896760535
15/01/2014-04:03:00,295.4387882911488
15/01/2014-04:04:00,288.8778143123428
15/01/2014-04:05:00,299.0312528216718
15/01/2014-04:06:00,283.49004961183863
15/01/2014-04:07:00,302.1192204494909
15/01/2014-04:08:00,290.88095947660725
15/01/2014-04:09:00,287.56948174822963
15/01/2014-04:10:00,295.62904377032146
15/01/2014-04:11:00,287.0861637213802
15/01/2014-04:12:00,292.52267615732524
15/01/2014-04:13:00,285.0108357712072
15/01/2014-04:14:00,294.21248062128467
15/01/2014-04:15:00,286.2912644042931
15/01/2014-04:16:00,294.5630388576666
15/01/2014-04:17:00,284.76913681611467
15/01/2014-04:18:00,276.57461672501194
15/01/2014-04:19:00,270.7806559522391
15/01/2014-04:20:00,270.27382761584823
15/01/2014-04:21:00,279.65917394753444
