Data-Ora,Consumo
16/01/2014-00:00:00,171.49584190608695
16/01/2014-00:01:00,181.91156629486784
16/01/2014-00:02:00,216.50845627122644
16/01/2014-00:03:00,225.52632241051447
16/01/2014-00:04:00,240.0396555542609
16/01/2014-00:05:00,242.4724650774312
16/01/2014-00:06:00,253.3141165660143
16/01/2014-00:07:00,247.085670785422
16/01/2014-00:08:00,249.2634562408088
16/01/2014-00:09:00,250.9683284863366
16/01/2014-00:10:00,262.7608165194
16/01/2014-00:11:00,252.9584968846445
16/01/2014-00:12:00,253.4715672887602
16/01/2014-00:13:00,262.8697141221351
16/01/2014-00:14:00,248.7497467265016
16/01/2014-00:15:00,246.378042186737
16/01/2014-00:16:00,244.9103643128531
16/01/2014-00:17:00,254.11494080121545
16/01/2014-00:18:00,242.9149715948193
16/01/2014-00:19:00,242.46985997356
16/01/2014-00:20:00,252.6879594668695
16/01/2014-00:21:00,241.5087149903398
16/01/2014-00:22:00,241.52267122665367
16/01/2014-00:23:00,240.7296318981805
16/01/2014-00:24:00,229.98827178879705
16/01/2014-00:25:00,174.5018602381939
16/01/2014-00:26:00,174.25409940464996
16/01/2014-00:27:00,185.22284617034367
16/01/2014-00:28:00,163.89342414942843
16/01/2014-00:29:00,174.5418192109575
16/01/2014-00:30:00,169.73641746585523
16/01/2014-00:31:00,183.7394449197797
16/01/2014-00:32:00,171.51633515098095
16/01/2014-00:33:00,173.88453098751498
16/01/2014-00:34:00,183.8751083081719
16/01/2014-00:35:00,173.95339364232706
16/01/2014-00:36:00,173.79998969016208
16/01/2014-00:37:00,184.62456721782743
16/01/2014-00:38:00,173.8571618776401
16/01/2014-00:39:00,173.87552013083683
16/01/2014-00:40:00,184.7497891661263
16/01/2014-00:41:00,174.3183680633437
16/01/2014-00:42:00,174.24843509791984
16/01/2014-00:43:00,174.13179263606344
16/01/2014-00:44:00,181.71463845890528
16/01/2014-00:45:00,167.73713728162733
16/01/2014-00:46:00,155.69175707200552
16/01/2014-00:47:00,163.01585194267946
16/01/2014-00:48:00,187.21435140016337
16/01/2014-00:49:00,194.58044559272227
16/01/2014-00:50:00,202.4298362810277
16/01/2014-00:51:00,245.7352553221356
16/01/2014-00:52:00,238.24587341668743
16/01/2014-00:53:00,240.4964718317476
16/01/2014-00:54:00,252.8494763820913
16/01/2014-00:55:00,243.4706022801885
16/01/2014-00:56:00,246.50821942865164
16/01/2014-00:57:00,249.17678091483384
16/01/2014-00:58:00,285.0356971041868
16/01/2014-00:59:00,247.11959897698944
16/01/2014-01:00:00,254.06121474807853
16/01/2014-01:01:00,253.21856728934355
16/01/2014-01:02:00,265.2257775360832
16/01/2014-01:03:00,255.8391242827913
16/01/2014-01:04:00,256.0634321855812
16/01/2014-01:05:00,225.98915924105205
16/01/2014-01:06:00,107.34336271326497
16/01/2014-01:07:00,105.16749853018727
16/01/2014-01:08:00,103.6103196294748
16/01/2014-01:09:00,113.62569079322316
16/01/2014-01:10:00,102.06619201348111
16/01/2014-01:11:00,101.47994627165308
16/01/2014-01:12:00,111.53462757166584
16/01/2014-01:13:00,100.2888192038651
16/01/2014-01:14:00,100.0345331080728
16/01/2014-01:15:00,109.91340581146493
16/01/2014-01:16:00,99.20850065337936
