Data-Ora,Consumo
17/01/2014-00:00:00,60.10691267347484
17/01/2014-00:01:00,41.737641762103735
17/01/2014-00:02:00,52.892016554604936
17/01/2014-00:03:00,41.79880781066983
17/01/2014-00:04:00,42.115955869766346
17/01/2014-00:05:00,52.470773966071896
17/01/2014-00:06:00,42.10130319577663
17/01/2014-00:07:00,42.148166619343534
17/01/2014-00:08:00,52.4777344687593
17/01/2014-00:09:00,42.28294152610203
17/01/2014-00:10:00,41.77245679051346
17/01/2014-00:11:00,52.87812240393349
17/01/2014-00:12:00,42.11845506213876
17/01/2014-00:13:00,41.91662643222838
17/01/2014-00:14:00,41.93349057445487
17/01/2014-00:15:00,51.51618989639631
17/01/2014-00:16:00,43.7462317969494
17/01/2014-00:17:00,42.27493464862502
17/01/2014-00:18:00,47.982687141295926
17/01/2014-00:19:00,46.38996445143149
17/01/2014-00:20:00,41.8044234510512
17/01/2014-00:21:00,52.69193472313699
17/01/2014-00:22:00,34.73239224326059
17/01/2014-00:23:00,51.75730044546609
17/01/2014-00:24:00,84.96937989212223
17/01/2014-00:25:00,95.1165046096988
17/01/2014-00:26:00,109.05375367455284
17/01/2014-00:27:00,109.9313136981561
17/01/2014-00:28:00,123.51884827907676
17/01/2014-00:29:00,114.54780032502772
17/01/2014-00:30:00,117.64578110694478
17/01/2014-00:31:00,129.57466125406714
17/01/2014-00:32:00,119.83480344833738
17/01/2014-00:33:00,120.58092006316822
17/01/2014-00:34:00,132.44526977509503
17/01/2014-00:35:00,117.44391194187403
17/01/2014-00:36:00,114.69857324867024
17/01/2014-00:37:00,112.89505118568016
17/01/2014-00:38:00,122.61234450804264
17/01/2014-00:39:00,111.03218259985276
17/01/2014-00:40:00,109.27450725515364
17/01/2014-00:41:00,110.13164750238332
17/01/2014-00:42:00,106.6660003495588
17/01/2014-00:43:00,100.35757830174109
17/01/2014-00:44:00,116.49041072405726
17/01/2014-00:45:00,105.24101562608452
17/01/2014-00:46:00,67.71271596896199
