Data-Ora,Consumo
18/01/2014-00:00:00,232.0155344570657
18/01/2014-00:01:00,231.68013572513053
18/01/2014-00:02:00,231.5952818520104
18/01/2014-00:03:00,234.5686479575785
18/01/2014-00:04:00,237.7877009914876
18/01/2014-00:05:00,238.9782486251996
18/01/2014-00:06:00,241.0036149956736
18/01/2014-00:07:00,241.5276619213097
18/01/2014-00:08:00,242.51989981204449
18/01/2014-00:09:00,239.6373300558678
18/01/2014-00:10:00,235.9041562795833
18/01/2014-00:11:00,234.6508398192217
18/01/2014-00:12:00,233.33162704106783
18/01/2014-00:13:00,232.1317778501997
18/01/2014-00:14:00,231.2271077496528
18/01/2014-00:15:00,230.8921158178132
18/01/2014-00:16:00,176.12918774807508
18/01/2014-00:17:00,163.57469700733412
18/01/2014-00:18:00,163.95175104986836
18/01/2014-00:19:00,163.9112475167137
18/01/2014-00:20:00,163.988373208645
18/01/2014-00:21:00,163.9506999993378
18/01/2014-00:22:00,163.9535313519933
18/01/2014-00:23:00,163.90879398674898
18/01/2014-00:24:00,163.94731997800434
18/01/2014-00:25:00,164.06440941499778
18/01/2014-00:26:00,163.98203830430225
18/01/2014-00:27:00,164.02615931030752
18/01/2014-00:28:00,163.83243004633778
18/01/2014-00:29:00,163.65659592637647
18/01/2014-00:30:00,164.1014842603939
18/01/2014-00:31:00,163.91295210807613
18/01/2014-00:32:00,162.3915291678515
18/01/2014-00:33:00,164.096534787823
18/01/2014-00:34:00,164.09034371497947
18/01/2014-00:35:00,164.02746933275174
18/01/2014-00:36:00,163.76893652093125
18/01/2014-00:37:00,160.96778992063628
18/01/2014-00:38:00,161.15554156404113
18/01/2014-00:39:00,172.59243764374892
18/01/2014-00:40:00,194.219340763249
18/01/2014-00:41:00,215.6998332780122
18/01/2014-00:42:00,228.7403701292033
18/01/2014-00:43:00,228.8193154038969
18/01/2014-00:44:00,226.73716817518007
18/01/2014-00:45:00,227.2770468224094
18/01/2014-00:46:00,214.8202345892916
18/01/2014-00:47:00,226.26968334483604
18/01/2014-00:48:00,231.28230502547223
18/01/2014-00:49:00,229.0670470089364
18/01/2014-00:50:00,229.74782260169872
18/01/2014-00:51:00,217.967892327466
18/01/2014-00:52:00,114.29996022370842
18/01/2014-00:53:00,17.07695350327728
18/01/2014-00:54:00,17.149498968995776
18/01/2014-00:55:00,68.36114109233041
18/01/2014-00:56:00,74.46636962154403
18/01/2014-00:57:00,26.353286518789226
18/01/2014-00:58:00,26.50933772752806
18/01/2014-00:59:00,26.46166310170793
18/01/2014-01:00:00,26.38300032511441
18/01/2014-01:01:00,26.822790344912526
18/01/2014-01:02:00,29.25236382169856
18/01/2014-01:03:00,29.157705452378444
18/01/2014-01:04:00,29.19042644602462
18/01/2014-01:05:00,29.43275539633877
18/01/2014-01:06:00,29.3838995551761
18/01/2014-01:07:00,29.45777951205367
18/01/2014-01:08:00,29.00956105163568
18/01/2014-01:09:00,26.2712178652769
18/01/2014-01:10:00,26.491927058439995
18/01/2014-01:11:00,26.518753978442188
18/01/2014-01:12:00,26.940529398543163
18/01/2014-01:13:00,54.70230259612466
18/01/2014-01:14:00,73.03964977523785
18/01/2014-01:15:00,88.26813392569333
18/01/2014-01:16:00,98.34583102704826
18/01/2014-01:17:00,97.70988216636144
18/01/2014-01:18:00,97.19632380976742
18/01/2014-01:19:00,96.31231242461207
18/01/2014-01:20:00,95.36792348974288
18/01/2014-01:21:00,94.53903808456582
18/01/2014-01:22:00,93.84141207680057
18/01/2014-01:23:00,93.03594136984736
