Data-Ora,Consumo
12/02/2014-00:00:00,197.6801099500527
12/02/2014-00:01:00,194.52787926404827
12/02/2014-00:02:00,188.4467415262279
12/02/2014-00:03:00,189.2141793709473
12/02/2014-00:04:00,200.16768844480595
12/02/2014-00:05:00,201.11658790925287
12/02/2014-00:06:00,193.97489581317888
12/02/2014-00:07:00,190.3545040018973
12/02/2014-00:08:00,160.31916559876154
12/02/2014-00:09:00,151.3612074258774
12/02/2014-00:10:00,153.38545040436236
12/02/2014-00:11:00,182.12168143742483
12/02/2014-00:12:00,180.7115828559252
12/02/2014-00:13:00,191.6624245377301
12/02/2014-00:14:00,188.4250059610903
12/02/2014-00:15:00,190.11972818780995
12/02/2014-00:16:00,190.4058793965505
12/02/2014-00:17:00,160.6297309357022
12/02/2014-00:18:00,172.54755013829612
12/02/2014-00:19:00,189.8158966008797
12/02/2014-00:20:00,235.6032204805888
12/02/2014-00:21:00,267.2549571742773
12/02/2014-00:22:00,232.0086549749353
12/02/2014-00:23:00,236.5696033049489
12/02/2014-00:24:00,237.4196337980656
12/02/2014-00:25:00,250.7607936078515
12/02/2014-00:26:00,262.712655854796
12/02/2014-00:27:00,243.1157863348141
12/02/2014-00:28:00,250.73015048722465
12/02/2014-00:29:00,229.46330937202544
12/02/2014-00:30:00,232.3763708145296
12/02/2014-00:31:00,251.02643787465664
12/02/2014-00:32:00,254.65139807270728
12/02/2014-00:33:00,257.2736546210084
12/02/2014-00:34:00,239.51188121875737
12/02/2014-00:35:00,239.14721619111336
12/02/2014-00:36:00,268.6607360714166
12/02/2014-00:37:00,252.4704422039388
12/02/2014-00:38:00,241.9562439807644
12/02/2014-00:39:00,231.8260399654881
12/02/2014-00:40:00,249.3124491046817
12/02/2014-00:41:00,240.43150653971108
12/02/2014-00:42:00,238.9731052161858
12/02/2014-00:43:00,228.86379726092605
12/02/2014-00:44:00,227.0329731532584
12/02/2014-00:45:00,252.63066861786007
12/02/2014-00:46:00,247.5405940715845
12/02/2014-00:47:00,244.451255458753
12/02/2014-00:48:00,197.05494666954223
12/02/2014-00:49:00,186.2373480779243
12/02/2014-00:50:00,171.57610348318008
12/02/2014-00:51:00,159.0661121426008
12/02/2014-00:52:00,153.24023657382665
12/02/2014-00:53:00,174.3538570095416
12/02/2014-00:54:00,171.67916088632413
12/02/2014-00:55:00,167.6476258049454
12/02/2014-00:56:00,149.81178005300762
12/02/2014-00:57:00,147.94886420808731
12/02/2014-00:58:00,149.41085750043823
12/02/2014-00:59:00,146.5183852384389
12/02/2014-01:00:00,157.33584650804372
12/02/2014-01:01:00,170.89912579384162
12/02/2014-01:02:00,158.00467494523582
12/02/2014-01:03:00,168.88357164473598
12/02/2014-01:04:00,174.1227391553333
12/02/2014-01:05:00,183.89887332902748
12/02/2014-01:06:00,182.55568978190112
12/02/2014-01:07:00,166.9821459919897
12/02/2014-01:08:00,177.63952559401244
12/02/2014-01:09:00,168.99262718058003
12/02/2014-01:10:00,162.57980031583733
12/02/2014-01:11:00,176.7369470665985
12/02/2014-01:12:00,165.29431254169646
12/02/2014-01:13:00,195.65447476110936
12/02/2014-01:14:00,201.2659550168173
12/02/2014-01:15:00,165.50322315766206
12/02/2014-01:16:00,157.1321140934794
12/02/2014-01:17:00,195.3622322776192
