Data-Ora,Consumo
13/02/2014-00:00:00,283.9948793197061
13/02/2014-00:01:00,280.6411418538473
13/02/2014-00:02:00,284.73288090514984
13/02/2014-00:03:00,287.3424977162325
13/02/2014-00:04:00,282.72951123515054
13/02/2014-00:05:00,287.53021336173674
13/02/2014-00:06:00,284.7791859926779
13/02/2014-00:07:00,289.3008012133278
13/02/2014-00:08:00,287.3297393501958
13/02/2014-00:09:00,284.7189963748086
13/02/2014-00:10:00,281.06495144650535
13/02/2014-00:11:00,278.2590846315046
13/02/2014-00:12:00,271.2400699834125
13/02/2014-00:13:00,270.0185820554844
13/02/2014-00:14:00,264.8250724924855
13/02/2014-00:15:00,260.4127164666861
13/02/2014-00:16:00,262.8664248907227
13/02/2014-00:17:00,265.39713324870326
13/02/2014-00:18:00,331.1226926709437
13/02/2014-00:19:00,675.8360141721007
13/02/2014-00:20:00,2187.4506999406653
13/02/2014-00:21:00,2176.7066288511087
13/02/2014-00:22:00,2179.8642839570266
13/02/2014-00:23:00,2178.3809123837923
13/02/2014-00:24:00,2189.767653868189
13/02/2014-00:25:00,2197.642174100516
13/02/2014-00:26:00,2190.041077892862
13/02/2014-00:27:00,2179.639532082753
13/02/2014-00:28:00,2181.1119643580087
13/02/2014-00:29:00,2180.270211448701
13/02/2014-00:30:00,2179.69212637002
13/02/2014-00:31:00,2175.1017491040834
13/02/2014-00:32:00,2175.534565022464
13/02/2014-00:33:00,2169.9353407039503
13/02/2014-00:34:00,2173.686934007014
13/02/2014-00:35:00,1663.9373560890351
13/02/2014-00:36:00,324.0919815065764
13/02/2014-00:37:00,321.70567463838887
13/02/2014-00:38:00,261.2454028983539
13/02/2014-00:39:00,259.4575059838335
13/02/2014-00:40:00,227.8224922462001
13/02/2014-00:41:00,205.1290159586312
13/02/2014-00:42:00,208.71389608427577
13/02/2014-00:43:00,214.69063474151315
13/02/2014-00:44:00,224.4895893751588
13/02/2014-00:45:00,211.99893503887515
13/02/2014-00:46:00,220.8531763706505
13/02/2014-00:47:00,234.29573501355185
13/02/2014-00:48:00,229.9354673787336
13/02/2014-00:49:00,215.0570491461772
13/02/2014-00:50:00,204.97975862164128
13/02/2014-00:51:00,1018.9598057809832
13/02/2014-00:52:00,686.8542657522261
13/02/2014-00:53:00,2077.689362263579
13/02/2014-00:54:00,2074.403808130443
13/02/2014-00:55:00,2073.9720792718394
13/02/2014-00:56:00,2076.2514245754383
13/02/2014-00:57:00,2079.535712655903
13/02/2014-00:58:00,2075.080650093536
13/02/2014-00:59:00,2085.811279539846
13/02/2014-01:00:00,2098.694590843361
13/02/2014-01:01:00,2129.635758618803
13/02/2014-01:02:00,2140.8032926749515
13/02/2014-01:03:00,2166.495115615297
13/02/2014-01:04:00,2174.3054451131643
13/02/2014-01:05:00,2170.197098647639
13/02/2014-01:06:00,2135.3805392883114
13/02/2014-01:07:00,2081.9351240817973
13/02/2014-01:08:00,265.1580145307004
13/02/2014-01:09:00,286.0674664547833
13/02/2014-01:10:00,292.10047756173304
13/02/2014-01:11:00,292.5921957625893
13/02/2014-01:12:00,305.0513805920323
13/02/2014-01:13:00,293.17890840806126
13/02/2014-01:14:00,293.2194242147468
