Data-Ora,Consumo
14/02/2014-00:00:00,264.33006054688906
14/02/2014-00:01:00,270.29715129284284
14/02/2014-00:02:00,270.4735343757427
14/02/2014-00:03:00,275.90232860477977
14/02/2014-00:04:00,279.0839888581213
14/02/2014-00:05:00,271.4988777208924
14/02/2014-00:06:00,276.8795650892565
14/02/2014-00:07:00,280.1152473036417
14/02/2014-00:08:00,275.1374813872217
14/02/2014-00:09:00,274.1647455695733
14/02/2014-00:10:00,271.328665276421
14/02/2014-00:11:00,272.01570043005336
14/02/2014-00:12:00,247.1090162561793
14/02/2014-00:13:00,247.6604547650011
14/02/2014-00:14:00,256.3303624919509
14/02/2014-00:15:00,239.2409950078521
14/02/2014-00:16:00,181.8050038134685
14/02/2014-00:17:00,178.47525370571466
14/02/2014-00:18:00,177.74500222043508
14/02/2014-00:19:00,189.2361873927617
14/02/2014-00:20:00,205.8232089651977
14/02/2014-00:21:00,201.4262686193001
14/02/2014-00:22:00,203.26559247688687
14/02/2014-00:23:00,204.1082244097192
14/02/2014-00:24:00,199.37579160227625
14/02/2014-00:25:00,198.0228017540903
14/02/2014-00:26:00,198.39813948498835
14/02/2014-00:27:00,197.39197119266808
14/02/2014-00:28:00,190.25723827106475
14/02/2014-00:29:00,166.5991943740999
14/02/2014-00:30:00,160.66470167970064
14/02/2014-00:31:00,186.5688746462253
14/02/2014-00:32:00,171.5897276001985
14/02/2014-00:33:00,195.2992622712785
14/02/2014-00:34:00,214.09690827467577
14/02/2014-00:35:00,246.0861885916234
14/02/2014-00:36:00,260.117820168615
14/02/2014-00:37:00,259.7188262255548
14/02/2014-00:38:00,267.12652288732704
14/02/2014-00:39:00,269.9713049759164
14/02/2014-00:40:00,268.882548152897
14/02/2014-00:41:00,257.53126904913074
14/02/2014-00:42:00,247.2088628094208
14/02/2014-00:43:00,242.4903748949095
14/02/2014-00:44:00,267.128713648378
14/02/2014-00:45:00,268.67842469967195
14/02/2014-00:46:00,261.3151321765276
14/02/2014-00:47:00,255.22877734674205
14/02/2014-00:48:00,262.84314815159985
14/02/2014-00:49:00,266.5464695054579
14/02/2014-00:50:00,266.3534423187771
14/02/2014-00:51:00,263.5054581685554
14/02/2014-00:52:00,270.0017629451789
14/02/2014-00:53:00,280.3228152795384
14/02/2014-00:54:00,266.27864328544445
14/02/2014-00:55:00,276.90611978793606
14/02/2014-00:56:00,279.03776533965373
14/02/2014-00:57:00,277.8748459368122
14/02/2014-00:58:00,281.16504981007955
14/02/2014-00:59:00,281.7483714519422
14/02/2014-01:00:00,279.37709833022086
14/02/2014-01:01:00,281.48994731605376
14/02/2014-01:02:00,282.25554104539964
14/02/2014-01:03:00,278.89078308462945
14/02/2014-01:04:00,273.0854772577519
14/02/2014-01:05:00,275.2257843196163
14/02/2014-01:06:00,269.4659050629157
14/02/2014-01:07:00,237.7516309318005
14/02/2014-01:08:00,202.1058626776568
14/02/2014-01:09:00,202.94615010060176
14/02/2014-01:10:00,187.56758483736024
14/02/2014-01:11:00,192.25296444828385
14/02/2014-01:12:00,201.7580581688652
14/02/2014-01:13:00,204.02571546730897
14/02/2014-01:14:00,195.22026547573
14/02/2014-01:15:00,192.65430261064068
14/02/2014-01:16:00,204.27757694899253
14/02/2014-01:17:00,204.011930477254
14/02/2014-01:18:00,203.39226962216395
14/02/2014-01:19:00,196.3217093419736
14/02/2014-01:20:00,193.53492417946504
14/02/2014-01:21:00,199.45339856209205
14/02/2014-01:22:00,203.81951480521505
14/02/2014-01:23:00,194.59205525310983
14/02/2014-01:24:00,207.7841421248697
14/02/2014-01:25:00,204.70257354897387
14/02/2014-01:26:00,205.24063418181177
14/02/2014-01:27:00,232.01495423543977
14/02/2014-01:28:00,257.6597418299472
14/02/2014-01:29:00,265.20252326031465
14/02/2014-01:30:00,270.7338690864931
14/02/2014-01:31:00,266.8138525988918
14/02/2014-01:32:00,266.3817647411335
14/02/2014-01:33:00,267.5820964405475
14/02/2014-01:34:00,259.3893374843656
14/02/2014-01:35:00,248.9103397969985
14/02/2014-01:36:00,265.8177021886747
14/02/2014-01:37:00,253.1178333416684
14/02/2014-01:38:00,259.69116294475214
14/02/2014-01:39:00,259.16479912116586
14/02/2014-01:40:00,200.05785905948417
14/02/2014-01:41:00,185.01503374149075
14/02/2014-01:42:00,171.42439982449034
14/02/2014-01:43:00,198.3696314852912
14/02/2014-01:44:00,200.63479533314563
14/02/2014-01:45:00,202.3968991706996
14/02/2014-01:46:00,204.32357428895045
14/02/2014-01:47:00,200.7060476024145
14/02/2014-01:48:00,198.73150199922043
14/02/2014-01:49:00,206.72639194593933
14/02/2014-01:50:00,199.3806555692165
14/02/2014-01:51:00,192.0989327542274
14/02/2014-01:52:00,201.7251871850444
14/02/2014-01:53:00,206.8791026755932
14/02/2014-01:54:00,205.1311719824001
14/02/2014-01:55:00,199.53405421699355
14/02/2014-01:56:00,225.6558286477004
14/02/2014-01:57:00,253.5884461663046
14/02/2014-01:58:00,257.4334623138741
14/02/2014-01:59:00,269.7306777784054
14/02/2014-02:00:00,267.3234170184532
14/02/2014-02:01:00,268.193705184697
