Data-Ora,Consumo
15/02/2014-00:00:00,267.58201418755755
15/02/2014-00:01:00,266.73511646758817
15/02/2014-00:02:00,264.68749909451947
15/02/2014-00:03:00,260.4475129875888
15/02/2014-00:04:00,257.6209629563926
15/02/2014-00:05:00,265.76700264712974
15/02/2014-00:06:00,264.9161884637493
15/02/2014-00:07:00,265.63690603772534
15/02/2014-00:08:00,267.5880722699505
15/02/2014-00:09:00,262.1717063621996
15/02/2014-00:10:00,262.39882797280256
15/02/2014-00:11:00,253.70953410684
15/02/2014-00:12:00,205.4107419555268
15/02/2014-00:13:00,189.3479522319689
15/02/2014-00:14:00,192.41867855620168
15/02/2014-00:15:00,182.8040653276346
15/02/2014-00:16:00,186.60462915595303
15/02/2014-00:17:00,192.78713981933893
15/02/2014-00:18:00,188.32586656674425
15/02/2014-00:19:00,185.83001797267
15/02/2014-00:20:00,187.3300134363841
15/02/2014-00:21:00,190.15613548401075
15/02/2014-00:22:00,185.1475510384845
15/02/2014-00:23:00,197.1495651962725
15/02/2014-00:24:00,189.7522148984518
15/02/2014-00:25:00,185.4034770873675
15/02/2014-00:26:00,189.9411784559664
15/02/2014-00:27:00,188.8730619557583
15/02/2014-00:28:00,191.9519133354786
15/02/2014-00:29:00,194.04213594605216
15/02/2014-00:30:00,194.87439084487167
15/02/2014-00:31:00,195.02228622087512
15/02/2014-00:32:00,193.62834730874008
15/02/2014-00:33:00,209.15480344417816
15/02/2014-00:34:00,234.73298119700272
15/02/2014-00:35:00,238.03528082583213
15/02/2014-00:36:00,249.8275039247492
15/02/2014-00:37:00,250.1903715361589
15/02/2014-00:38:00,253.18217349167887
15/02/2014-00:39:00,260.9203159130359
15/02/2014-00:40:00,258.44545433890954
15/02/2014-00:41:00,256.75400693596094
15/02/2014-00:42:00,260.93208477739506
15/02/2014-00:43:00,257.1146135916734
15/02/2014-00:44:00,239.90307345720424
15/02/2014-00:45:00,245.1829102018155
15/02/2014-00:46:00,247.268627542004
15/02/2014-00:47:00,254.0490406764643
15/02/2014-00:48:00,252.3355369425771
15/02/2014-00:49:00,243.48852512119657
15/02/2014-00:50:00,255.17975462709265
15/02/2014-00:51:00,248.3847829509401
15/02/2014-00:52:00,251.3155106948801
15/02/2014-00:53:00,260.21596194529263
15/02/2014-00:54:00,263.33682886390864
15/02/2014-00:55:00,262.1171119793763
15/02/2014-00:56:00,243.6117682663881
15/02/2014-00:57:00,190.3069395633945
15/02/2014-00:58:00,195.5849422501096
15/02/2014-00:59:00,199.39164991448973
15/02/2014-01:00:00,186.05899120376927
15/02/2014-01:01:00,198.4051818803799
15/02/2014-01:02:00,198.03656641162345
15/02/2014-01:03:00,192.5077384381368
15/02/2014-01:04:00,198.0714684841381
15/02/2014-01:05:00,190.5698061214103
15/02/2014-01:06:00,206.1284279418749
15/02/2014-01:07:00,188.2976484452492
15/02/2014-01:08:00,193.36853519606328
15/02/2014-01:09:00,196.3469507055685
15/02/2014-01:10:00,175.43686785606093
15/02/2014-01:11:00,177.74161416024677
15/02/2014-01:12:00,183.49149864226712
15/02/2014-01:13:00,195.06581919006263
15/02/2014-01:14:00,180.5130503135288
15/02/2014-01:15:00,190.1542210172683
15/02/2014-01:16:00,187.17543737153804
15/02/2014-01:17:00,203.52763862514848
15/02/2014-01:18:00,229.45619206946844
15/02/2014-01:19:00,252.38189002539832
15/02/2014-01:20:00,264.39295883092456
15/02/2014-01:21:00,263.4164187485638
15/02/2014-01:22:00,259.91437347773376
15/02/2014-01:23:00,263.28205456299673
15/02/2014-01:24:00,260.1277870154079
15/02/2014-01:25:00,255.1487851470565
15/02/2014-01:26:00,268.94511765390826
15/02/2014-01:27:00,271.208668321582
15/02/2014-01:28:00,262.41739329454555
15/02/2014-01:29:00,255.0018142540575
15/02/2014-01:30:00,257.12989859392536
15/02/2014-01:31:00,258.3435508138888
15/02/2014-01:32:00,262.1822575204892
15/02/2014-01:33:00,250.715586616962
15/02/2014-01:34:00,252.8770558035206
15/02/2014-01:35:00,259.7590056942593
15/02/2014-01:36:00,258.9902113813204
15/02/2014-01:37:00,224.6514567759052
15/02/2014-01:38:00,193.78491003244488
15/02/2014-01:39:00,203.66628076301328
15/02/2014-01:40:00,202.49366203880905
15/02/2014-01:41:00,200.55713621451136
15/02/2014-01:42:00,196.1296903045246
15/02/2014-01:43:00,202.93355801285435
15/02/2014-01:44:00,203.2701727147492
15/02/2014-01:45:00,204.37145091342697
15/02/2014-01:46:00,204.19058381792087
15/02/2014-01:47:00,203.9353136141776
15/02/2014-01:48:00,191.70206793601585
15/02/2014-01:49:00,103.8386266143364
15/02/2014-01:50:00,23.33044426892439
15/02/2014-01:51:00,20.992312626710863
15/02/2014-01:52:00,21.115579996224152
15/02/2014-01:53:00,21.00477506287751
15/02/2014-01:54:00,21.156549987479067
15/02/2014-01:55:00,21.11171905721152
15/02/2014-01:56:00,21.11281366476399
15/02/2014-01:57:00,21.074794288356944
15/02/2014-01:58:00,21.33090508645777
15/02/2014-01:59:00,35.00429825766814
15/02/2014-02:00:00,59.90508251936495
15/02/2014-02:01:00,81.0515801805758
15/02/2014-02:02:00,93.33131162877208
15/02/2014-02:03:00,95.02126536781346
15/02/2014-02:04:00,96.0267580190628
15/02/2014-02:05:00,96.6538646738769
15/02/2014-02:06:00,97.50370631917352
15/02/2014-02:07:00,98.03189970414525
15/02/2014-02:08:00,95.13102059630484
15/02/2014-02:09:00,92.4481720311325
15/02/2014-02:10:00,90.6667767523078
15/02/2014-02:11:00,89.52651788774835
15/02/2014-02:12:00,88.77013163327847
15/02/2014-02:13:00,88.08753382473061
15/02/2014-02:14:00,87.63764887021095
15/02/2014-02:15:00,87.1247063040066
15/02/2014-02:16:00,86.79412368339356
15/02/2014-02:17:00,86.30993457795144
15/02/2014-02:18:00,85.61060050972925
15/02/2014-02:19:00,82.87246677780583
15/02/2014-02:20:00,82.71243311651708
15/02/2014-02:21:00,46.36088416711125
15/02/2014-02:22:00,18.323659158795696
15/02/2014-02:23:00,18.364568068202782
15/02/2014-02:24:00,18.34476990361805
15/02/2014-02:25:00,18.266785384352943
15/02/2014-02:26:00,18.32745445406844
15/02/2014-02:27:00,18.346925737864265
15/02/2014-02:28:00,18.88468115916092
15/02/2014-02:29:00,21.152207276974725
15/02/2014-02:30:00,21.22577463997133
15/02/2014-02:31:00,21.15051769321426
15/02/2014-02:32:00,21.10412222058104
15/02/2014-02:33:00,21.15190978887073
15/02/2014-02:34:00,21.115595309615617
15/02/2014-02:35:00,21.005713467363897
15/02/2014-02:36:00,21.227945995223504
15/02/2014-02:37:00,21.062605391931864
15/02/2014-02:38:00,21.0007604672601
15/02/2014-02:39:00,21.113577610968225
15/02/2014-02:40:00,21.07618638401341
15/02/2014-02:41:00,21.09036550122072
15/02/2014-02:42:00,21.083729394470243
15/02/2014-02:43:00,23.459713361621045
15/02/2014-02:44:00,36.90208060444995
15/02/2014-02:45:00,65.0190449746718
15/02/2014-02:46:00,86.20364958654949
15/02/2014-02:47:00,93.87606336483896
15/02/2014-02:48:00,95.1762909418282
15/02/2014-02:49:00,96.0264488508211
15/02/2014-02:50:00,96.91351182387932
15/02/2014-02:51:00,97.41265575906478
15/02/2014-02:52:00,96.88220493907656
15/02/2014-02:53:00,93.54952918465102
15/02/2014-02:54:00,91.33334250645431
15/02/2014-02:55:00,89.89527852412124
15/02/2014-02:56:00,88.94666172738721
15/02/2014-02:57:00,88.34084460409655
15/02/2014-02:58:00,87.86797823021685
15/02/2014-02:59:00,87.120532771113
15/02/2014-03:00:00,86.90493469128641
15/02/2014-03:01:00,86.42259495083728
15/02/2014-03:02:00,86.19767836206005
15/02/2014-03:03:00,85.86124145970382
15/02/2014-03:04:00,85.45330165696106
15/02/2014-03:05:00,85.11139869801502
15/02/2014-03:06:00,28.50546431836556
15/02/2014-03:07:00,21.07340219270048
15/02/2014-03:08:00,19.4928522202124
15/02/2014-03:09:00,18.30814262286749
15/02/2014-03:10:00,18.347238746974227
15/02/2014-03:11:00,18.21076700410776
15/02/2014-03:12:00,18.36619563587469
15/02/2014-03:13:00,18.26732608060285
15/02/2014-03:14:00,18.35844594877521
15/02/2014-03:15:00,18.31029845711369
15/02/2014-03:16:00,18.381381663362667
15/02/2014-03:17:00,18.26485723724668
15/02/2014-03:18:00,20.11186570945291
15/02/2014-03:19:00,21.16237845998456
15/02/2014-03:20:00,21.103803931340043
15/02/2014-03:21:00,21.113577610968225
15/02/2014-03:22:00,21.07695033021765
15/02/2014-03:23:00,21.03150911035064
15/02/2014-03:24:00,21.07617107062196
15/02/2014-03:25:00,21.15469143372236
15/02/2014-03:26:00,21.17975758783804
15/02/2014-03:27:00,21.15406583073144
15/02/2014-03:28:00,33.450682221912494
15/02/2014-03:29:00,57.68121361908722
15/02/2014-03:30:00,79.80279835709173
15/02/2014-03:31:00,92.62797350319045
15/02/2014-03:32:00,94.54700651506133
15/02/2014-03:33:00,95.65832800381082
15/02/2014-03:34:00,96.38763213490212
15/02/2014-03:35:00,96.98570996395192
15/02/2014-03:36:00,97.58624741751125
15/02/2014-03:37:00,94.91285381510797
15/02/2014-03:38:00,92.1825766477831
15/02/2014-03:39:00,90.60557676987172
15/02/2014-03:40:00,89.44864001299905
15/02/2014-03:41:00,88.56307286099894
15/02/2014-03:42:00,88.04935862662649
15/02/2014-03:43:00,87.45481422551929
15/02/2014-03:44:00,86.92009805366901
15/02/2014-03:45:00,86.39199333427855
15/02/2014-03:46:00,86.08905004723219
15/02/2014-03:47:00,85.8716173033767
15/02/2014-03:48:00,85.50102021892422
15/02/2014-03:49:00,85.20552447469598
15/02/2014-03:50:00,40.286719440932
15/02/2014-03:51:00,21.115595309615617
15/02/2014-03:52:00,21.25824349360528
15/02/2014-03:53:00,21.26179163112245
15/02/2014-03:54:00,21.3291553355726
15/02/2014-03:55:00,21.18884987111676
15/02/2014-03:56:00,21.07587358251796
15/02/2014-03:57:00,20.893328694112235
15/02/2014-03:58:00,18.41802446511921
15/02/2014-03:59:00,18.301187029893256
15/02/2014-04:00:00,18.34445689450809
15/02/2014-04:01:00,18.232403697004205
15/02/2014-04:02:00,18.307829613757523
15/02/2014-04:03:00,18.270889323896988
15/02/2014-04:04:00,18.1199089722826
15/02/2014-04:05:00,18.08172083349381
15/02/2014-04:06:00,18.081110336279856
15/02/2014-04:07:00,18.62314365443253
15/02/2014-04:08:00,20.89458041913033
15/02/2014-04:09:00,21.00477506287751
15/02/2014-04:10:00,21.11142156910752
15/02/2014-04:11:00,20.99875808200417
15/02/2014-04:12:00,32.52967677937927
15/02/2014-04:13:00,56.29019785894932
15/02/2014-04:14:00,78.66144748516683
15/02/2014-04:15:00,91.94871800827576
15/02/2014-04:16:00,93.82323470310143
15/02/2014-04:17:00,95.25743088448078
15/02/2014-04:18:00,96.21050107916138
15/02/2014-04:19:00,96.79869716834467
15/02/2014-04:20:00,96.10456879509792
15/02/2014-04:21:00,93.10568306425294
15/02/2014-04:22:00,91.04154881404408
15/02/2014-04:23:00,89.52498237718328
15/02/2014-04:24:00,88.56076089227231
15/02/2014-04:25:00,87.8164624832357
15/02/2014-04:26:00,87.3460181134781
15/02/2014-04:27:00,86.92006493443228
15/02/2014-04:28:00,86.38349882673054
15/02/2014-04:29:00,86.01628830252342
15/02/2014-04:30:00,85.68354590298867
15/02/2014-04:31:00,85.12222587983405
15/02/2014-04:32:00,84.94125217646585
15/02/2014-04:33:00,82.02312976349222
15/02/2014-04:34:00,20.96567893877077
15/02/2014-04:35:00,20.931207699880904
15/02/2014-04:36:00,20.92456511601664
15/02/2014-04:37:00,21.00091412386488
15/02/2014-04:38:00,21.004308604777272
15/02/2014-04:39:00,21.07201264350532
