Data-Ora,Consumo
11/03/2014-00:00:00,91.28179704520876
11/03/2014-00:01:00,90.62597573104914
11/03/2014-00:02:00,90.33741466484334
11/03/2014-00:03:00,89.77352717250277
11/03/2014-00:04:00,89.37878252622994
11/03/2014-00:05:00,86.45920648810744
11/03/2014-00:06:00,86.19889611542422
11/03/2014-00:07:00,85.75324255423118
11/03/2014-00:08:00,85.76267941221
11/03/2014-00:09:00,68.54709972398803
11/03/2014-00:10:00,18.15914913550306
11/03/2014-00:11:00,18.237356904722507
11/03/2014-00:12:00,18.16132049075523
11/03/2014-00:13:00,18.19577641625364
11/03/2014-00:14:00,18.569192664789394
11/03/2014-00:15:00,20.9411780868108
11/03/2014-00:16:00,21.15222259036619
11/03/2014-00:17:00,21.08112407072575
11/03/2014-00:18:00,21.07695033021765
11/03/2014-00:19:00,21.08580395004642
11/03/2014-00:20:00,21.11775135147632
11/03/2014-00:21:00,21.16237845998456
11/03/2014-00:22:00,21.115579996224152
11/03/2014-00:23:00,20.93676758789205
11/03/2014-00:24:00,20.96211548786213
11/03/2014-00:25:00,21.07187666875265
11/03/2014-00:26:00,21.14390424160193
11/03/2014-00:27:00,20.96599174026624
11/03/2014-00:28:00,21.02783210165852
11/03/2014-00:29:00,26.35343813163763
11/03/2014-00:30:00,46.397166342514325
11/03/2014-00:31:00,75.60027615359095
11/03/2014-00:32:00,93.58259327583316
11/03/2014-00:33:00,97.8012599666176
11/03/2014-00:34:00,98.7927403218096
11/03/2014-00:35:00,99.72317449383937
11/03/2014-00:36:00,100.68240055380576
11/03/2014-00:37:00,99.42073135740964
11/03/2014-00:38:00,96.22209986147313
11/03/2014-00:39:00,94.21716597709847
11/03/2014-00:40:00,92.95208548401138
11/03/2014-00:41:00,92.00619084878488
11/03/2014-00:42:00,91.34956288934828
11/03/2014-00:43:00,90.84789920824709
11/03/2014-00:44:00,90.29941153342342
11/03/2014-00:45:00,89.93437464822797
11/03/2014-00:46:00,89.59730360589334
11/03/2014-00:47:00,89.26102049288188
11/03/2014-00:48:00,88.97401846223414
11/03/2014-00:49:00,88.78485092095616
11/03/2014-00:50:00,88.4855664329878
11/03/2014-00:51:00,85.16693000772356
11/03/2014-00:52:00,21.227945995223504
11/03/2014-00:53:00,21.076796673612872
11/03/2014-00:54:00,19.597515999184985
11/03/2014-00:55:00,18.235185549470337
11/03/2014-00:56:00,18.25086752562651
11/03/2014-00:57:00,18.21076700410776
11/03/2014-00:58:00,18.273686697369083
11/03/2014-00:59:00,18.30844011097148
11/03/2014-01:00:00,18.27367117636312
11/03/2014-01:01:00,18.171459624662543
11/03/2014-01:02:00,18.271499821110947
11/03/2014-01:03:00,18.252758474332616
11/03/2014-01:04:00,19.75035805399518
11/03/2014-01:05:00,20.93245890586275
11/03/2014-01:06:00,21.02848426218797
11/03/2014-01:07:00,21.012043249732702
11/03/2014-01:08:00,21.032871996500983
11/03/2014-01:09:00,20.96706848796593
11/03/2014-01:10:00,20.971242228474026
11/03/2014-01:11:00,21.002150016455257
11/03/2014-01:12:00,30.67249032907301
11/03/2014-01:13:00,57.39048115031809
11/03/2014-01:14:00,82.3234915992813
11/03/2014-01:15:00,96.2862264952222
11/03/2014-01:16:00,98.61651486823064
11/03/2014-01:17:00,99.26858484569014
11/03/2014-01:18:00,100.16223606509364
11/03/2014-01:19:00,100.86154433539213
11/03/2014-01:20:00,97.8021751683615
11/03/2014-01:21:00,95.23842583667454
11/03/2014-01:22:00,93.69589217753465
11/03/2014-01:23:00,92.47852124525174
11/03/2014-01:24:00,91.66855105035674
11/03/2014-01:25:00,91.04340579583206
11/03/2014-01:26:00,90.6992999512324
11/03/2014-01:27:00,90.30201665395228
11/03/2014-01:28:00,89.79366666316932
11/03/2014-01:29:00,89.51498342743969
11/03/2014-01:30:00,89.19556437331259
11/03/2014-01:31:00,88.82086685917483
11/03/2014-01:32:00,88.67882114037512
11/03/2014-01:33:00,88.34393261439412
11/03/2014-01:34:00,70.8343356221805
11/03/2014-01:35:00,21.12008185161918
11/03/2014-01:36:00,21.079280830360503
11/03/2014-01:37:00,21.005713467363897
11/03/2014-01:38:00,21.05253196899321
11/03/2014-01:39:00,21.08445050307404
11/03/2014-01:40:00,21.115908111111075
11/03/2014-01:41:00,21.05634252220403
11/03/2014-01:42:00,20.96274109085305
11/03/2014-01:43:00,21.007556707729144
11/03/2014-01:44:00,18.309378930686865
11/03/2014-01:45:00,18.1596155936033
