Data-Ora,Consumo
12/03/2014-00:00:00,288.3446721949897
12/03/2014-00:01:00,274.09044234358004
12/03/2014-00:02:00,263.0492505067316
12/03/2014-00:03:00,276.81847138133884
12/03/2014-00:04:00,284.7729092995563
12/03/2014-00:05:00,272.71057973493595
12/03/2014-00:06:00,285.18887052574644
12/03/2014-00:07:00,281.5429751695531
12/03/2014-00:08:00,274.7318965778251
12/03/2014-00:09:00,265.7186034332212
12/03/2014-00:10:00,243.4190717449388
12/03/2014-00:11:00,248.1854680717064
12/03/2014-00:12:00,264.0614440623587
12/03/2014-00:13:00,244.1316749734798
12/03/2014-00:14:00,245.37514841602183
12/03/2014-00:15:00,275.4736776155103
12/03/2014-00:16:00,281.70927780308136
12/03/2014-00:17:00,287.334114074387
12/03/2014-00:18:00,282.73843412519284
12/03/2014-00:19:00,284.0474156939812
12/03/2014-00:20:00,282.00097740361
12/03/2014-00:21:00,281.78649421018326
12/03/2014-00:22:00,284.6744529619218
12/03/2014-00:23:00,276.0935149778403
12/03/2014-00:24:00,254.23055652809137
12/03/2014-00:25:00,279.6649367025825
12/03/2014-00:26:00,278.52669614892244
12/03/2014-00:27:00,280.2504953383524
12/03/2014-00:28:00,274.3179515659985
12/03/2014-00:29:00,266.14599024448285
12/03/2014-00:30:00,262.7890076574013
12/03/2014-00:31:00,266.3813167702932
12/03/2014-00:32:00,254.53873001412697
12/03/2014-00:33:00,242.10608252331548
12/03/2014-00:34:00,240.5699071621885
12/03/2014-00:35:00,250.0115079035172
12/03/2014-00:36:00,242.9466565026592
12/03/2014-00:37:00,195.9810213111621
12/03/2014-00:38:00,187.45122657948136
12/03/2014-00:39:00,198.55181629203625
12/03/2014-00:40:00,188.33238333183192
12/03/2014-00:41:00,181.6698780204416
12/03/2014-00:42:00,182.15767239314093
12/03/2014-00:43:00,177.64151603860947
12/03/2014-00:44:00,179.06320226888937
12/03/2014-00:45:00,192.1824125357232
12/03/2014-00:46:00,194.63363481118748
12/03/2014-00:47:00,190.3481800082512
12/03/2014-00:48:00,192.94899245617376
12/03/2014-00:49:00,185.550775893325
12/03/2014-00:50:00,178.33270197259134
12/03/2014-00:51:00,166.40633559799602
12/03/2014-00:52:00,196.471555848232
12/03/2014-00:53:00,188.99524444945527
12/03/2014-00:54:00,206.76874407889423
12/03/2014-00:55:00,231.3954114540425
12/03/2014-00:56:00,249.34288827321035
12/03/2014-00:57:00,267.09484844560984
12/03/2014-00:58:00,257.12326380776005
12/03/2014-00:59:00,234.9318006140298
12/03/2014-01:00:00,241.8522445064069
12/03/2014-01:01:00,231.98181245238607
12/03/2014-01:02:00,248.7874298969637
12/03/2014-01:03:00,254.97726570960543
12/03/2014-01:04:00,249.13220575470623
12/03/2014-01:05:00,256.37131332690615
12/03/2014-01:06:00,260.94243755837044
12/03/2014-01:07:00,266.0621213690404
12/03/2014-01:08:00,243.72681846984548
12/03/2014-01:09:00,258.51974325829013
12/03/2014-01:10:00,263.35112808593
12/03/2014-01:11:00,215.6169471208557
12/03/2014-01:12:00,198.25538632066807
12/03/2014-01:13:00,191.56118949956925
12/03/2014-01:14:00,194.97238755506484
12/03/2014-01:15:00,202.3606049566448
12/03/2014-01:16:00,200.30570918972103
12/03/2014-01:17:00,199.8007651081209
12/03/2014-01:18:00,195.73488940060207
12/03/2014-01:19:00,193.635942297
12/03/2014-01:20:00,179.8313610783404
12/03/2014-01:21:00,185.77071574797063
12/03/2014-01:22:00,170.46297308986072
12/03/2014-01:23:00,185.25119038618507
12/03/2014-01:24:00,168.9665332264345
12/03/2014-01:25:00,170.46388857327815
12/03/2014-01:26:00,179.8440656761304
12/03/2014-01:27:00,177.42361234460927
12/03/2014-01:28:00,194.1621066291985
12/03/2014-01:29:00,178.40770927780792
12/03/2014-01:30:00,183.8889814285021
12/03/2014-01:31:00,224.77245621460247
12/03/2014-01:32:00,237.6746967463384
12/03/2014-01:33:00,245.4262557729137
12/03/2014-01:34:00,237.43672318022448
12/03/2014-01:35:00,263.2159763789703
12/03/2014-01:36:00,268.34294007034373
12/03/2014-01:37:00,132.46769119365786
12/03/2014-01:38:00,126.45300907579748
12/03/2014-01:39:00,126.30913662276905
12/03/2014-01:40:00,124.7544971530838
12/03/2014-01:41:00,123.20140508307745
12/03/2014-01:42:00,123.09557671336532
12/03/2014-01:43:00,123.0225896015222
12/03/2014-01:44:00,122.6879841061074
12/03/2014-01:45:00,122.69030480581424
12/03/2014-01:46:00,123.79337223382134
12/03/2014-01:47:00,86.76812145438284
12/03/2014-01:48:00,37.271341498843526
12/03/2014-01:49:00,18.31061146622365
12/03/2014-01:50:00,19.86496807726208
12/03/2014-01:51:00,21.069682801596144
12/03/2014-01:52:00,21.11389041246369
12/03/2014-01:53:00,21.07262293310477
12/03/2014-01:54:00,21.191318714472928
12/03/2014-01:55:00,20.99844528050871
12/03/2014-01:56:00,21.094939678742183
12/03/2014-01:57:00,21.121961481683883
12/03/2014-01:58:00,21.061188873544577
12/03/2014-01:59:00,21.10442492777458
12/03/2014-02:00:00,21.11496970662469
12/03/2014-02:01:00,21.135596921632377
12/03/2014-02:02:00,21.120134428838305
12/03/2014-02:03:00,21.06479925908837
12/03/2014-02:04:00,20.96261351116158
12/03/2014-02:05:00,21.032094647731764
12/03/2014-02:06:00,29.49922987047576
12/03/2014-02:07:00,23.55264392510731
12/03/2014-02:08:00,28.35858926803049
12/03/2014-02:09:00,50.037570959200735
12/03/2014-02:10:00,72.18362331350127
12/03/2014-02:11:00,86.77066718669771
12/03/2014-02:12:00,87.3794004041327
12/03/2014-02:13:00,87.38295497769937
12/03/2014-02:14:00,87.29480937266763
12/03/2014-02:15:00,87.17766045124279
12/03/2014-02:16:00,86.97062595053517
12/03/2014-02:17:00,86.87917845218773
12/03/2014-02:18:00,86.72898169814772
