Data-Ora,Consumo
14/03/2014-00:00:00,196.61958107829653
14/03/2014-00:01:00,200.5419073260993
14/03/2014-00:02:00,180.10370567455075
14/03/2014-00:03:00,194.86276794560743
14/03/2014-00:04:00,202.6444260039336
14/03/2014-00:05:00,199.68602809168243
14/03/2014-00:06:00,201.68460644603337
14/03/2014-00:07:00,196.7607092968852
14/03/2014-00:08:00,200.9672417217473
14/03/2014-00:09:00,198.21152534569336
14/03/2014-00:10:00,200.52591099398649
14/03/2014-00:11:00,199.9400790287396
14/03/2014-00:12:00,203.0447845815204
14/03/2014-00:13:00,202.3590623376581
14/03/2014-00:14:00,204.68383020520736
14/03/2014-00:15:00,200.4894406372024
14/03/2014-00:16:00,207.0480964286812
14/03/2014-00:17:00,224.82244989496
14/03/2014-00:18:00,250.80379781404824
14/03/2014-00:19:00,270.03815777020264
14/03/2014-00:20:00,278.9107234335093
14/03/2014-00:21:00,279.4133034263619
14/03/2014-00:22:00,280.5562005395132
14/03/2014-00:23:00,281.4783291637702
14/03/2014-00:24:00,280.9115159295828
14/03/2014-00:25:00,276.4801587029715
14/03/2014-00:26:00,274.99609905878464
14/03/2014-00:27:00,273.5086971850924
14/03/2014-00:28:00,272.18079108769246
14/03/2014-00:29:00,270.74327801276246
14/03/2014-00:30:00,264.87689955240586
14/03/2014-00:31:00,269.1577913429156
14/03/2014-00:32:00,267.9397098593722
14/03/2014-00:33:00,270.5456236322078
14/03/2014-00:34:00,268.6330420625167
14/03/2014-00:35:00,257.7599619929699
14/03/2014-00:36:00,267.056584403683
14/03/2014-00:37:00,249.7730573908015
14/03/2014-00:38:00,267.23643485069624
14/03/2014-00:39:00,266.570765841412
14/03/2014-00:40:00,255.6983022939664
14/03/2014-00:41:00,203.02306819289203
14/03/2014-00:42:00,202.91164804564173
14/03/2014-00:43:00,202.2522418203561
14/03/2014-00:44:00,198.85939081229287
14/03/2014-00:45:00,200.0308614992049
14/03/2014-00:46:00,201.40125940679343
14/03/2014-00:47:00,200.14867606756096
14/03/2014-00:48:00,199.38688659223592
14/03/2014-00:49:00,200.15523642867856
14/03/2014-00:50:00,200.052774936408
14/03/2014-00:51:00,199.99183220438965
14/03/2014-00:52:00,198.5295495689592
14/03/2014-00:53:00,200.62283432938847
14/03/2014-00:54:00,202.42351297011743
14/03/2014-00:55:00,202.28443799417624
14/03/2014-00:56:00,201.4028964940796
14/03/2014-00:57:00,201.98670196923123
14/03/2014-00:58:00,200.0576667986119
14/03/2014-00:59:00,201.8544967733069
14/03/2014-01:00:00,193.98475242577
14/03/2014-01:01:00,190.531712679814
14/03/2014-01:02:00,83.47021603679137
14/03/2014-01:03:00,56.9591481058002
14/03/2014-01:04:00,74.41122088052212
14/03/2014-01:05:00,88.01292280746055
14/03/2014-01:06:00,88.43812418227476
14/03/2014-01:07:00,88.31479312431502
14/03/2014-01:08:00,88.15800568844767
14/03/2014-01:09:00,89.6812385629653
14/03/2014-01:10:00,94.13271419410783
14/03/2014-01:11:00,96.3537684689582
14/03/2014-01:12:00,97.81992545165156
14/03/2014-01:13:00,99.205447947609
14/03/2014-01:14:00,99.7910225215996
14/03/2014-01:15:00,100.36878970319026
14/03/2014-01:16:00,96.32333154213832
14/03/2014-01:17:00,93.40642317206124
14/03/2014-01:18:00,91.52111369597856
14/03/2014-01:19:00,90.48763787384073
14/03/2014-01:20:00,89.56130727602915
14/03/2014-01:21:00,89.1196064516193
14/03/2014-01:22:00,88.53306863861441
14/03/2014-01:23:00,88.11597842867288
