Data-Ora,Consumo
15/03/2014-00:00:00,247.7508635280993
15/03/2014-00:01:00,250.2956516264152
15/03/2014-00:02:00,252.01535622079905
15/03/2014-00:03:00,246.2302799973697
15/03/2014-00:04:00,249.2677038428965
15/03/2014-00:05:00,245.42136051390943
15/03/2014-00:06:00,252.41780220196043
15/03/2014-00:07:00,250.61896837529417
15/03/2014-00:08:00,248.9058196381788
15/03/2014-00:09:00,244.3101399666776
15/03/2014-00:10:00,248.76863991380685
15/03/2014-00:11:00,245.99890403148336
15/03/2014-00:12:00,247.82938221098263
15/03/2014-00:13:00,225.7467912737449
15/03/2014-00:14:00,206.7659665761635
15/03/2014-00:15:00,220.9038957846708
15/03/2014-00:16:00,243.69215625299248
15/03/2014-00:17:00,251.3764266287156
15/03/2014-00:18:00,240.077309451754
15/03/2014-00:19:00,243.31408541341733
15/03/2014-00:20:00,243.7237378103992
15/03/2014-00:21:00,244.92681853224647
15/03/2014-00:22:00,245.28682808406003
15/03/2014-00:23:00,199.91567321066827
15/03/2014-00:24:00,211.9378836191918
15/03/2014-00:25:00,229.0252356775818
15/03/2014-00:26:00,217.70900408483888
15/03/2014-00:27:00,283.33091992646126
15/03/2014-00:28:00,294.876516541862
15/03/2014-00:29:00,279.23761059095534
15/03/2014-00:30:00,287.7226249826969
15/03/2014-00:31:00,281.1524120449142
15/03/2014-00:32:00,283.54364875682273
15/03/2014-00:33:00,281.16828442651627
15/03/2014-00:34:00,286.50838781356003
15/03/2014-00:35:00,287.46262615858024
15/03/2014-00:36:00,279.0267452916144
15/03/2014-00:37:00,279.3305142360434
15/03/2014-00:38:00,274.32760348253134
15/03/2014-00:39:00,276.9744075523448
15/03/2014-00:40:00,273.2782071095882
15/03/2014-00:41:00,273.9627427310481
15/03/2014-00:42:00,265.8279912997416
15/03/2014-00:43:00,193.5282992214319
15/03/2014-00:44:00,142.18815707020082
15/03/2014-00:45:00,142.0394250629962
15/03/2014-00:46:00,142.1529486548915
15/03/2014-00:47:00,141.9974794478858
15/03/2014-00:48:00,141.99561183880087
15/03/2014-00:49:00,141.6259580856443
15/03/2014-00:50:00,143.6243822374106
15/03/2014-00:51:00,144.32455721697113
15/03/2014-00:52:00,144.44456619411972
15/03/2014-00:53:00,144.21241888576785
15/03/2014-00:54:00,144.3662468825744
15/03/2014-00:55:00,144.25573626938854
15/03/2014-00:56:00,144.3663704976439
15/03/2014-00:57:00,144.2557201014416
15/03/2014-00:58:00,144.1079644061879
15/03/2014-00:59:00,143.96062619285044
15/03/2014-01:00:00,144.07335107089384
15/03/2014-01:01:00,144.14299849342532
15/03/2014-01:02:00,144.10919823749322
15/03/2014-01:03:00,144.03465935256835
15/03/2014-01:04:00,143.85263328212804
15/03/2014-01:05:00,144.64982241075086
15/03/2014-01:06:00,144.47995707948633
15/03/2014-01:07:00,143.85444550932584
15/03/2014-01:08:00,140.73241061070476
15/03/2014-01:09:00,137.05588836719676
15/03/2014-01:10:00,134.6864052500918
