Data-Ora,Consumo
16/03/2014-00:00:00,204.93042686969508
16/03/2014-00:01:00,203.3344345202784
16/03/2014-00:02:00,215.3784763435892
16/03/2014-00:03:00,242.33956233883373
16/03/2014-00:04:00,255.3195910558129
16/03/2014-00:05:00,269.39812044861225
16/03/2014-00:06:00,265.5462433885203
16/03/2014-00:07:00,265.8655800405508
16/03/2014-00:08:00,268.4288996989493
16/03/2014-00:09:00,268.08027674535253
16/03/2014-00:10:00,222.09418571208107
16/03/2014-00:11:00,161.61459880933583
16/03/2014-00:12:00,151.4404679191778
16/03/2014-00:13:00,175.9962738404329
16/03/2014-00:14:00,260.9573170878513
16/03/2014-00:15:00,268.9403223244422
16/03/2014-00:16:00,262.2570253799857
16/03/2014-00:17:00,253.57533210381976
16/03/2014-00:18:00,268.9751535174016
16/03/2014-00:19:00,263.40332252921763
16/03/2014-00:20:00,263.5305504440704
16/03/2014-00:21:00,203.4341883560381
16/03/2014-00:22:00,205.51572124214275
16/03/2014-00:23:00,197.159789891346
16/03/2014-00:24:00,201.44809972566063
16/03/2014-00:25:00,204.7095951473933
16/03/2014-00:26:00,203.2998402116192
16/03/2014-00:27:00,201.79567362249213
16/03/2014-00:28:00,202.62985547344795
16/03/2014-00:29:00,204.48033122710632
16/03/2014-00:30:00,205.5421812409668
16/03/2014-00:31:00,206.41128486361515
16/03/2014-00:32:00,196.2771742808592
16/03/2014-00:33:00,171.52000731345296
16/03/2014-00:34:00,165.4777869807085
16/03/2014-00:35:00,152.28648007431488
16/03/2014-00:36:00,162.79823582681007
16/03/2014-00:37:00,162.85803265592205
16/03/2014-00:38:00,228.5744980249759
16/03/2014-00:39:00,239.49688359996188
16/03/2014-00:40:00,263.6305455771051
16/03/2014-00:41:00,254.98181700929567
16/03/2014-00:42:00,227.68544278061893
16/03/2014-00:43:00,277.0876354036787
16/03/2014-00:44:00,269.9517623800776
16/03/2014-00:45:00,258.65480851510586
16/03/2014-00:46:00,270.7625438286317
16/03/2014-00:47:00,271.2936426418019
16/03/2014-00:48:00,272.2674061769599
16/03/2014-00:49:00,269.7186223138451
16/03/2014-00:50:00,264.2045101542644
16/03/2014-00:51:00,263.23480902192165
16/03/2014-00:52:00,267.4077216280446
16/03/2014-00:53:00,267.9658772081032
16/03/2014-00:54:00,268.7808794746437
16/03/2014-00:55:00,268.3448004539273
16/03/2014-00:56:00,262.8913998801356
16/03/2014-00:57:00,265.91388382836146
16/03/2014-00:58:00,210.99910200579748
16/03/2014-00:59:00,199.6173837012932
16/03/2014-01:00:00,193.3396774104292
16/03/2014-01:01:00,206.13322546617044
16/03/2014-01:02:00,203.3166927747017
16/03/2014-01:03:00,205.26264901062663
16/03/2014-01:04:00,204.03646019880844
16/03/2014-01:05:00,205.2581567350702
16/03/2014-01:06:00,203.2955339158532
16/03/2014-01:07:00,205.1916758702241
16/03/2014-01:08:00,204.63677050028485
16/03/2014-01:09:00,198.7708620714947
16/03/2014-01:10:00,200.5318434245356
16/03/2014-01:11:00,203.0647399788268
16/03/2014-01:12:00,191.55998027936303
16/03/2014-01:13:00,194.64034067682263
16/03/2014-01:14:00,205.7715221299292
16/03/2014-01:15:00,197.58337561827875
16/03/2014-01:16:00,184.69179456937567
16/03/2014-01:17:00,200.4280976844373
16/03/2014-01:18:00,204.55121259503088
16/03/2014-01:19:00,201.66320588225656
16/03/2014-01:20:00,206.71670815974875
16/03/2014-01:21:00,221.5107793704325
16/03/2014-01:22:00,249.65222884859404
16/03/2014-01:23:00,263.7832537143265
