Data-Ora,Consumo
14/04/2014-00:00:00,202.4310973596364
14/04/2014-00:01:00,201.7610661799065
14/04/2014-00:02:00,198.59077223758823
14/04/2014-00:03:00,198.84989889463583
14/04/2014-00:04:00,199.6205257136355
14/04/2014-00:05:00,206.6179667202868
14/04/2014-00:06:00,223.1771038633262
14/04/2014-00:07:00,252.6744223410657
14/04/2014-00:08:00,272.0205639683461
14/04/2014-00:09:00,278.0409085469967
14/04/2014-00:10:00,279.27217774758105
14/04/2014-00:11:00,275.3332493701399
14/04/2014-00:12:00,282.8271573435608
14/04/2014-00:13:00,279.7495083813817
14/04/2014-00:14:00,273.87181522628464
14/04/2014-00:15:00,267.44041206836715
14/04/2014-00:16:00,275.29259068142113
14/04/2014-00:17:00,272.09430195136434
14/04/2014-00:18:00,273.22822677485567
14/04/2014-00:19:00,272.43319495816485
14/04/2014-00:20:00,272.19954716148646
14/04/2014-00:21:00,270.8956645656388
14/04/2014-00:22:00,263.3476107919851
14/04/2014-00:23:00,262.42995236474223
14/04/2014-00:24:00,267.6998281129423
14/04/2014-00:25:00,271.9204819252066
14/04/2014-00:26:00,271.03443361510824
14/04/2014-00:27:00,263.52287939925577
14/04/2014-00:28:00,265.4580172589525
14/04/2014-00:29:00,211.96153641026123
14/04/2014-00:30:00,197.7470829385966
14/04/2014-00:31:00,189.65927154168216
14/04/2014-00:32:00,188.3704637379143
14/04/2014-00:33:00,198.6974381197255
14/04/2014-00:34:00,199.99767281268788
14/04/2014-00:35:00,197.8788828089004
14/04/2014-00:36:00,199.10690618384103
14/04/2014-00:37:00,199.1989041910444
14/04/2014-00:38:00,194.67854029605624
14/04/2014-00:39:00,198.5678938255465
14/04/2014-00:40:00,197.25207718882604
14/04/2014-00:41:00,195.30968198054123
14/04/2014-00:42:00,191.37553169875608
14/04/2014-00:43:00,199.22731008684065
14/04/2014-00:44:00,198.25902113715463
14/04/2014-00:45:00,202.4139151164893
14/04/2014-00:46:00,212.2268331439234
14/04/2014-00:47:00,240.6834932325178
14/04/2014-00:48:00,262.43206264202416
14/04/2014-00:49:00,267.4027189629204
14/04/2014-00:50:00,272.150952958288
14/04/2014-00:51:00,270.6959704799028
14/04/2014-00:52:00,267.91181103873635
14/04/2014-00:53:00,284.6978087603251
14/04/2014-00:54:00,271.29684894030726
14/04/2014-00:55:00,270.51557769093125
14/04/2014-00:56:00,263.3528339732764
14/04/2014-00:57:00,268.30776991792834
14/04/2014-00:58:00,260.04862589675287
14/04/2014-00:59:00,270.808039116979
14/04/2014-01:00:00,275.2752715243854
14/04/2014-01:01:00,272.3008269101329
14/04/2014-01:02:00,264.3868607403498
14/04/2014-01:03:00,224.3385186321873
14/04/2014-01:04:00,91.11094610865209
14/04/2014-01:05:00,90.78020837813276
14/04/2014-01:06:00,90.63013747999776
14/04/2014-01:07:00,90.41239316991768
14/04/2014-01:08:00,90.07780296249868
14/04/2014-01:09:00,40.80564120217066
14/04/2014-01:10:00,21.12053299632795
14/04/2014-01:11:00,21.067155063151187
14/04/2014-01:12:00,21.07896802886504
14/04/2014-01:13:00,21.148048849858093
14/04/2014-01:14:00,21.078968028865045
14/04/2014-01:15:00,21.140278274010683
14/04/2014-01:16:00,21.164039406732133
14/04/2014-01:17:00,21.217027452461423
14/04/2014-01:18:00,21.113126466259448
14/04/2014-01:19:00,21.22577463997133
14/04/2014-01:20:00,21.15252007847019
14/04/2014-01:21:00,21.258225991869605
14/04/2014-01:22:00,21.18115852417787
14/04/2014-01:23:00,21.30884642990821
14/04/2014-01:24:00,18.267341601608813
14/04/2014-01:25:00,18.32540725487329
14/04/2014-01:26:00,18.30812710186152
14/04/2014-01:27:00,25.992881173485983
14/04/2014-01:28:00,50.89034923964549
14/04/2014-01:29:00,78.66513853341633
14/04/2014-01:30:00,94.1366458239234
14/04/2014-01:31:00,97.14309910115254
14/04/2014-01:32:00,98.68594237524717
14/04/2014-01:33:00,99.83197112627842
14/04/2014-01:34:00,103.15751588914152
14/04/2014-01:35:00,102.15369309763685
14/04/2014-01:36:00,98.5727381062792
14/04/2014-01:37:00,96.35856772350992
14/04/2014-01:38:00,95.03101367779348
14/04/2014-01:39:00,94.01745501992876
14/04/2014-01:40:00,93.31488736556145
14/04/2014-01:41:00,92.93551350276184
14/04/2014-01:42:00,92.36940751056476
14/04/2014-01:43:00,91.99974345639292
14/04/2014-01:44:00,91.59405898543076
14/04/2014-01:45:00,91.27739318816285
14/04/2014-01:46:00,90.96148290629692
14/04/2014-01:47:00,90.63703224146552
14/04/2014-01:48:00,90.29632373074034
14/04/2014-01:49:00,90.15722107473847
14/04/2014-01:50:00,52.432551842682
14/04/2014-01:51:00,21.01148082403737
14/04/2014-01:52:00,21.021769533677976
14/04/2014-01:53:00,21.13970136884189
14/04/2014-01:54:00,21.21483358530492
14/04/2014-01:55:00,21.13776611761318
14/04/2014-01:56:00,21.18914735922076
14/04/2014-01:57:00,21.18914735922076
14/04/2014-01:58:00,21.0270547528893
14/04/2014-01:59:00,21.080498467734827
14/04/2014-02:00:00,21.082669822987
14/04/2014-02:01:00,21.1107959661166
14/04/2014-02:02:00,20.999055570108165
14/04/2014-02:03:00,21.031776358490763
14/04/2014-02:04:00,20.89520602212125
14/04/2014-02:05:00,20.931520501376365
14/04/2014-02:06:00,21.042325434723004
14/04/2014-02:07:00,21.00508786437297
14/04/2014-02:08:00,21.04001024797161
14/04/2014-02:09:00,31.89216514457345
14/04/2014-02:10:00,60.78940824362636
14/04/2014-02:11:00,85.35418085480845
14/04/2014-02:12:00,98.01559649495891
14/04/2014-02:13:00,98.90563271649349
14/04/2014-02:14:00,98.49979271301976
14/04/2014-02:15:00,99.5335322399627
14/04/2014-02:16:00,100.4107400949601
14/04/2014-02:17:00,98.349268594031
14/04/2014-02:18:00,95.13362742213732
14/04/2014-02:19:00,93.23682013789178
14/04/2014-02:20:00,91.7730159244168
14/04/2014-02:21:00,91.10229939596736
14/04/2014-02:22:00,90.33771889908876
14/04/2014-02:23:00,91.38632042198472
14/04/2014-02:24:00,92.07237354192296
14/04/2014-02:25:00,91.7013020787032
14/04/2014-02:26:00,91.3887272940444
14/04/2014-02:27:00,91.09963541677232
14/04/2014-02:28:00,90.67696943917322
14/04/2014-02:29:00,90.60526186074048
14/04/2014-02:30:00,90.07965284652792
14/04/2014-02:31:00,89.89233570831547
14/04/2014-02:32:00,43.3462032111667
14/04/2014-02:33:00,21.18336797338183
14/04/2014-02:34:00,20.966755686470467
14/04/2014-02:35:00,21.14420694879547
14/04/2014-02:36:00,21.227945995223504
14/04/2014-02:37:00,21.15222259036619
14/04/2014-02:38:00,21.03783889271945
14/04/2014-02:39:00,20.99844528050871
14/04/2014-02:40:00,21.08112407072575
14/04/2014-02:41:00,21.04140234362809
14/04/2014-02:42:00,20.988050080637624
14/04/2014-02:43:00,21.07617107062196
14/04/2014-02:44:00,20.92936445951566
14/04/2014-02:45:00,21.04169983173208
14/04/2014-02:46:00,21.067155063151187
14/04/2014-02:47:00,21.042012633227543
14/04/2014-02:48:00,21.025319945261018
14/04/2014-02:49:00,21.181174106225324
14/04/2014-02:50:00,21.091885054291097
14/04/2014-02:51:00,25.57677142546112
14/04/2014-02:52:00,43.82702039532079
14/04/2014-02:53:00,74.59206219685228
14/04/2014-02:54:00,93.73405000096226
14/04/2014-02:55:00,99.27623366575398
14/04/2014-02:56:00,100.59912429080264
14/04/2014-02:57:00,101.67493113349686
14/04/2014-02:58:00,102.7462261860646
14/04/2014-02:59:00,102.41364251619152
14/04/2014-03:00:00,99.0974867388494
14/04/2014-03:01:00,96.61650452997247
14/04/2014-03:02:00,95.03775052697516
14/04/2014-03:03:00,91.32822302636669
14/04/2014-03:04:00,90.52737719166788
14/04/2014-03:05:00,89.93020090771988
14/04/2014-03:06:00,89.41261980382318
14/04/2014-03:07:00,88.95310604430769
14/04/2014-03:08:00,88.67574522544425
14/04/2014-03:09:00,88.35080292989974
14/04/2014-03:10:00,87.93592221080809
14/04/2014-03:11:00,87.59885023420821
14/04/2014-03:12:00,87.40929881844508
14/04/2014-03:13:00,89.96651870880699
14/04/2014-03:14:00,80.3895305106212
14/04/2014-03:15:00,21.110795966116594
14/04/2014-03:16:00,21.30120055672465
14/04/2014-03:17:00,21.228258796718965
14/04/2014-03:18:00,21.181174106225324
14/04/2014-03:19:00,21.30671187728744
14/04/2014-03:20:00,21.22577463997133
14/04/2014-03:21:00,21.37035387498077
14/04/2014-03:22:00,21.223459453219945
14/04/2014-03:23:00,21.27039789813032
14/04/2014-03:24:00,21.10442492777458
14/04/2014-03:25:00,21.19069311148201
14/04/2014-03:26:00,21.338140638970685
14/04/2014-03:27:00,21.26457327597408
14/04/2014-03:28:00,21.06400632827169
14/04/2014-03:29:00,21.29765241920748
14/04/2014-03:30:00,21.18290891385361
14/04/2014-03:31:00,21.298731713368483
14/04/2014-03:32:00,21.22546183847587
14/04/2014-03:33:00,21.22547715186733
14/04/2014-03:34:00,24.07434840851442
14/04/2014-03:35:00,38.550751929508095
14/04/2014-03:36:00,70.72387760200475
14/04/2014-03:37:00,91.11540811327886
14/04/2014-03:38:00,99.09780154235224
14/04/2014-03:39:00,100.52850024173767
14/04/2014-03:40:00,101.60321853347024
14/04/2014-03:41:00,102.56510142127289
14/04/2014-03:42:00,102.5966300908372
14/04/2014-03:43:00,99.36246027506982
14/04/2014-03:44:00,96.65652815880432
14/04/2014-03:45:00,95.17627915788324
14/04/2014-03:46:00,94.1032689312458
14/04/2014-03:47:00,93.38433206175311
14/04/2014-03:48:00,92.70431815113416
14/04/2014-03:49:00,92.36462690609645
14/04/2014-03:50:00,91.85261558167822
14/04/2014-03:51:00,91.61390850861794
14/04/2014-03:52:00,90.11210545250516
14/04/2014-03:53:00,88.08227445918085
14/04/2014-03:54:00,87.74819276241196
14/04/2014-03:55:00,87.64120344377764
14/04/2014-03:56:00,87.27430364492099
14/04/2014-03:57:00,86.86458397078016
14/04/2014-03:58:00,20.380729574416783
14/04/2014-03:59:00,18.307829613757526
14/04/2014-04:00:00,18.325088754375432
14/04/2014-04:01:00,18.377223443860533
14/04/2014-04:02:00,19.63849912900121
14/04/2014-04:03:00,21.03050619496233
14/04/2014-04:04:00,20.978243063931405
14/04/2014-04:05:00,20.83050296424437
14/04/2014-04:06:00,20.950686327429
14/04/2014-04:07:00,20.851508433392503
14/04/2014-04:08:00,20.995661089195767
14/04/2014-04:09:00,21.00540066586844
14/04/2014-04:10:00,21.04249440471925
14/04/2014-04:11:00,21.076796673612872
14/04/2014-04:12:00,21.17642916916153
14/04/2014-04:13:00,21.26488607746954
14/04/2014-04:14:00,20.9687580717264
14/04/2014-04:15:00,21.191318714472928
14/04/2014-04:16:00,21.14390424160193
14/04/2014-04:17:00,21.00538535247697
14/04/2014-04:18:00,31.348224575712138
14/04/2014-04:19:00,59.07125306893086
14/04/2014-04:20:00,84.02197680252063
14/04/2014-04:21:00,97.53635744415185
14/04/2014-04:22:00,99.86752342269094
14/04/2014-04:23:00,101.08471521765658
14/04/2014-04:24:00,101.87746860555724
14/04/2014-04:25:00,102.74884628496044
14/04/2014-04:26:00,102.37918638307862
14/04/2014-04:27:00,98.79666752327252
14/04/2014-04:28:00,96.3955041725022
14/04/2014-04:29:00,94.9940770211867
14/04/2014-04:30:00,93.81086389630364
14/04/2014-04:31:00,87.53517020739639
14/04/2014-04:32:00,81.4950317577256
14/04/2014-04:33:00,81.05811319870006
14/04/2014-04:34:00,85.47749926148148
14/04/2014-04:35:00,91.28115256789074
14/04/2014-04:36:00,91.05753878232098
14/04/2014-04:37:00,90.74636441800976
14/04/2014-04:38:00,90.37344203268826
14/04/2014-04:39:00,90.19015364810656
14/04/2014-04:40:00,89.67010318045585
14/04/2014-04:41:00,59.26853246554355
14/04/2014-04:42:00,18.76353103035053
14/04/2014-04:43:00,18.38602186197101
14/04/2014-04:44:00,18.20904798978379
14/04/2014-04:45:00,18.30812710186152
14/04/2014-04:46:00,18.39996277742439
14/04/2014-04:47:00,18.38355301861484
14/04/2014-04:48:00,18.31061146622365
14/04/2014-04:49:00,18.34475438261209
14/04/2014-04:50:00,18.3272982035794
14/04/2014-04:51:00,18.26656213439861
14/04/2014-04:52:00,21.08018514720312
14/04/2014-04:53:00,21.17471769299557
14/04/2014-04:54:00,21.22547715186733
14/04/2014-04:55:00,21.339845536122617
14/04/2014-04:56:00,21.26039953546597
14/04/2014-04:57:00,21.262401920721903
14/04/2014-04:58:00,21.3399991927274
14/04/2014-04:59:00,21.30073409862441
14/04/2014-05:00:00,21.227945995223504
14/04/2014-05:01:00,23.88653689736636
14/04/2014-05:02:00,37.36360962902749
14/04/2014-05:03:00,68.79926033045611
14/04/2014-05:04:00,90.00993822177121
14/04/2014-05:05:00,98.89974741429482
14/04/2014-05:06:00,100.12823751410062
14/04/2014-05:07:00,101.19783528767306
14/04/2014-05:08:00,102.2534590147025
14/04/2014-05:09:00,103.15700629666848
14/04/2014-05:10:00,100.94145222663
14/04/2014-05:11:00,97.78233662446898
14/04/2014-05:12:00,95.6955615256781
14/04/2014-05:13:00,94.35806829510489
14/04/2014-05:14:00,93.4761231599957
14/04/2014-05:15:00,92.8489771824927
14/04/2014-05:16:00,92.36740512530882
14/04/2014-05:17:00,91.91914762115614
14/04/2014-05:18:00,57.04094658705559
14/04/2014-05:19:00,11.971517177722609
14/04/2014-05:20:00,11.934274648900404
14/04/2014-05:21:00,33.96086667773291
14/04/2014-05:22:00,90.1892252091162
14/04/2014-05:23:00,89.9733948258335
14/04/2014-05:24:00,69.2943970143715
14/04/2014-05:25:00,21.147736048362628
14/04/2014-05:26:00,21.29733961771201
14/04/2014-05:27:00,21.181476813418865
14/04/2014-05:28:00,21.338140638970685
14/04/2014-05:29:00,21.333084010357386
14/04/2014-05:30:00,21.26457327597408
14/04/2014-05:31:00,20.35692403012792
14/04/2014-05:32:00,18.342583027359925
14/04/2014-05:33:00,18.43517933392164
14/04/2014-05:34:00,18.364568068202782
14/04/2014-05:35:00,18.3838660277248
14/04/2014-05:36:00,18.34445689450809
14/04/2014-05:37:00,18.318329633952143
14/04/2014-05:38:00,18.26656213439861
14/04/2014-05:39:00,18.4183219532232
14/04/2014-05:40:00,18.285306733354545
14/04/2014-05:41:00,19.52337646914812
14/04/2014-05:42:00,21.178980239068814
14/04/2014-05:43:00,21.22547715186733
14/04/2014-05:44:00,24.34075599744148
