Data-Ora,Consumo
15/04/2014-00:00:00,203.22636189892705
15/04/2014-00:01:00,204.36055678939897
15/04/2014-00:02:00,220.2768581286635
15/04/2014-00:03:00,248.1959438963664
15/04/2014-00:04:00,267.2682852579014
15/04/2014-00:05:00,285.21684169826125
15/04/2014-00:06:00,301.84490015717444
15/04/2014-00:07:00,284.26064846393655
15/04/2014-00:08:00,289.83168729008577
15/04/2014-00:09:00,280.847748946539
15/04/2014-00:10:00,277.7357989740861
15/04/2014-00:11:00,286.5356270665366
15/04/2014-00:12:00,280.36025392104943
15/04/2014-00:13:00,254.9191409080592
15/04/2014-00:14:00,275.5957575998644
15/04/2014-00:15:00,276.90845951095986
15/04/2014-00:16:00,276.0582619210379
15/04/2014-00:17:00,273.2604464092072
15/04/2014-00:18:00,265.6336132210259
15/04/2014-00:19:00,273.1369112453272
15/04/2014-00:20:00,263.6580478417568
15/04/2014-00:21:00,263.8526065715607
15/04/2014-00:22:00,263.47137781727605
15/04/2014-00:23:00,269.07162939013205
15/04/2014-00:24:00,267.41874258071965
15/04/2014-00:25:00,263.1742444032443
15/04/2014-00:26:00,261.0480314770926
15/04/2014-00:27:00,205.2808411519593
15/04/2014-00:28:00,183.0054590240137
15/04/2014-00:29:00,190.1650591281024
15/04/2014-00:30:00,189.6130958059631
15/04/2014-00:31:00,199.0742412660433
15/04/2014-00:32:00,194.86245724295048
15/04/2014-00:33:00,185.9612262531828
15/04/2014-00:34:00,173.80647472681474
15/04/2014-00:35:00,188.71194206486288
15/04/2014-00:36:00,178.3441687893984
15/04/2014-00:37:00,183.14747403711527
15/04/2014-00:38:00,195.6180541403659
15/04/2014-00:39:00,185.0883917261375
15/04/2014-00:40:00,187.2436645978917
15/04/2014-00:41:00,202.6137562799246
15/04/2014-00:42:00,194.6737293857969
15/04/2014-00:43:00,194.52259690652525
15/04/2014-00:44:00,181.4126678291865
15/04/2014-00:45:00,189.94505976237247
15/04/2014-00:46:00,201.8426935309048
15/04/2014-00:47:00,233.6889809706589
15/04/2014-00:48:00,252.46149899133263
15/04/2014-00:49:00,264.5001030672342
15/04/2014-00:50:00,263.7771710844579
15/04/2014-00:51:00,278.7784560588352
15/04/2014-00:52:00,280.16793328105655
15/04/2014-00:53:00,281.06090558891947
15/04/2014-00:54:00,272.0401025922063
15/04/2014-00:55:00,272.85527002977534
15/04/2014-00:56:00,270.1828408040101
15/04/2014-00:57:00,266.80363893672063
15/04/2014-00:58:00,270.5690184103586
15/04/2014-00:59:00,276.3517053448272
15/04/2014-01:00:00,268.5094034163386
