Data-Ora,Consumo
16/04/2014-00:00:00,415.89715872581206
16/04/2014-00:01:00,421.464605119899
16/04/2014-00:02:00,421.0975984942117
16/04/2014-00:03:00,422.0095609098569
16/04/2014-00:04:00,420.9877619104362
16/04/2014-00:05:00,422.0839557653466
16/04/2014-00:06:00,422.3128419860903
16/04/2014-00:07:00,422.55515780282457
16/04/2014-00:08:00,423.0175678598577
16/04/2014-00:09:00,422.6317760162145
16/04/2014-00:10:00,423.26909058264295
16/04/2014-00:11:00,375.46625658632007
16/04/2014-00:12:00,200.1939620443333
16/04/2014-00:13:00,206.47242674231865
16/04/2014-00:14:00,255.4067084120324
16/04/2014-00:15:00,283.29733222205004
16/04/2014-00:16:00,314.48235458474136
16/04/2014-00:17:00,328.4601886283867
16/04/2014-00:18:00,323.6085423943646
16/04/2014-00:19:00,309.98896679949183
16/04/2014-00:20:00,296.10270363232064
16/04/2014-00:21:00,298.4493454153504
16/04/2014-00:22:00,299.26710536546733
16/04/2014-00:23:00,298.4150420834654
16/04/2014-00:24:00,297.9656595837322
16/04/2014-00:25:00,293.83722531671214
16/04/2014-00:26:00,195.72093829532923
16/04/2014-00:27:00,118.25349494846922
16/04/2014-00:28:00,118.82555742466242
16/04/2014-00:29:00,120.62323395780932
16/04/2014-00:30:00,121.2203234160008
16/04/2014-00:31:00,121.4624105464124
16/04/2014-00:32:00,121.27341175401784
16/04/2014-00:33:00,121.0581331684382
16/04/2014-00:34:00,120.76295743749314
16/04/2014-00:35:00,120.5842296523916
16/04/2014-00:36:00,120.27597313243852
16/04/2014-00:37:00,119.86793163387132
16/04/2014-00:38:00,117.06877559229788
16/04/2014-00:39:00,114.4484946212591
16/04/2014-00:40:00,112.73127496818232
16/04/2014-00:41:00,111.3419408491602
16/04/2014-00:42:00,110.43250890286876
16/04/2014-00:43:00,109.78714952876004
16/04/2014-00:44:00,109.53075572432849
16/04/2014-00:45:00,108.78740391368336
16/04/2014-00:46:00,108.19888277196604
16/04/2014-00:47:00,107.61181667665905
16/04/2014-00:48:00,106.98731884075131
16/04/2014-00:49:00,106.42162352418184
16/04/2014-00:50:00,105.904982313299
16/04/2014-00:51:00,105.47375986719896
16/04/2014-00:52:00,104.91156566937678
16/04/2014-00:53:00,104.51761241722323
16/04/2014-00:54:00,74.73306842041742
16/04/2014-00:55:00,27.566606011669474
16/04/2014-00:56:00,27.33957459899508
16/04/2014-00:57:00,27.45596068189776
16/04/2014-00:58:00,27.266320496178167
16/04/2014-00:59:00,27.337716045238373
16/04/2014-01:00:00,27.37575050569476
16/04/2014-01:01:00,27.37821957839305
16/04/2014-01:02:00,27.37404560854283
16/04/2014-01:03:00,27.339420942390305
16/04/2014-01:04:00,27.41314173264957
16/04/2014-01:05:00,27.41731570249979
16/04/2014-01:06:00,27.41328556414879
16/04/2014-01:07:00,27.37651468124112
16/04/2014-01:08:00,27.37790654755547
16/04/2014-01:09:00,28.609921986111893
16/04/2014-01:10:00,29.71055116739021
16/04/2014-01:11:00,29.59492034034312
16/04/2014-01:12:00,29.678340514879423
16/04/2014-01:13:00,29.697465107760053
16/04/2014-01:14:00,47.73026999204393
16/04/2014-01:15:00,75.60868952368861
16/04/2014-01:16:00,95.09631897818026
16/04/2014-01:17:00,110.45384395280192
16/04/2014-01:18:00,112.29941779185678
16/04/2014-01:19:00,109.720777614469
16/04/2014-01:20:00,107.57066928424702
16/04/2014-01:21:00,106.03914981781725
16/04/2014-01:22:00,105.02096729588392
16/04/2014-01:23:00,104.32243452775415
16/04/2014-01:24:00,103.6551102036528
16/04/2014-01:25:00,103.06411144405013
16/04/2014-01:26:00,102.51037777299608
16/04/2014-01:27:00,104.5437428898588
16/04/2014-01:28:00,104.1629378289346
16/04/2014-01:29:00,103.72960189680502
16/04/2014-01:30:00,103.39515956113873
16/04/2014-01:31:00,103.03045935896064
16/04/2014-01:32:00,102.50079835093266
16/04/2014-01:33:00,102.32755771504512
16/04/2014-01:34:00,101.9177014976402
16/04/2014-01:35:00,74.58292050742632
16/04/2014-01:36:00,27.48006853263813
16/04/2014-01:37:00,27.561980897110487
16/04/2014-01:38:00,27.523648948550097
16/04/2014-01:39:00,27.64219107331348
16/04/2014-01:40:00,27.51561917168069
16/04/2014-01:41:00,27.57561923271741
16/04/2014-01:42:00,27.556817477723207
16/04/2014-01:43:00,27.571823733349063
16/04/2014-01:44:00,27.44745908559255
16/04/2014-01:45:00,27.48485031254735
