Data-Ora,Consumo
17/04/2014-00:00:00,233.4971116971793
17/04/2014-00:01:00,237.72327473913293
17/04/2014-00:02:00,236.0361116703945
17/04/2014-00:03:00,235.1029228097654
17/04/2014-00:04:00,234.4729737571864
17/04/2014-00:05:00,234.34704469622773
17/04/2014-00:06:00,232.6536323824496
17/04/2014-00:07:00,162.88659848018224
17/04/2014-00:08:00,162.89218187554437
17/04/2014-00:09:00,162.52627553558938
17/04/2014-00:10:00,162.81646351621362
17/04/2014-00:11:00,162.47778264476952
17/04/2014-00:12:00,162.60348082466007
17/04/2014-00:13:00,162.66750076288224
17/04/2014-00:14:00,162.0879833738804
17/04/2014-00:15:00,162.61976593057489
17/04/2014-00:16:00,162.75130344893876
17/04/2014-00:17:00,162.24258604263406
17/04/2014-00:18:00,161.97448600681838
17/04/2014-00:19:00,162.2358680219675
17/04/2014-00:20:00,161.8301330023374
17/04/2014-00:21:00,162.6193575152144
17/04/2014-00:22:00,161.7910157548389
17/04/2014-00:23:00,151.16633113643985
17/04/2014-00:24:00,158.5870899490587
17/04/2014-00:25:00,160.044245479428
17/04/2014-00:26:00,163.89628453822178
17/04/2014-00:27:00,185.60594123387207
17/04/2014-00:28:00,212.4405211958822
17/04/2014-00:29:00,228.87749819136133
17/04/2014-00:30:00,232.60579725998213
17/04/2014-00:31:00,232.26566018867047
17/04/2014-00:32:00,228.82257701469305
17/04/2014-00:33:00,232.6378378579724
17/04/2014-00:34:00,235.4269634377869
17/04/2014-00:35:00,234.0805800263108
17/04/2014-00:36:00,234.3378710786687
17/04/2014-00:37:00,234.6993953878973
17/04/2014-00:38:00,233.1322044277376
17/04/2014-00:39:00,226.3139957116977
17/04/2014-00:40:00,234.8798723442886
17/04/2014-00:41:00,233.19793458593705
17/04/2014-00:42:00,232.5750118068451
17/04/2014-00:43:00,234.06613182434103
17/04/2014-00:44:00,175.58683922926178
17/04/2014-00:45:00,156.25152606360805
17/04/2014-00:46:00,143.99125536873538
17/04/2014-00:47:00,20.895518670721973
17/04/2014-00:48:00,23.09786844386772
17/04/2014-00:49:00,23.254570073837947
17/04/2014-00:50:00,23.171309943968208
17/04/2014-00:51:00,23.221491138219047
17/04/2014-00:52:00,23.184551159780263
17/04/2014-00:53:00,23.291182145004303
17/04/2014-00:54:00,22.27658769609168
17/04/2014-00:55:00,21.2257899533628
17/04/2014-00:56:00,21.11528250812016
17/04/2014-00:57:00,21.040154079470835
17/04/2014-00:58:00,21.189162672612227
17/04/2014-00:59:00,21.219598514207306
17/04/2014-01:00:00,21.12637198060264
17/04/2014-01:01:00,21.14944094551456
17/04/2014-01:02:00,21.183686262622825
17/04/2014-01:03:00,21.01561804412816
17/04/2014-01:04:00,45.4986926844222
17/04/2014-01:05:00,69.0682545176851
17/04/2014-01:06:00,85.8623382842471
17/04/2014-01:07:00,98.9456583505142
17/04/2014-01:08:00,99.6468216952044
17/04/2014-01:09:00,99.089460317063
17/04/2014-01:10:00,98.3467811005914
17/04/2014-01:11:00,96.42693770441232
17/04/2014-01:12:00,86.16260284161223
17/04/2014-01:13:00,85.17129630094738
17/04/2014-01:14:00,83.15345749234812
17/04/2014-01:15:00,93.02440257497284
17/04/2014-01:16:00,92.62797599456444
17/04/2014-01:17:00,92.22167277188984
17/04/2014-01:18:00,91.88722858942066
17/04/2014-01:19:00,91.5057283680772
17/04/2014-01:20:00,91.0645416401267
17/04/2014-01:21:00,90.8270058269982
