Data-Ora,Consumo
18/04/2014-00:00:00,206.9448408822593
18/04/2014-00:01:00,204.858987770364
18/04/2014-00:02:00,209.07638890155584
18/04/2014-00:03:00,207.3795646347744
18/04/2014-00:04:00,209.6774797838524
18/04/2014-00:05:00,204.631565415808
18/04/2014-00:06:00,202.6877564783524
18/04/2014-00:07:00,204.106640548582
18/04/2014-00:08:00,206.2715203715294
18/04/2014-00:09:00,202.9949545399089
18/04/2014-00:10:00,225.1274890882728
18/04/2014-00:11:00,250.12929696553005
18/04/2014-00:12:00,268.82839885831265
18/04/2014-00:13:00,283.20041611323325
18/04/2014-00:14:00,289.0628079534108
18/04/2014-00:15:00,283.9169844922875
18/04/2014-00:16:00,283.32956800559487
18/04/2014-00:17:00,280.9028121991561
18/04/2014-00:18:00,279.27900581149834
18/04/2014-00:19:00,274.87297083576
18/04/2014-00:20:00,276.32604527021067
18/04/2014-00:21:00,273.8343329798693
18/04/2014-00:22:00,272.4149232566107
18/04/2014-00:23:00,271.52076297071534
18/04/2014-00:24:00,265.75841942159286
18/04/2014-00:25:00,271.06382954549827
18/04/2014-00:26:00,270.1092990687825
18/04/2014-00:27:00,268.1277516253103
18/04/2014-00:28:00,269.4095199668104
18/04/2014-00:29:00,266.65841050103177
18/04/2014-00:30:00,268.7119372245274
18/04/2014-00:31:00,265.83713846341124
18/04/2014-00:32:00,263.592967318741
18/04/2014-00:33:00,261.4330934413508
18/04/2014-00:34:00,201.032342489076
18/04/2014-00:35:00,199.20389337609043
18/04/2014-00:36:00,199.60533975210828
18/04/2014-00:37:00,195.00116142972564
18/04/2014-00:38:00,200.67541503738155
18/04/2014-00:39:00,201.2571156102278
18/04/2014-00:40:00,199.32013818791248
18/04/2014-00:41:00,194.34023118508955
18/04/2014-00:42:00,193.16175083145487
18/04/2014-00:43:00,197.03913734902224
18/04/2014-00:44:00,201.7728151320869
18/04/2014-00:45:00,201.77486882671545
18/04/2014-00:46:00,201.4790937137648
18/04/2014-00:47:00,201.53874524802552
18/04/2014-00:48:00,200.64435629095905
18/04/2014-00:49:00,202.82261873459544
18/04/2014-00:50:00,202.0955076839704
18/04/2014-00:51:00,204.52434944273915
18/04/2014-00:52:00,202.2938549179069
18/04/2014-00:53:00,204.88826911118952
18/04/2014-00:54:00,213.7082962700628
18/04/2014-00:55:00,242.44605631954684
18/04/2014-00:56:00,261.8061617186599
18/04/2014-00:57:00,279.5322356707625
18/04/2014-00:58:00,287.0564944509553
18/04/2014-00:59:00,284.2949577500242
18/04/2014-01:00:00,281.3034434960559
18/04/2014-01:01:00,278.6467141719764
18/04/2014-01:02:00,277.17454729575576
18/04/2014-01:03:00,276.83779018754035
18/04/2014-01:04:00,274.8982769543997
18/04/2014-01:05:00,274.51186448331833
18/04/2014-01:06:00,274.4951944965183
18/04/2014-01:07:00,266.174359540106
18/04/2014-01:08:00,274.17364816250034
18/04/2014-01:09:00,271.89600843726663
18/04/2014-01:10:00,267.6388292518232
18/04/2014-01:11:00,269.2259745332332
18/04/2014-01:12:00,268.46912941268056
18/04/2014-01:13:00,269.29453089827547
18/04/2014-01:14:00,268.4328802924064
18/04/2014-01:15:00,268.6741214629031
18/04/2014-01:16:00,267.7663709880846
18/04/2014-01:17:00,268.1496563731818
18/04/2014-01:18:00,215.40633336826903
18/04/2014-01:19:00,195.8916280925136
18/04/2014-01:20:00,198.80011823594072
18/04/2014-01:21:00,201.1503449234237
18/04/2014-01:22:00,198.80355594115795
18/04/2014-01:23:00,201.14978577232867
18/04/2014-01:24:00,196.86591861480736
18/04/2014-01:25:00,198.4753500603248
18/04/2014-01:26:00,201.1846034456011
18/04/2014-01:27:00,196.56705901758505
18/04/2014-01:28:00,196.53278422595304
18/04/2014-01:29:00,201.1116289223916
18/04/2014-01:30:00,199.2934458203919
18/04/2014-01:31:00,199.8136976002532
18/04/2014-01:32:00,200.38671408402328
18/04/2014-01:33:00,203.0798966386595
18/04/2014-01:34:00,200.52746783007265
18/04/2014-01:35:00,167.3370306712837
18/04/2014-01:36:00,160.21214310103105
18/04/2014-01:37:00,64.94735631299345
18/04/2014-01:38:00,24.1831941243952
18/04/2014-01:39:00,52.94661074964375
18/04/2014-01:40:00,75.84947860637942
18/04/2014-01:41:00,92.28872661034605
18/04/2014-01:42:00,105.7329196140984
18/04/2014-01:43:00,103.55124228555069
18/04/2014-01:44:00,101.56534646792736
18/04/2014-01:45:00,99.8122063949809
18/04/2014-01:46:00,98.35779255912487
18/04/2014-01:47:00,97.25709895569196
18/04/2014-01:48:00,96.50785485811012
18/04/2014-01:49:00,95.65075094527572
18/04/2014-01:50:00,94.98850265932928
18/04/2014-01:51:00,94.50400164642956
18/04/2014-01:52:00,94.05928654645231
18/04/2014-01:53:00,93.73761578571194
18/04/2014-01:54:00,93.21509792800656
18/04/2014-01:55:00,92.6275095364642
18/04/2014-01:56:00,92.40995775600068
18/04/2014-01:57:00,92.14778757092408
18/04/2014-01:58:00,91.960792526778
18/04/2014-01:59:00,91.58026767481029
18/04/2014-02:00:00,88.7534710155575
18/04/2014-02:01:00,88.52536412099505
18/04/2014-02:02:00,77.15573766315134
18/04/2014-02:03:00,7.104383996042092
18/04/2014-02:04:00,7.216144601779132
18/04/2014-02:05:00,8.922636738599435
18/04/2014-02:06:00,18.19547892814964
18/04/2014-02:07:00,18.24599935390933
18/04/2014-02:08:00,18.346925737864265
18/04/2014-02:09:00,18.815627076488152
18/04/2014-02:10:00,21.03816700760637
18/04/2014-02:11:00,21.181174106225324
18/04/2014-02:12:00,21.07865522736958
18/04/2014-02:13:00,21.30671187728744
18/04/2014-02:14:00,21.02501723806748
18/04/2014-02:15:00,21.21906496728325
18/04/2014-02:16:00,21.70521375939964
18/04/2014-02:17:00,24.17399269776504
18/04/2014-02:18:00,24.067126054385884
18/04/2014-02:19:00,24.173392854104897
