Data-Ora,Consumo
12/05/2014-00:00:00,3.9105637136340974
12/05/2014-00:01:00,3.9475311930087353
12/05/2014-00:02:00,3.958516361025428
12/05/2014-00:03:00,3.781803732829703
12/05/2014-00:04:00,3.9604305352062505
12/05/2014-00:05:00,3.870709843061421
12/05/2014-00:06:00,4.027348368316215
12/05/2014-00:07:00,3.950231241165202
12/05/2014-00:08:00,3.717669894970808
12/05/2014-00:09:00,3.921854352243648
12/05/2014-00:10:00,3.949192422192232
12/05/2014-00:11:00,3.922426217698567
12/05/2014-00:12:00,3.8301339573193474
12/05/2014-00:13:00,3.958807125056184
12/05/2014-00:14:00,3.975498382832744
12/05/2014-00:15:00,3.881966193378559
12/05/2014-00:16:00,3.870709843061421
12/05/2014-00:17:00,4.026309549343246
12/05/2014-00:18:00,3.880342783228491
12/05/2014-00:19:00,4.027348368316215
12/05/2014-00:20:00,3.843390010415957
12/05/2014-00:21:00,3.874287393625727
12/05/2014-00:22:00,3.871779517837521
12/05/2014-00:23:00,4.02467917596288
12/05/2014-00:24:00,3.920512043517745
12/05/2014-00:25:00,5.763262995966288
12/05/2014-00:26:00,6.081232968137524
12/05/2014-00:27:00,53.82658739061547
12/05/2014-00:28:00,73.25803793316356
12/05/2014-00:29:00,69.2414524158249
12/05/2014-00:30:00,69.15929123548923
12/05/2014-00:31:00,69.18522983006794
12/05/2014-00:32:00,68.8340224903356
12/05/2014-00:33:00,68.53612911209898
12/05/2014-00:34:00,67.97765639793033
12/05/2014-00:35:00,67.65141711066417
12/05/2014-00:36:00,67.6540887794641
12/05/2014-00:37:00,67.25725465684826
12/05/2014-00:38:00,67.3685993475198
12/05/2014-00:39:00,67.15898218616636
12/05/2014-00:40:00,66.99514191554334
12/05/2014-00:41:00,67.04360031463575
12/05/2014-00:42:00,66.7774943573234
12/05/2014-00:43:00,66.39790710641834
12/05/2014-00:44:00,66.35451638132645
12/05/2014-00:45:00,66.41326461767204
12/05/2014-00:46:00,65.9713907282554
12/05/2014-00:47:00,65.89419597203657
12/05/2014-00:48:00,65.46366303567316
12/05/2014-00:49:00,65.35806435567977
12/05/2014-00:50:00,65.30410509144566
12/05/2014-00:51:00,65.0383386519392
12/05/2014-00:52:00,65.02787181259792
12/05/2014-00:53:00,64.67307896729469
12/05/2014-00:54:00,64.58544416295031
12/05/2014-00:55:00,58.04425380912226
12/05/2014-00:56:00,3.939705474290811
12/05/2014-00:57:00,3.94857984118496
12/05/2014-00:58:00,4.002942645876313
12/05/2014-00:59:00,3.886273386309944
