Data-Ora,Consumo
14/05/2014-00:00:00,71.98899556849845
14/05/2014-00:01:00,67.79326160671644
14/05/2014-00:02:00,67.1882710686409
14/05/2014-00:03:00,67.00412026259647
14/05/2014-00:04:00,67.14176043407791
14/05/2014-00:05:00,67.12997857047225
14/05/2014-00:06:00,66.89322764016721
14/05/2014-00:07:00,66.56178387350774
14/05/2014-00:08:00,66.35204733085688
14/05/2014-00:09:00,66.30261051026265
14/05/2014-00:10:00,66.16393663569987
14/05/2014-00:11:00,65.94269230347922
14/05/2014-00:12:00,65.60543666433783
14/05/2014-00:13:00,65.28406383931552
14/05/2014-00:14:00,65.60821306619484
14/05/2014-00:15:00,65.63755544573398
14/05/2014-00:16:00,65.64129968584488
14/05/2014-00:17:00,65.42673117252447
14/05/2014-00:18:00,65.00101006460561
14/05/2014-00:19:00,65.04952921800634
14/05/2014-00:20:00,64.91904047039473
14/05/2014-00:21:00,64.59263807283683
14/05/2014-00:22:00,64.4951831091777
14/05/2014-00:23:00,64.44229608309693
14/05/2014-00:24:00,64.0936585123898
14/05/2014-00:25:00,37.61568699166219
14/05/2014-00:26:00,3.619898098725757
14/05/2014-00:27:00,3.5118238270584543
14/05/2014-00:28:00,3.547433190703189
14/05/2014-00:29:00,3.6234114928951393
14/05/2014-00:30:00,3.556202152044232
14/05/2014-00:31:00,3.629538347986367
14/05/2014-00:32:00,3.4697089593230657
14/05/2014-00:33:00,3.724076746230789
14/05/2014-00:34:00,3.5690685943563607
14/05/2014-00:35:00,3.590665658611607
14/05/2014-00:36:00,3.451661529463717
14/05/2014-00:37:00,3.570403190533028
14/05/2014-00:38:00,3.6072402091456666
14/05/2014-00:39:00,3.608014106718068
14/05/2014-00:40:00,3.5710157715403
14/05/2014-00:41:00,3.6085958319222096
14/05/2014-00:42:00,3.609644480098434
14/05/2014-00:43:00,3.6220995169926526
14/05/2014-00:44:00,3.4895163404494496
14/05/2014-00:45:00,3.679902283324533
14/05/2014-00:46:00,3.798960748197419
14/05/2014-00:47:00,3.4860501312549776
14/05/2014-00:48:00,3.5657559651926225
14/05/2014-00:49:00,3.453291902844083
14/05/2014-00:50:00,3.57042829851726
14/05/2014-00:51:00,3.585645938370041
14/05/2014-00:52:00,3.4064173917813623
14/05/2014-00:53:00,3.525792660457821
14/05/2014-00:54:00,3.6407789831495263
14/05/2014-00:55:00,5.609039350786717
