Data-Ora,Consumo
15/05/2014-00:00:00,2.6329753888462903
15/05/2014-00:01:00,2.4704679737634434
15/05/2014-00:02:00,2.5098782379214786
15/05/2014-00:03:00,2.699747546597229
15/05/2014-00:04:00,2.702182673353128
15/05/2014-00:05:00,2.5922374372397905
15/05/2014-00:06:00,2.6624534342157635
15/05/2014-00:07:00,2.661871709011622
15/05/2014-00:08:00,2.659955387630813
15/05/2014-00:09:00,2.627277644786622
15/05/2014-00:10:00,2.700043323800928
15/05/2014-00:11:00,2.663523108991863
15/05/2014-00:12:00,2.624577596630156
15/05/2014-00:13:00,2.849899695650704
15/05/2014-00:14:00,4.741104781607259
15/05/2014-00:15:00,4.554162940992447
15/05/2014-00:16:00,42.032111413018974
15/05/2014-00:17:00,72.0232478336257
15/05/2014-00:18:00,67.50297313523558
15/05/2014-00:19:00,66.18050037858352
15/05/2014-00:20:00,66.4027275147833
15/05/2014-00:21:00,66.25220722132154
15/05/2014-00:22:00,66.47980550118697
15/05/2014-00:23:00,66.22169612870957
15/05/2014-00:24:00,66.21992342052418
15/05/2014-00:25:00,65.89090555216079
15/05/2014-00:26:00,65.85770799608471
15/05/2014-00:27:00,65.67038353411905
15/05/2014-00:28:00,65.36126473714197
15/05/2014-00:29:00,65.36034319610737
15/05/2014-00:30:00,65.1082254545975
15/05/2014-00:31:00,64.96244240141282
15/05/2014-00:32:00,64.50638980445669
15/05/2014-00:33:00,64.72795111767223
15/05/2014-00:34:00,64.2453039330635
15/05/2014-00:35:00,64.42483769346732
15/05/2014-00:36:00,64.10367276830033
15/05/2014-00:37:00,64.22768533046712
15/05/2014-00:38:00,63.73320329180964
15/05/2014-00:39:00,63.55944978345219
15/05/2014-00:40:00,63.48450034247247
15/05/2014-00:41:00,63.11975088649332
15/05/2014-00:42:00,63.33813897154299
15/05/2014-00:43:00,3.541267747848835
15/05/2014-00:44:00,2.674598885275849
15/05/2014-00:45:00,2.5856320842684486
15/05/2014-00:46:00,2.6717112586239096
15/05/2014-00:47:00,2.617066673614938
15/05/2014-00:48:00,2.623507921854056
15/05/2014-00:49:00,2.5877563662182954
15/05/2014-00:50:00,2.700817221373329
15/05/2014-00:51:00,2.65564285657754
15/05/2014-00:52:00,2.5847079825184784
15/05/2014-00:53:00,2.5467075985066163
15/05/2014-00:54:00,2.7881297128850284
15/05/2014-00:55:00,2.626207970010522
15/05/2014-00:56:00,2.696842991345117
15/05/2014-00:57:00,2.589114376362975
15/05/2014-00:58:00,2.591386679182172
15/05/2014-00:59:00,2.699165821393088
15/05/2014-01:00:00,2.586388354428198
15/05/2014-01:01:00,2.661871709011622
15/05/2014-01:02:00,2.54507722512625
15/05/2014-01:03:00,2.7416888843191014
15/05/2014-01:04:00,2.4295750539673326
15/05/2014-01:05:00,2.6212958232695485
15/05/2014-01:06:00,2.5956364167918484
15/05/2014-01:07:00,2.6248733738338546
15/05/2014-01:08:00,2.63595106275946
15/05/2014-01:09:00,2.62489440043373
15/05/2014-01:10:00,2.6608230608353973
15/05/2014-01:11:00,2.6672834692918213
15/05/2014-01:12:00,3.809754888871724
15/05/2014-01:13:00,4.784365706166997
15/05/2014-01:14:00,3.515139427666914
15/05/2014-01:15:00,78.10812324513108
15/05/2014-01:16:00,69.12543948342935
15/05/2014-01:17:00,66.50872079799694
15/05/2014-01:18:00,66.14836763709104
15/05/2014-01:19:00,66.24998327619137
15/05/2014-01:20:00,66.18968562002972
15/05/2014-01:21:00,66.1127548043184
15/05/2014-01:22:00,66.11016778650853
15/05/2014-01:23:00,65.93170282970512
15/05/2014-01:24:00,65.85469916099787
15/05/2014-01:25:00,65.49266347348856
15/05/2014-01:26:00,65.34217974195641
15/05/2014-01:27:00,65.2330280921961
15/05/2014-01:28:00,65.08230915368544
15/05/2014-01:29:00,64.68554205204745
15/05/2014-01:30:00,64.78057383481004
15/05/2014-01:31:00,64.61686072454269
15/05/2014-01:32:00,64.17831538195533
15/05/2014-01:33:00,64.21483080879045
15/05/2014-01:34:00,63.9951239608839
15/05/2014-01:35:00,63.96424293005249
15/05/2014-01:36:00,63.69914426432309
15/05/2014-01:37:00,63.428947658688784
15/05/2014-01:38:00,63.393938249776646
15/05/2014-01:39:00,63.23550161593159
15/05/2014-01:40:00,55.77246123703529
15/05/2014-01:41:00,2.593926038240884
15/05/2014-01:42:00,2.663818886195562
15/05/2014-01:43:00,2.5880259353627326
15/05/2014-01:44:00,2.672303189533387
15/05/2014-01:45:00,2.543425825146009
15/05/2014-01:46:00,2.73915998193102
15/05/2014-01:47:00,2.673671201323484
