Data-Ora,Consumo
18/05/2014-00:00:00,65.16856976521966
18/05/2014-00:01:00,65.1830481938992
18/05/2014-00:02:00,64.88329002904327
18/05/2014-00:03:00,64.82777060144193
18/05/2014-00:04:00,64.6218573078048
18/05/2014-00:05:00,64.66471521639858
18/05/2014-00:06:00,64.4688979733591
18/05/2014-00:07:00,64.62315469837301
18/05/2014-00:08:00,42.22557849071456
18/05/2014-00:09:00,2.8753099398507764
18/05/2014-00:10:00,2.942919814206919
18/05/2014-00:11:00,3.0097020453907337
18/05/2014-00:12:00,2.9275842973150144
18/05/2014-00:13:00,3.0495873622899268
18/05/2014-00:14:00,2.9181687712255164
18/05/2014-00:15:00,2.942448129620693
18/05/2014-00:16:00,2.924302523954407
18/05/2014-00:17:00,2.9069813750181783
18/05/2014-00:18:00,2.8870084115729413
18/05/2014-00:19:00,2.957000431761777
18/05/2014-00:20:00,3.0141464029705407
18/05/2014-00:21:00,2.9348224575951987
18/05/2014-00:22:00,3.0206387513681525
18/05/2014-00:23:00,2.9502573675644044
18/05/2014-00:24:00,2.9132562918941964
18/05/2014-00:25:00,2.9867168752913456
18/05/2014-00:26:00,2.955086257580955
18/05/2014-00:27:00,3.0109945690785214
18/05/2014-00:28:00,2.993662440543557
18/05/2014-00:29:00,2.982143170424257
18/05/2014-00:30:00,2.978361241477237
18/05/2014-00:31:00,3.030605550749501
18/05/2014-00:32:00,2.982449414101045
18/05/2014-00:33:00,3.2009317542876183
18/05/2014-00:34:00,2.9668255868804208
18/05/2014-00:35:00,3.0203325076913647
18/05/2014-00:36:00,3.016127741157708
18/05/2014-00:37:00,3.553892767032212
18/05/2014-00:38:00,5.0788544093882
18/05/2014-00:39:00,75.49961122096744
18/05/2014-00:40:00,69.8823618892416
18/05/2014-00:41:00,67.48317563103788
18/05/2014-00:42:00,67.38080618010606
18/05/2014-00:43:00,67.70981219872367
18/05/2014-00:44:00,67.44971201511896
18/05/2014-00:45:00,67.41752189775771
18/05/2014-00:46:00,67.3033169758023
18/05/2014-00:47:00,67.39885585582073
18/05/2014-00:48:00,67.01841431587829
18/05/2014-00:49:00,66.67431819354907
18/05/2014-00:50:00,66.9311722266766
18/05/2014-00:51:00,66.48730320129259
18/05/2014-00:52:00,66.53280598127346
18/05/2014-00:53:00,66.6278757155583
18/05/2014-00:54:00,66.28143068788197
18/05/2014-00:55:00,65.94558093237043
18/05/2014-00:56:00,65.84936427437697
18/05/2014-00:57:00,65.87803336233895
18/05/2014-00:58:00,65.47260488330744
18/05/2014-00:59:00,65.37051641883488
18/05/2014-01:00:00,64.98779043634087
18/05/2014-01:01:00,65.00934569528172
18/05/2014-01:02:00,64.87744517568787
18/05/2014-01:03:00,64.82996666833485
18/05/2014-01:04:00,64.71930399806703
18/05/2014-01:05:00,64.62142928692352
18/05/2014-01:06:00,64.36181123165206
18/05/2014-01:07:00,64.14285769108314
18/05/2014-01:08:00,64.0434482542441
18/05/2014-01:09:00,28.95113678607366
18/05/2014-01:10:00,2.990145526429494
18/05/2014-01:11:00,2.984025441702065
18/05/2014-01:12:00,3.0570813195201496
18/05/2014-01:13:00,2.9930905750886385
18/05/2014-01:14:00,2.9930905750886385
18/05/2014-01:15:00,2.8357371560184244
18/05/2014-01:16:00,3.028721709392096
18/05/2014-01:17:00,2.881965995362932
18/05/2014-01:18:00,2.9028932100331137
18/05/2014-01:19:00,2.992799811057884
18/05/2014-01:20:00,2.925505921568811
18/05/2014-01:21:00,2.759361400086814
18/05/2014-01:22:00,2.882392042035666
18/05/2014-01:23:00,2.929235697295256
18/05/2014-01:24:00,2.9668255868804208
18/05/2014-01:25:00,2.858952775568377
18/05/2014-01:26:00,3.1204682867750497
18/05/2014-01:27:00,3.20101730645518
18/05/2014-01:28:00,2.9152517335369885
18/05/2014-01:29:00,2.840680097328614
18/05/2014-01:30:00,3.069923491760563
18/05/2014-01:31:00,3.061695671604588
18/05/2014-01:32:00,3.027976402455347
18/05/2014-01:33:00,2.8006227886929005
18/05/2014-01:34:00,2.944190834704884
18/05/2014-01:35:00,2.970107360241028
18/05/2014-01:36:00,2.991176400907817
18/05/2014-01:37:00,3.339729468442415
18/05/2014-01:38:00,3.025127264562649
18/05/2014-01:39:00,4.555176699005154
18/05/2014-01:40:00,43.95984270287608
18/05/2014-01:41:00,72.60950609788623
18/05/2014-01:42:00,68.35674557897757
18/05/2014-01:43:00,67.35408611868866
18/05/2014-01:44:00,67.4873392384286
18/05/2014-01:45:00,67.52190038197774
18/05/2014-01:46:00,67.33561653898782
18/05/2014-01:47:00,67.30989939822435
18/05/2014-01:48:00,67.1246321851748
18/05/2014-01:49:00,67.19823730416253
18/05/2014-01:50:00,66.95318358359934
18/05/2014-01:51:00,66.73440704937148
18/05/2014-01:52:00,66.71340651000779
18/05/2014-01:53:00,66.5046959184023
18/05/2014-01:54:00,66.5657467750861
18/05/2014-01:55:00,66.23203855650294
18/05/2014-01:56:00,66.08691960695285
18/05/2014-01:57:00,65.81435199810048
18/05/2014-01:58:00,65.9168441579744
18/05/2014-01:59:00,65.55185503304607
18/05/2014-02:00:00,65.40067365110059
18/05/2014-02:01:00,65.1191169878831
18/05/2014-02:02:00,64.99071436596616
18/05/2014-02:03:00,64.83636873882229
18/05/2014-02:04:00,64.64971162836149
18/05/2014-02:05:00,64.74608623815527
18/05/2014-02:06:00,64.42373179690823
18/05/2014-02:07:00,64.29167561155745
18/05/2014-02:08:00,64.10756438377902
18/05/2014-02:09:00,64.27145433725484
18/05/2014-02:10:00,23.37642189212315
18/05/2014-02:11:00,3.0313759940204865
18/05/2014-02:12:00,3.004701424466028
18/05/2014-02:13:00,3.1061359219333373
18/05/2014-02:14:00,3.085853195950175
18/05/2014-02:15:00,3.0219135406344755
18/05/2014-02:16:00,2.873105052097911
18/05/2014-02:17:00,2.993662440543557
