Data-Ora,Consumo
19/06/2014-00:00:00,97.50438474636236
19/06/2014-00:01:00,96.85235320288936
19/06/2014-00:02:00,97.82418091256038
19/06/2014-00:03:00,97.36076959507206
19/06/2014-00:04:00,97.5613639764204
19/06/2014-00:05:00,99.46798293441611
19/06/2014-00:06:00,99.21104427335352
19/06/2014-00:07:00,98.96702128215004
19/06/2014-00:08:00,99.32124706104906
19/06/2014-00:09:00,99.64206370692838
19/06/2014-00:10:00,99.75815947722556
19/06/2014-00:11:00,104.94520485026352
19/06/2014-00:12:00,124.52401782916024
19/06/2014-00:13:00,149.94323277602825
19/06/2014-00:14:00,166.28195666218053
19/06/2014-00:15:00,170.34597660516056
19/06/2014-00:16:00,170.18974734980085
19/06/2014-00:17:00,170.55986557962055
19/06/2014-00:18:00,169.0403461412054
19/06/2014-00:19:00,169.25965175502913
19/06/2014-00:20:00,169.76809051184225
19/06/2014-00:21:00,170.34338675507345
19/06/2014-00:22:00,169.11594107654642
19/06/2014-00:23:00,168.9363063818086
19/06/2014-00:24:00,168.53767326298774
19/06/2014-00:25:00,168.7485091275171
19/06/2014-00:26:00,168.49662138181773
19/06/2014-00:27:00,168.5716545903824
19/06/2014-00:28:00,134.91285810083423
19/06/2014-00:29:00,100.30447301232935
19/06/2014-00:30:00,100.11791437530538
19/06/2014-00:31:00,100.15802415443746
19/06/2014-00:32:00,100.14234938724684
19/06/2014-00:33:00,100.58681493270343
19/06/2014-00:34:00,100.13412859101572
19/06/2014-00:35:00,100.00035686517585
19/06/2014-00:36:00,100.38345607210574
19/06/2014-00:37:00,100.52050309587734
19/06/2014-00:38:00,101.06834294958428
19/06/2014-00:39:00,102.4171663598284
19/06/2014-00:40:00,101.87360268423886
19/06/2014-00:41:00,89.27270053559307
19/06/2014-00:42:00,44.092172939524765
19/06/2014-00:43:00,34.96002916597165
19/06/2014-00:44:00,52.18779380711725
19/06/2014-00:45:00,75.06362082305257
19/06/2014-00:46:00,81.88644023623749
19/06/2014-00:47:00,83.82333227390868
19/06/2014-00:48:00,84.5155437723644
19/06/2014-00:49:00,83.78787064010669
19/06/2014-00:50:00,82.78147487301364
19/06/2014-00:51:00,83.59591884535047
19/06/2014-00:52:00,81.42412622292653
19/06/2014-00:53:00,80.94444920910419
19/06/2014-00:54:00,82.26436022721718
19/06/2014-00:55:00,82.93717011211373
19/06/2014-00:56:00,82.58334558058856
19/06/2014-00:57:00,82.34588611830122
19/06/2014-00:58:00,82.09898124578088
19/06/2014-00:59:00,81.75527366735899
19/06/2014-01:00:00,81.53535977099392
19/06/2014-01:01:00,81.16012375178585
19/06/2014-01:02:00,81.06595693375965
19/06/2014-01:03:00,17.032308190878563
19/06/2014-01:04:00,11.961492415718048
19/06/2014-01:05:00,12.058126132032587
19/06/2014-01:06:00,11.980385028527884
19/06/2014-01:07:00,11.939584007269213
19/06/2014-01:08:00,11.980462633262686
19/06/2014-01:09:00,11.797797718335902
19/06/2014-01:10:00,11.943444946281849
19/06/2014-01:11:00,11.886821248025806
19/06/2014-01:12:00,11.82846782529194
19/06/2014-01:13:00,11.902347989784008
19/06/2014-01:14:00,11.941366509155944
19/06/2014-01:15:00,11.86370301038604
19/06/2014-01:16:00,11.886821248025806
19/06/2014-01:17:00,11.943444946281849
19/06/2014-01:18:00,11.810397790343211
19/06/2014-01:19:00,11.826531666800427
19/06/2014-01:20:00,11.867486344663876
19/06/2014-01:21:00,18.18628116382991
19/06/2014-01:22:00,40.22694553225231
19/06/2014-01:23:00,64.50352683886611
19/06/2014-01:24:00,80.34743045861266
19/06/2014-01:25:00,82.21249359196497
19/06/2014-01:26:00,82.05080665554665
19/06/2014-01:27:00,81.86098856358606
19/06/2014-01:28:00,81.67924078283824
19/06/2014-01:29:00,81.64238339612618
19/06/2014-01:30:00,81.22618937722265
19/06/2014-01:31:00,81.263261531213
19/06/2014-01:32:00,81.07344492236881
19/06/2014-01:33:00,80.86849382551098
19/06/2014-01:34:00,78.06091798187606
19/06/2014-01:35:00,77.83372774235905
19/06/2014-01:36:00,77.69300418275411
19/06/2014-01:37:00,44.48414580501786
19/06/2014-01:38:00,9.097487349972084
19/06/2014-01:39:00,9.015075347176266
19/06/2014-01:40:00,9.092816658295472
19/06/2014-01:41:00,9.094817283072071
19/06/2014-01:42:00,9.172663974586143
19/06/2014-01:43:00,12.407366128678976
19/06/2014-01:44:00,14.741231080074764
19/06/2014-01:45:00,14.781514729860245
19/06/2014-01:46:00,14.96940099832425
19/06/2014-01:47:00,14.820610853966986
19/06/2014-01:48:00,13.265268329151397
19/06/2014-01:49:00,11.876902700849463
19/06/2014-01:50:00,11.867486344663876
19/06/2014-01:51:00,11.801950134092856
19/06/2014-01:52:00,36.575724980810826
19/06/2014-01:53:00,58.85020079156463
19/06/2014-01:54:00,74.83070731904324
19/06/2014-01:55:00,87.15166150528131
19/06/2014-01:56:00,87.0556087682256
19/06/2014-01:57:00,86.14964869218261
19/06/2014-01:58:00,85.29486930520925
19/06/2014-01:59:00,84.6339534280116
19/06/2014-02:00:00,84.04452919074876
19/06/2014-02:01:00,83.56487339105982
19/06/2014-02:02:00,83.1156872843614
19/06/2014-02:03:00,82.81066926882552
19/06/2014-02:04:00,82.38081851687764
19/06/2014-02:05:00,82.05054786730206
19/06/2014-02:06:00,81.87434891830219
19/06/2014-02:07:00,81.05785695342207
19/06/2014-02:08:00,80.84727715419713
19/06/2014-02:09:00,80.51476693676886
19/06/2014-02:10:00,32.62043508984253
19/06/2014-02:11:00,11.941444113890748
19/06/2014-02:12:00,11.904426426909913
19/06/2014-02:13:00,11.939661612004013
19/06/2014-02:14:00,11.82660927153523
19/06/2014-02:15:00,11.920534430433769
19/06/2014-02:16:00,11.941366509155944
19/06/2014-02:17:00,11.86176685189453
19/06/2014-02:18:00,11.876902700849463
19/06/2014-02:19:00,11.920534430433769
19/06/2014-02:20:00,11.980462633262686
19/06/2014-02:21:00,11.826531666800427
19/06/2014-02:22:00,11.914568240827158
19/06/2014-02:23:00,10.53763995816738
19/06/2014-02:24:00,9.174398887842855
19/06/2014-02:25:00,9.136889488942986
19/06/2014-02:26:00,9.093036541664668
19/06/2014-02:27:00,9.21440464983591
19/06/2014-02:28:00,21.983276307003948
19/06/2014-02:29:00,48.56810076076562
19/06/2014-02:30:00,68.30779030657631
19/06/2014-02:31:00,79.30687788836643
19/06/2014-02:32:00,79.05650841869874
19/06/2014-02:33:00,80.56340345980027
19/06/2014-02:34:00,81.76041568042409
19/06/2014-02:35:00,81.38144505719887
19/06/2014-02:36:00,81.23786153345856
19/06/2014-02:37:00,81.07352388859017
19/06/2014-02:38:00,81.00448364324174
19/06/2014-02:39:00,80.68165076355537
19/06/2014-02:40:00,80.6056954837694
19/06/2014-02:41:00,80.23008437172253
19/06/2014-02:42:00,79.98128743621662
19/06/2014-02:43:00,80.18193414895104
19/06/2014-02:44:00,33.86093196268047
19/06/2014-02:45:00,11.96185962450602
19/06/2014-02:46:00,11.954193909513364
19/06/2014-02:47:00,12.38502062085333
19/06/2014-02:48:00,12.07731071491808
19/06/2014-02:49:00,12.09536370238262
19/06/2014-02:50:00,11.916526789427602
19/06/2014-02:51:00,12.112954249880858
19/06/2014-02:52:00,12.11323144979166
19/06/2014-02:53:00,12.019481152634624
19/06/2014-02:54:00,12.112705001625956
19/06/2014-02:55:00,12.01903000792585
19/06/2014-02:56:00,12.013761659865278
19/06/2014-02:57:00,12.039342467746843
19/06/2014-02:58:00,11.976524089515244
19/06/2014-02:59:00,12.035637533934215
19/06/2014-03:00:00,15.972686606263744
19/06/2014-03:01:00,33.85486161203083
19/06/2014-03:02:00,32.65111332963284
19/06/2014-03:03:00,44.42712640440268
19/06/2014-03:04:00,71.7608950939959
19/06/2014-03:05:00,95.4665421984364
19/06/2014-03:06:00,99.79870652270894
19/06/2014-03:07:00,89.57808089984233
19/06/2014-03:08:00,90.50958549924056
19/06/2014-03:09:00,91.58424634030082
19/06/2014-03:10:00,92.3208888898623
19/06/2014-03:11:00,92.5076811920324
19/06/2014-03:12:00,89.2163775481774
19/06/2014-03:13:00,84.30398234692895
19/06/2014-03:14:00,82.66033049069229
19/06/2014-03:15:00,81.75357053917425
19/06/2014-03:16:00,80.97113543157688
19/06/2014-03:17:00,80.4664306874145
19/06/2014-03:18:00,79.98833393814647
19/06/2014-03:19:00,79.57994708798347
19/06/2014-03:20:00,79.24003637340064
19/06/2014-03:21:00,78.99290068737507
19/06/2014-03:22:00,78.80427283552929
19/06/2014-03:23:00,77.81002307990012
19/06/2014-03:24:00,12.054485076389144
19/06/2014-03:25:00,12.128518897485993
19/06/2014-03:26:00,12.093361317126693
19/06/2014-03:27:00,12.175464989609337
19/06/2014-03:28:00,11.976601694250048
19/06/2014-03:29:00,12.093361317126693
19/06/2014-03:30:00,12.130223794637924
19/06/2014-03:31:00,12.05256029586802
19/06/2014-03:32:00,11.95857006624248
19/06/2014-03:33:00,12.056421234880656
19/06/2014-03:34:00,12.150291575382273
19/06/2014-03:35:00,11.994199671506422
19/06/2014-03:36:00,11.89692443225383
19/06/2014-03:37:00,12.054342797754757
19/06/2014-03:38:00,12.037528693897183
19/06/2014-03:39:00,12.017622598877914
19/06/2014-03:40:00,12.05214319250499
19/06/2014-03:41:00,15.155057478328386
19/06/2014-03:42:00,30.821716231233527
19/06/2014-03:43:00,61.33074333647192
19/06/2014-03:44:00,81.31231768167576
19/06/2014-03:45:00,89.3481794528369
19/06/2014-03:46:00,90.06777629728711
19/06/2014-03:47:00,90.43543454056372
19/06/2014-03:48:00,87.84321114086745
19/06/2014-03:49:00,86.00836791912482
19/06/2014-03:50:00,84.62653146926833
19/06/2014-03:51:00,83.97318076795754
19/06/2014-03:52:00,83.33905197548701
19/06/2014-03:53:00,82.8461355502784
19/06/2014-03:54:00,82.53689259436541
19/06/2014-03:55:00,82.08205764454668
19/06/2014-03:56:00,81.91090797810836
19/06/2014-03:57:00,81.4987981034187
19/06/2014-03:58:00,81.15694101930514
19/06/2014-03:59:00,80.90751244869017
19/06/2014-04:00:00,80.83966255239946
19/06/2014-04:01:00,35.26410290608304
19/06/2014-04:02:00,10.909960403476234
19/06/2014-04:03:00,9.31677142577099
19/06/2014-04:04:00,9.208818553536148
19/06/2014-04:05:00,9.203959021980436
19/06/2014-04:06:00,9.333369039483673
19/06/2014-04:07:00,9.21009209978048
19/06/2014-04:08:00,9.134996748871949
19/06/2014-04:09:00,9.1323525491406
19/06/2014-04:10:00,9.245107609119888
19/06/2014-04:11:00,9.29570170814105
19/06/2014-04:12:00,10.65834850664053
19/06/2014-04:13:00,11.995631771941165
19/06/2014-04:14:00,12.073225687798605
19/06/2014-04:15:00,12.056343630145856
19/06/2014-04:16:00,12.093361317126693
19/06/2014-04:17:00,12.077154362583393
19/06/2014-04:18:00,12.017622598877914
19/06/2014-04:19:00,15.270190016402402
19/06/2014-04:20:00,31.202898798188485
19/06/2014-04:21:00,61.08880107684818
19/06/2014-04:22:00,80.9429499737282
