Data-Ora,Consumo
20/06/2014-00:00:00,88.55382034716757
20/06/2014-00:01:00,90.98739526039282
20/06/2014-00:02:00,89.95718693748671
20/06/2014-00:03:00,87.70214281691914
20/06/2014-00:04:00,86.10348518332214
20/06/2014-00:05:00,85.37893038371946
20/06/2014-00:06:00,84.59902123704967
20/06/2014-00:07:00,84.08607083157585
20/06/2014-00:08:00,83.74993363970697
20/06/2014-00:09:00,83.38234957552586
20/06/2014-00:10:00,83.01104342532729
20/06/2014-00:11:00,82.81099221736802
20/06/2014-00:12:00,82.62494328108923
20/06/2014-00:13:00,82.3389542668339
20/06/2014-00:14:00,81.98191150183426
20/06/2014-00:15:00,36.98486505365488
20/06/2014-00:16:00,12.054265193019951
20/06/2014-00:17:00,12.091205275265986
20/06/2014-00:18:00,12.134382221754556
20/06/2014-00:19:00,12.09157881523996
20/06/2014-00:20:00,12.074597061345733
20/06/2014-00:21:00,12.074597061345733
20/06/2014-00:22:00,11.937725453512504
20/06/2014-00:23:00,11.976370432910468
20/06/2014-00:24:00,12.054342797754757
20/06/2014-00:25:00,12.054265193019951
20/06/2014-00:26:00,12.09328371239189
20/06/2014-00:27:00,11.941663997259942
20/06/2014-00:28:00,11.92045546421239
20/06/2014-00:29:00,12.015542608887184
20/06/2014-00:30:00,12.056421234880656
20/06/2014-00:31:00,17.22903515201868
20/06/2014-00:32:00,38.02077704838718
20/06/2014-00:33:00,67.79095457163001
20/06/2014-00:34:00,85.86125559115358
20/06/2014-00:35:00,90.39849829918596
20/06/2014-00:36:00,91.72990902781778
20/06/2014-00:37:00,91.87154923036634
20/06/2014-00:38:00,89.27396475340849
20/06/2014-00:39:00,87.07622556930627
20/06/2014-00:40:00,85.70279005496138
20/06/2014-00:41:00,82.33683109433458
20/06/2014-00:42:00,81.60931089655679
20/06/2014-00:43:00,81.06807969806773
20/06/2014-00:44:00,80.80086568536387
20/06/2014-00:45:00,80.39069529099771
20/06/2014-00:46:00,80.0855676658211
20/06/2014-00:47:00,79.87544189794647
20/06/2014-00:48:00,79.65374321169124
20/06/2014-00:49:00,79.25071155532079
20/06/2014-00:50:00,74.4454456313413
20/06/2014-00:51:00,12.089500378114057
20/06/2014-00:52:00,12.149268229037975
20/06/2014-00:53:00,12.03132876584258
20/06/2014-00:54:00,12.11091104050285
20/06/2014-00:55:00,12.056343630145856
20/06/2014-00:56:00,12.093361317126693
20/06/2014-00:57:00,12.13237983649863
20/06/2014-00:58:00,12.074597061345733
20/06/2014-00:59:00,12.015542608887184
20/06/2014-01:00:00,12.093581200495883
20/06/2014-01:01:00,12.074597061345733
20/06/2014-01:02:00,12.11051113446945
20/06/2014-01:03:00,12.093361317126693
20/06/2014-01:04:00,12.074597061345733
20/06/2014-01:05:00,12.07519581398295
20/06/2014-01:06:00,12.01754499414311
20/06/2014-01:07:00,16.232486244844257
20/06/2014-01:08:00,34.769946295294275
20/06/2014-01:09:00,64.80080093269109
20/06/2014-01:10:00,84.31184585993877
20/06/2014-01:11:00,90.50880789031318
20/06/2014-01:12:00,91.68090696603608
20/06/2014-01:13:00,92.54026864305074
20/06/2014-01:14:00,90.9687005225864
20/06/2014-01:15:00,88.18223655346608
20/06/2014-01:16:00,86.36602881735942
20/06/2014-01:17:00,85.30067346160638
20/06/2014-01:18:00,84.49334690471261
20/06/2014-01:19:00,84.04534741505198
20/06/2014-01:20:00,83.54632396822291
20/06/2014-01:21:00,83.14374895143983
20/06/2014-01:22:00,82.88394395937677
20/06/2014-01:23:00,82.4915508819632
20/06/2014-01:24:00,82.19227086919184
20/06/2014-01:25:00,81.93995746942917
20/06/2014-01:26:00,81.68318441738485
20/06/2014-01:27:00,75.99044852085336
20/06/2014-01:28:00,11.883241905189877
20/06/2014-01:29:00,11.97830659140198
20/06/2014-01:30:00,10.796518748644369
20/06/2014-01:31:00,9.093402745366326
20/06/2014-01:32:00,9.28590863037856
20/06/2014-01:33:00,9.091254039777931
20/06/2014-01:34:00,9.125416065519524
20/06/2014-01:35:00,9.169071195152611
20/06/2014-01:36:00,9.284126128491824
20/06/2014-01:37:00,9.132055061036604
20/06/2014-01:38:00,9.256077619562912
20/06/2014-01:39:00,9.242100053983137
20/06/2014-01:40:00,10.53578140441067
20/06/2014-01:41:00,12.056421234880656
20/06/2014-01:42:00,11.937505570143308
20/06/2014-01:43:00,12.074597061345733
20/06/2014-01:44:00,12.054265193019951
20/06/2014-01:45:00,20.146468991229632
20/06/2014-01:46:00,45.562152717197655
20/06/2014-01:47:00,72.13190585060833
20/06/2014-01:48:00,87.7678951328709
20/06/2014-01:49:00,90.43414244147002
20/06/2014-01:50:00,91.48685537952858
20/06/2014-01:51:00,92.46955948556972
20/06/2014-01:52:00,90.1019035699632
20/06/2014-01:53:00,87.81503413046839
20/06/2014-01:54:00,86.11342224624572
20/06/2014-01:55:00,85.15352420319793
20/06/2014-01:56:00,84.426730609517
20/06/2014-01:57:00,84.01235460060633
20/06/2014-01:58:00,83.539467182447
20/06/2014-01:59:00,82.93338522497106
20/06/2014-02:00:00,82.75650827597575
20/06/2014-02:01:00,82.42429824988389
20/06/2014-02:02:00,82.16552166645998
20/06/2014-02:03:00,81.98291962334773
20/06/2014-02:04:00,81.56242865459392
20/06/2014-02:05:00,35.323622769331024
20/06/2014-02:06:00,12.03637973994272
20/06/2014-02:07:00,12.234887621166456
20/06/2014-02:08:00,12.169319918744664
20/06/2014-02:09:00,12.05849967200656
20/06/2014-02:10:00,12.038283082188611
