Data-Ora,Consumo
22/06/2014-00:00:00,83.94242512955388
22/06/2014-00:01:00,83.56725274192897
22/06/2014-00:02:00,83.37482286976355
22/06/2014-00:03:00,83.13778772158396
22/06/2014-00:04:00,82.94141144237884
22/06/2014-00:05:00,82.79552679534768
22/06/2014-00:06:00,82.5202148787989
22/06/2014-00:07:00,82.30962391541166
22/06/2014-00:08:00,82.12664532191518
22/06/2014-00:09:00,81.90294310428033
22/06/2014-00:10:00,81.90904610251965
22/06/2014-00:11:00,81.64624765697081
22/06/2014-00:12:00,81.50585473650375
22/06/2014-00:13:00,67.97718784792403
22/06/2014-00:14:00,12.074597061345733
22/06/2014-00:15:00,12.056421234880656
22/06/2014-00:16:00,12.13237983649863
22/06/2014-00:17:00,12.093361317126693
22/06/2014-00:18:00,11.980604911897077
22/06/2014-00:19:00,12.07247756256741
22/06/2014-00:20:00,12.116749749249212
22/06/2014-00:21:00,11.976821577619242
22/06/2014-00:22:00,12.019481152634624
22/06/2014-00:23:00,12.056343630145856
22/06/2014-00:24:00,12.147225019659968
22/06/2014-00:25:00,14.931812950088297
22/06/2014-00:26:00,14.8967892351469
22/06/2014-00:27:00,14.975839727329962
22/06/2014-00:28:00,14.974683995256385
22/06/2014-00:29:00,14.89233363626094
22/06/2014-00:30:00,14.97971161814644
22/06/2014-00:31:00,41.04993087392023
22/06/2014-00:32:00,64.14495436902983
22/06/2014-00:33:00,80.95096849804065
22/06/2014-00:34:00,92.63754170709989
22/06/2014-00:35:00,90.4048939703476
22/06/2014-00:36:00,87.70668367138506
22/06/2014-00:37:00,87.4718186682191
22/06/2014-00:38:00,86.22460642203505
22/06/2014-00:39:00,85.17322630194253
22/06/2014-00:40:00,84.35383780363752
22/06/2014-00:41:00,83.75401788772805
22/06/2014-00:42:00,83.21208494533309
22/06/2014-00:43:00,82.64175633676871
22/06/2014-00:44:00,84.34686512714552
22/06/2014-00:45:00,84.44079978489721
22/06/2014-00:46:00,84.15988134366427
22/06/2014-00:47:00,83.710758038091
22/06/2014-00:48:00,83.49100007784627
22/06/2014-00:49:00,83.2467195563226
22/06/2014-00:50:00,82.87978805788163
22/06/2014-00:51:00,82.66128788180562
22/06/2014-00:52:00,82.37917642085088
22/06/2014-00:53:00,82.12010245313023
22/06/2014-00:54:00,81.97167819748792
22/06/2014-00:55:00,81.6751566386244
22/06/2014-00:56:00,81.56843050159614
22/06/2014-00:57:00,81.42497112021763
22/06/2014-00:58:00,81.34706213534456
22/06/2014-00:59:00,43.26309022515561
22/06/2014-01:00:00,11.941366509155944
22/06/2014-01:01:00,11.941444113890748
22/06/2014-01:02:00,11.86176685189453
22/06/2014-01:03:00,11.888648300871385
22/06/2014-01:04:00,11.806181516071184
22/06/2014-01:05:00,11.89487914287595
22/06/2014-01:06:00,11.902270385049205
22/06/2014-01:07:00,11.865627790907167
22/06/2014-01:08:00,11.902347989784008
22/06/2014-01:09:00,11.889156903336554
22/06/2014-01:10:00,11.902347989784008
22/06/2014-01:11:00,11.824606886279302
22/06/2014-01:12:00,11.902567873153204
22/06/2014-01:13:00,11.902347989784008
22/06/2014-01:14:00,11.828390220557136
22/06/2014-01:15:00,11.885145247435773
22/06/2014-01:16:00,11.941366509155944
22/06/2014-01:17:00,11.814193289711566
22/06/2014-01:18:00,11.880752409412874
22/06/2014-01:19:00,11.812366236865987
22/06/2014-01:20:00,11.8269828115092
22/06/2014-01:21:00,11.88886445740381
22/06/2014-01:22:00,11.881055116606415
22/06/2014-01:23:00,11.523680538024372
22/06/2014-01:24:00,9.170853697039346
22/06/2014-01:25:00,9.132130905292078
22/06/2014-01:26:00,9.129071493660156
22/06/2014-01:27:00,9.092958936929865
22/06/2014-01:28:00,9.014997742441462
22/06/2014-01:29:00,9.398806691399066
22/06/2014-01:30:00,26.497769418189662
22/06/2014-01:31:00,53.832399228482
22/06/2014-01:32:00,75.77334506140947
22/06/2014-01:33:00,89.61558374977955
22/06/2014-01:34:00,93.25858216799824
22/06/2014-01:35:00,94.61309085907295
22/06/2014-01:36:00,95.38874881378888
22/06/2014-01:37:00,96.04935494938309
22/06/2014-01:38:00,96.75538216683756
22/06/2014-01:39:00,97.0729677185948
22/06/2014-01:40:00,97.45730836032357
22/06/2014-01:41:00,97.2604397545036
22/06/2014-01:42:00,93.5973982499967
22/06/2014-01:43:00,90.69977799822472
22/06/2014-01:44:00,88.91320102807892
22/06/2014-01:45:00,87.7039273991948
22/06/2014-01:46:00,86.77857430225356
22/06/2014-01:47:00,86.18953018347156
22/06/2014-01:48:00,85.48379360708651
22/06/2014-01:49:00,85.04047539217564
22/06/2014-01:50:00,84.62060004256558
22/06/2014-01:51:00,84.27677392731239
22/06/2014-01:52:00,83.93069944303221
22/06/2014-01:53:00,83.64120553265178
22/06/2014-01:54:00,83.34363041703237
22/06/2014-01:55:00,83.04798008193407
22/06/2014-01:56:00,82.88544386095026
22/06/2014-01:57:00,82.66244898299404
22/06/2014-01:58:00,82.22606904326841
22/06/2014-01:59:00,82.08778388478727
22/06/2014-02:00:00,81.86691539786952
22/06/2014-02:01:00,81.56835289686133
22/06/2014-02:02:00,81.46164145963546
22/06/2014-02:03:00,81.24210265610917
22/06/2014-02:04:00,80.90140945045084
22/06/2014-02:05:00,80.98354533321096
22/06/2014-02:06:00,27.27298037888676
22/06/2014-02:07:00,11.958122584298154
22/06/2014-02:08:00,11.88499266863514
22/06/2014-02:09:00,11.961492415718048
22/06/2014-02:10:00,12.001756290537278
22/06/2014-02:11:00,11.980385028527882
22/06/2014-02:12:00,11.961784861650791
22/06/2014-02:13:00,10.394113589133598
22/06/2014-02:14:00,9.176592543742505
22/06/2014-02:15:00,9.17697242579249
22/06/2014-02:16:00,9.25075084240476
22/06/2014-02:17:00,9.13421089528281
22/06/2014-02:18:00,9.133913407178811
22/06/2014-02:19:00,9.097711090944244
22/06/2014-02:20:00,9.12899520425984
22/06/2014-02:21:00,9.093334029768664
22/06/2014-02:22:00,9.25074908192543
22/06/2014-02:23:00,10.903105035432114
22/06/2014-02:24:00,11.812289947465676
22/06/2014-02:25:00,11.96031645145466
22/06/2014-02:26:00,11.980385028527884
22/06/2014-02:27:00,11.963611914496369
22/06/2014-02:28:00,11.867486344663876
22/06/2014-02:29:00,11.939661612004013
22/06/2014-02:30:00,11.867486344663876
22/06/2014-02:31:00,11.887037404558232
22/06/2014-02:32:00,11.824826769648496
22/06/2014-02:33:00,11.963535625096055
22/06/2014-02:34:00,11.863625405651238
22/06/2014-02:35:00,11.902643925023176
22/06/2014-02:36:00,11.86370301038604
22/06/2014-02:37:00,11.865330302803171
22/06/2014-02:38:00,12.643223608118848
22/06/2014-02:39:00,31.818878360892764
22/06/2014-02:40:00,58.008272937981225
22/06/2014-02:41:00,78.97511016942684
22/06/2014-02:42:00,91.69081248848204
22/06/2014-02:43:00,93.16625663987598
22/06/2014-02:44:00,94.42416790668996
22/06/2014-02:45:00,95.2272968690741
22/06/2014-02:46:00,95.83836697818836
22/06/2014-02:47:00,96.41693028951126
22/06/2014-02:48:00,96.86008508993584
22/06/2014-02:49:00,97.1500846968768
22/06/2014-02:50:00,96.64317007267084
22/06/2014-02:51:00,92.61043093255152
22/06/2014-02:52:00,89.9158664643659
22/06/2014-02:53:00,88.28970828468053
22/06/2014-02:54:00,87.18457775306466
22/06/2014-02:55:00,86.44600377507413
22/06/2014-02:56:00,85.82447634857779
22/06/2014-02:57:00,85.13297085904169
22/06/2014-02:58:00,84.70774892887586
22/06/2014-02:59:00,84.33377486407764
22/06/2014-03:00:00,89.1034737599383
22/06/2014-03:01:00,104.78523382114211
22/06/2014-03:02:00,103.13113452605933
22/06/2014-03:03:00,100.21592502885794
22/06/2014-03:04:00,100.01155361681325
22/06/2014-03:05:00,100.10587997422827
22/06/2014-03:06:00,90.933159052823
22/06/2014-03:07:00,79.27812960402645
22/06/2014-03:08:00,79.06681865815229
22/06/2014-03:09:00,78.85632198666457
22/06/2014-03:10:00,78.66922990205309
22/06/2014-03:11:00,78.46551859115823
22/06/2014-03:12:00,78.55254560744605
22/06/2014-03:13:00,80.93143237677737
22/06/2014-03:14:00,80.60599474084057
22/06/2014-03:15:00,55.71342900356551
22/06/2014-03:16:00,11.902567873153204
22/06/2014-03:17:00,12.034487582820256
22/06/2014-03:18:00,12.09722225613933
22/06/2014-03:19:00,11.927221645938936
22/06/2014-03:20:00,11.937505570143308
22/06/2014-03:21:00,12.017325110773918
22/06/2014-03:22:00,11.720651284422784
22/06/2014-03:23:00,11.902270385049205
22/06/2014-03:24:00,11.865627790907167
22/06/2014-03:25:00,11.900565487897271
22/06/2014-03:26:00,11.902567873153204
22/06/2014-03:27:00,11.826234178696431
22/06/2014-03:28:00,11.939661612004013
22/06/2014-03:29:00,11.904348822175107
22/06/2014-03:30:00,11.828687708661132
22/06/2014-03:31:00,11.94352255101665
22/06/2014-03:32:00,11.906504864035814
22/06/2014-03:33:00,11.789669189289194
22/06/2014-03:34:00,11.904426426909913
22/06/2014-03:35:00,11.863625405651238
22/06/2014-03:36:00,11.863625405651238
22/06/2014-03:37:00,11.902643925023176
22/06/2014-03:38:00,11.904723915013909
22/06/2014-03:39:00,12.028990237673934
22/06/2014-03:40:00,11.824529281544498
22/06/2014-03:41:00,11.941366509155944
22/06/2014-03:42:00,11.904723915013909
22/06/2014-03:43:00,11.943444946281849
22/06/2014-03:44:00,11.92729793533925
22/06/2014-03:45:00,11.920534430433769
22/06/2014-03:46:00,11.865781447511944
22/06/2014-03:47:00,11.850723425401114
22/06/2014-03:48:00,11.980462633262686
22/06/2014-03:49:00,12.569346246422532
22/06/2014-03:50:00,30.339458455423703
22/06/2014-03:51:00,56.62645103974348
22/06/2014-03:52:00,76.64069617898207
