Data-Ora,Consumo
14/07/2014-00:00:00,107.90224529871055
14/07/2014-00:01:00,106.19926151199172
14/07/2014-00:02:00,104.87828166149308
14/07/2014-00:03:00,103.96827877444537
14/07/2014-00:04:00,103.10596645897168
14/07/2014-00:05:00,102.47569998440832
14/07/2014-00:06:00,104.7853842283446
14/07/2014-00:07:00,91.7351776449731
14/07/2014-00:08:00,90.53551357097248
14/07/2014-00:09:00,90.2837745677146
14/07/2014-00:10:00,90.18172269545524
14/07/2014-00:11:00,89.43777573591841
14/07/2014-00:12:00,86.79062271318222
14/07/2014-00:13:00,86.5588176915031
14/07/2014-00:14:00,86.03360036119987
14/07/2014-00:15:00,38.8344776256676
14/07/2014-00:16:00,9.056018647069328
14/07/2014-00:17:00,9.21016970451528
14/07/2014-00:18:00,9.01343512392392
14/07/2014-00:19:00,9.178707233420772
14/07/2014-00:20:00,9.171151185143344
14/07/2014-00:21:00,9.74253102018458
14/07/2014-00:22:00,11.961784861650791
14/07/2014-00:23:00,11.957702976319355
14/07/2014-00:24:00,11.954425836509204
14/07/2014-00:25:00,11.939661612004013
14/07/2014-00:26:00,11.978823962875172
14/07/2014-00:27:00,11.955928717141646
14/07/2014-00:28:00,11.904426426909913
14/07/2014-00:29:00,11.79756239977984
14/07/2014-00:30:00,14.527169152160862
14/07/2014-00:31:00,14.931891916309672
14/07/2014-00:32:00,14.82276699963494
14/07/2014-00:33:00,14.80899874624869
14/07/2014-00:34:00,36.32132614999215
14/07/2014-00:35:00,65.1686087168657
14/07/2014-00:36:00,83.04179528584281
14/07/2014-00:37:00,100.03843009046474
14/07/2014-00:38:00,103.06508649093593
14/07/2014-00:39:00,103.742997656716
14/07/2014-00:40:00,103.9149073618623
14/07/2014-00:41:00,102.12070269912
14/07/2014-00:42:00,98.11798971308582
14/07/2014-00:43:00,95.77727678464512
14/07/2014-00:44:00,94.31932889336323
14/07/2014-00:45:00,93.25050792657775
14/07/2014-00:46:00,92.50525988690868
14/07/2014-00:47:00,92.09812380420313
14/07/2014-00:48:00,91.20677469791556
14/07/2014-00:49:00,90.8024182263159
14/07/2014-00:50:00,90.28344751813675
14/07/2014-00:51:00,89.87893022298813
14/07/2014-00:52:00,89.49057071424723
14/07/2014-00:53:00,89.27308971657646
14/07/2014-00:54:00,88.88373107717918
14/07/2014-00:55:00,88.59665025483304
14/07/2014-00:56:00,47.57895351769276
14/07/2014-00:57:00,11.958045198184848
14/07/2014-00:58:00,11.93921046729524
14/07/2014-00:59:00,11.941740049129915
14/07/2014-01:00:00,12.035413792962055
14/07/2014-01:01:00,10.392035359622197
14/07/2014-01:02:00,8.95421444739152
14/07/2014-01:03:00,7.178753374824324
14/07/2014-01:04:00,7.144266407313991
14/07/2014-01:05:00,7.140108187811857
14/07/2014-01:06:00,9.054093866548202
14/07/2014-01:07:00,9.018226015123837
14/07/2014-01:08:00,9.094894887806875
14/07/2014-01:09:00,9.13711322991515
14/07/2014-01:10:00,9.056096251804131
14/07/2014-01:11:00,10.980907331848467
14/07/2014-01:12:00,11.92700548940651
14/07/2014-01:13:00,11.865407907537971
14/07/2014-01:14:00,15.75450077377797
14/07/2014-01:15:00,38.41879507379586
14/07/2014-01:16:00,69.08377819249381
14/07/2014-01:17:00,88.99452329595977
14/07/2014-01:18:00,97.46446400822671
14/07/2014-01:19:00,98.81576404363096
14/07/2014-01:20:00,99.75685844081514
14/07/2014-01:21:00,100.2769797269466
14/07/2014-01:22:00,100.955883980479
14/07/2014-01:23:00,101.4032762660565
14/07/2014-01:24:00,101.78638372623544
14/07/2014-01:25:00,99.41648342805595
14/07/2014-01:26:00,96.0514373311845
14/07/2014-01:27:00,93.9381907396072
14/07/2014-01:28:00,92.75222935922385
14/07/2014-01:29:00,91.90399092333038
14/07/2014-01:30:00,91.17586540715104
14/07/2014-01:31:00,90.4311131099459
14/07/2014-01:32:00,90.0678539020219
14/07/2014-01:33:00,89.42122945176013
14/07/2014-01:34:00,88.85556922056003
14/07/2014-01:35:00,88.69904924744678
14/07/2014-01:36:00,86.33102094666826
14/07/2014-01:37:00,11.941663997259942
14/07/2014-01:38:00,12.07519581398295
14/07/2014-01:39:00,12.054562681123947
14/07/2014-01:40:00,12.017325110773918
14/07/2014-01:41:00,11.937505570143308
14/07/2014-01:42:00,11.941288904421144
14/07/2014-01:43:00,12.01740271550872
14/07/2014-01:44:00,11.918340563277262
14/07/2014-01:45:00,11.863251865677269
14/07/2014-01:46:00,11.880831375634251
14/07/2014-01:47:00,11.828765313395936
14/07/2014-01:48:00,11.865330302803171
14/07/2014-01:49:00,11.799756266936344
14/07/2014-01:50:00,11.824826562033994
14/07/2014-01:51:00,9.17107358040854
14/07/2014-01:52:00,9.17697242579249
14/07/2014-01:53:00,9.171151185143344
14/07/2014-01:54:00,9.216598305735555
14/07/2014-01:55:00,10.576651314839062
14/07/2014-01:56:00,29.16153394348941
14/07/2014-01:57:00,57.664179768273904
14/07/2014-01:58:00,77.13993641561012
14/07/2014-01:59:00,90.62846722135352
14/07/2014-02:00:00,93.64850787582904
14/07/2014-02:01:00,98.0520060522883
14/07/2014-02:02:00,99.12225024398852
14/07/2014-02:03:00,99.92978903460413
14/07/2014-02:04:00,100.4491931772794
14/07/2014-02:05:00,100.77142473310428
14/07/2014-02:06:00,101.15283668396022
14/07/2014-02:07:00,100.88506005378709
14/07/2014-02:08:00,96.93195373413396
14/07/2014-02:09:00,94.23978460313404
14/07/2014-02:10:00,92.76590597686068
14/07/2014-02:11:00,91.71236085320344
14/07/2014-02:12:00,90.99118420026215
14/07/2014-02:13:00,90.36118488458044
14/07/2014-02:14:00,89.84445332902499
14/07/2014-02:15:00,89.30658143545095
14/07/2014-02:16:00,89.11337817273683
14/07/2014-02:17:00,88.5145874048908
14/07/2014-02:18:00,46.96309537660235
14/07/2014-02:19:00,11.954417650485526
14/07/2014-02:20:00,12.035716500155596
14/07/2014-02:21:00,12.036239872810606
14/07/2014-02:22:00,11.995631771941165
14/07/2014-02:23:00,12.134162338385364
14/07/2014-02:24:00,12.056421234880656
14/07/2014-02:25:00,12.035413792962055
14/07/2014-02:26:00,11.954193909513364
14/07/2014-02:27:00,11.960032571660442
14/07/2014-02:28:00,12.033678985333774
14/07/2014-02:29:00,11.898926817509755
14/07/2014-02:30:00,12.058203736767393
14/07/2014-02:31:00,11.994199671506422
14/07/2014-02:32:00,12.054265193019951
14/07/2014-02:33:00,12.114706539871207
14/07/2014-02:34:00,11.99389696431288
14/07/2014-02:35:00,12.075419554955111
14/07/2014-02:36:00,12.054342797754757
14/07/2014-02:37:00,16.13468928483016
14/07/2014-02:38:00,38.34661786167853
14/07/2014-02:39:00,65.27273180835083
14/07/2014-02:40:00,81.8679393881403
14/07/2014-02:41:00,88.1056960795383
14/07/2014-02:42:00,91.924906332697
14/07/2014-02:43:00,94.27399215844468
14/07/2014-02:44:00,95.6432784613562
14/07/2014-02:45:00,96.48864226669436
14/07/2014-02:46:00,97.0033666618604
14/07/2014-02:47:00,97.41598736816653
14/07/2014-02:48:00,97.64784269252448
14/07/2014-02:49:00,98.0790490060632
14/07/2014-02:50:00,97.0169800863316
14/07/2014-02:51:00,94.7137090151139
14/07/2014-02:52:00,92.88118078111272
14/07/2014-02:53:00,91.56180012978136
14/07/2014-02:54:00,90.94453094325996
14/07/2014-02:55:00,90.28809094105316
14/07/2014-02:56:00,89.8482404003638
14/07/2014-02:57:00,89.44796505832382
14/07/2014-02:58:00,88.97673127998779
14/07/2014-02:59:00,88.44257669391672
14/07/2014-03:00:00,45.73001157732708
14/07/2014-03:01:00,33.072711624526605
14/07/2014-03:02:00,31.98920627418821
14/07/2014-03:03:00,32.032630177644684
14/07/2014-03:04:00,32.097264036705425
14/07/2014-03:05:00,32.35547525932533
14/07/2014-03:06:00,20.70067532367444
14/07/2014-03:07:00,12.192190077446366
14/07/2014-03:08:00,12.112928742598118
14/07/2014-03:09:00,12.11091104050285
14/07/2014-03:10:00,12.150372121711722
14/07/2014-03:11:00,12.054562681123947
14/07/2014-03:12:00,12.033219925805549
14/07/2014-03:13:00,12.110834751102535
14/07/2014-03:14:00,12.110892807884367
14/07/2014-03:15:00,12.09157881523996
14/07/2014-03:16:00,12.110734875441612
14/07/2014-03:17:00,12.054265193019951
14/07/2014-03:18:00,12.116934803496216
14/07/2014-03:19:00,12.1876254175731
14/07/2014-03:20:00,28.043693765323667
14/07/2014-03:21:00,58.230114547582346
14/07/2014-03:22:00,81.38674712768255
14/07/2014-03:23:00,95.50125932085666
14/07/2014-03:24:00,97.65898036251605
14/07/2014-03:25:00,98.63122784878212
14/07/2014-03:26:00,99.71025666712734
14/07/2014-03:27:00,100.4774667072366
14/07/2014-03:28:00,100.8204142486212
14/07/2014-03:29:00,101.19367847218535
14/07/2014-03:30:00,95.75192522661558
14/07/2014-03:31:00,92.54674818743035
14/07/2014-03:32:00,90.7453140693554
14/07/2014-03:33:00,89.51797307262024
