Data-Ora,Consumo
15/07/2014-00:00:00,12.05664111824985
15/07/2014-00:01:00,11.999849604253171
15/07/2014-00:02:00,12.015620213621984
15/07/2014-00:03:00,12.198382805444645
15/07/2014-00:04:00,28.19905021954038
15/07/2014-00:05:00,59.56762470264196
15/07/2014-00:06:00,82.12107304513411
15/07/2014-00:07:00,94.75234942699288
15/07/2014-00:08:00,95.41957904651709
15/07/2014-00:09:00,94.785719310859
15/07/2014-00:10:00,95.73534206196788
15/07/2014-00:11:00,96.34097823199396
15/07/2014-00:12:00,96.81690409496451
15/07/2014-00:13:00,97.15319297110044
15/07/2014-00:14:00,94.34218754906514
15/07/2014-00:15:00,91.26510542686638
15/07/2014-00:16:00,89.31715569306537
15/07/2014-00:17:00,88.3276031023733
15/07/2014-00:18:00,88.68707435318777
15/07/2014-00:19:00,89.43777625495466
15/07/2014-00:20:00,88.91672295735961
15/07/2014-00:21:00,88.50552394853297
15/07/2014-00:22:00,87.98944840597315
15/07/2014-00:23:00,87.6682617100465
15/07/2014-00:24:00,87.39854490722037
15/07/2014-00:25:00,47.47006772467767
15/07/2014-00:26:00,11.848387770090364
15/07/2014-00:27:00,11.875088926999805
15/07/2014-00:28:00,11.772256758340514
15/07/2014-00:29:00,11.746712126169818
15/07/2014-00:30:00,11.980385028527884
15/07/2014-00:31:00,11.824606886279302
15/07/2014-00:32:00,11.963535625096055
15/07/2014-00:33:00,11.839314546985078
15/07/2014-00:34:00,11.92729793533925
15/07/2014-00:35:00,11.904426426909913
15/07/2014-00:36:00,11.980462633262686
15/07/2014-00:37:00,11.961708572250476
15/07/2014-00:38:00,11.941366509155944
15/07/2014-00:39:00,11.865407907537971
15/07/2014-00:40:00,11.73586648978308
15/07/2014-00:41:00,11.863549353781265
15/07/2014-00:42:00,11.939661612004013
15/07/2014-00:43:00,11.911253051542923
15/07/2014-00:44:00,11.863549353781265
15/07/2014-00:45:00,22.27692232109176
15/07/2014-00:46:00,50.79738257091922
15/07/2014-00:47:00,72.92440158664054
15/07/2014-00:48:00,86.70053363025593
15/07/2014-00:49:00,90.8293818636806
15/07/2014-00:50:00,94.16383233800224
15/07/2014-00:51:00,95.94727909984871
15/07/2014-00:52:00,97.41784997040598
15/07/2014-00:53:00,98.18769660178056
15/07/2014-00:54:00,98.51943799310088
15/07/2014-00:55:00,98.96374348264156
15/07/2014-00:56:00,99.2111569714164
15/07/2014-00:57:00,98.28495253386578
15/07/2014-00:58:00,92.68324840524969
15/07/2014-00:59:00,89.87885261825332
15/07/2014-01:00:00,88.50969369798786
15/07/2014-01:01:00,87.48252650822137
15/07/2014-01:02:00,86.70261933388933
15/07/2014-01:03:00,86.18787388982797
15/07/2014-01:04:00,85.4817116405141
15/07/2014-01:05:00,84.99945448754778
15/07/2014-01:06:00,74.77163620055539
15/07/2014-01:07:00,9.054093866548202
15/07/2014-01:08:00,11.667109912046293
15/07/2014-01:09:00,11.880831375634251
15/07/2014-01:10:00,11.909529966385747
15/07/2014-01:11:00,11.822373239683792
15/07/2014-01:12:00,11.978526474771174
15/07/2014-01:13:00,12.130223794637924
15/07/2014-01:14:00,12.036456029343034
15/07/2014-01:15:00,12.017698650747889
15/07/2014-01:16:00,12.017247506039116
15/07/2014-01:17:00,12.000142050185916
15/07/2014-01:18:00,12.054265193019951
15/07/2014-01:19:00,11.974961470997703
15/07/2014-01:20:00,12.091205275265986
15/07/2014-01:21:00,12.149268229037975
15/07/2014-01:22:00,12.134084733650562
15/07/2014-01:23:00,12.18550591879478
15/07/2014-01:24:00,12.169319918744664
15/07/2014-01:25:00,12.013684055130474
15/07/2014-01:26:00,14.645993924835402
15/07/2014-01:27:00,34.33674467313408
15/07/2014-01:28:00,62.25909117816588
15/07/2014-01:29:00,80.40765438518154
15/07/2014-01:30:00,88.61854852899155
15/07/2014-01:31:00,88.4837548884031
15/07/2014-01:32:00,88.25424965625085
15/07/2014-01:33:00,91.1219105779818
15/07/2014-01:34:00,94.20255108126676
15/07/2014-01:35:00,96.02582450962896
15/07/2014-01:36:00,96.99851648320376
15/07/2014-01:37:00,97.93100779813506
15/07/2014-01:38:00,98.37870162454324
15/07/2014-01:39:00,98.74538335847966
15/07/2014-01:40:00,99.04116818242466
15/07/2014-01:41:00,97.15557149151158
15/07/2014-01:42:00,93.65982411135836
15/07/2014-01:43:00,91.8098061731832
15/07/2014-01:44:00,90.2445433510733
15/07/2014-01:45:00,89.43807374305865
15/07/2014-01:46:00,88.81201806192358
15/07/2014-01:47:00,87.51916463865166
15/07/2014-01:48:00,54.6304026263849
15/07/2014-01:49:00,9.171151185143344
15/07/2014-01:50:00,9.242100053983137
15/07/2014-01:51:00,9.24718583863129
15/07/2014-01:52:00,9.12687590957713
15/07/2014-01:53:00,9.133913407178811
15/07/2014-01:54:00,9.132055061036604
15/07/2014-01:55:00,9.16742868219528
15/07/2014-01:56:00,9.099524864793905
15/07/2014-01:57:00,10.29338094788913
15/07/2014-01:58:00,11.88339295744542
15/07/2014-01:59:00,12.021263654521356
15/07/2014-02:00:00,11.941366509155944
15/07/2014-02:01:00,11.97830659140198
15/07/2014-02:02:00,12.038283082188611
15/07/2014-02:03:00,11.975039075732507
15/07/2014-02:04:00,11.921382937192575
15/07/2014-02:05:00,12.027232466257631
15/07/2014-02:06:00,11.887037404558232
15/07/2014-02:07:00,11.961492415718048
15/07/2014-02:08:00,17.880845539356326
15/07/2014-02:09:00,43.190829750067536
15/07/2014-02:10:00,71.14894691246069
15/07/2014-02:11:00,89.54857241841074
15/07/2014-02:12:00,95.73977171651087
15/07/2014-02:13:00,96.97483807145927
15/07/2014-02:14:00,98.04389817741908
15/07/2014-02:15:00,98.741815755281
15/07/2014-02:16:00,99.14416548172024
15/07/2014-02:17:00,98.15276492985488
15/07/2014-02:18:00,94.60676569370496
15/07/2014-02:19:00,92.5383415745262
15/07/2014-02:20:00,91.23084241272046
15/07/2014-02:21:00,90.20563036276208
15/07/2014-02:22:00,89.54650311632285
15/07/2014-02:23:00,89.0885359227057
15/07/2014-02:24:00,88.50552394853297
15/07/2014-02:25:00,88.06934555133857
15/07/2014-02:26:00,87.6258106753272
15/07/2014-02:27:00,87.1604163121656
15/07/2014-02:28:00,86.94417663081924
15/07/2014-02:29:00,30.58382923893992
15/07/2014-02:30:00,11.826311783431231
15/07/2014-02:31:00,11.980682516631878
15/07/2014-02:32:00,11.925178436560929
15/07/2014-02:33:00,11.904426426909913
15/07/2014-02:34:00,11.789669189289194
15/07/2014-02:35:00,11.941444113890748
15/07/2014-02:36:00,11.848754978878336
15/07/2014-02:37:00,9.833620900330516
15/07/2014-02:38:00,9.050453978439624
15/07/2014-02:39:00,9.170853697039346
15/07/2014-02:40:00,9.129071493660156
15/07/2014-02:41:00,9.142366345268218
15/07/2014-02:42:00,9.05249698372202
15/07/2014-02:43:00,9.090854172257146
15/07/2014-02:44:00,9.093112385920142
15/07/2014-02:45:00,9.12899520425984
15/07/2014-02:46:00,9.13183517766741
15/07/2014-02:47:00,11.45317177234504
15/07/2014-02:48:00,11.94158639252514
15/07/2014-02:49:00,16.785383034861567
15/07/2014-02:50:00,39.697619566137575
15/07/2014-02:51:00,69.7006658703999
15/07/2014-02:52:00,88.46760594744538
15/07/2014-02:53:00,95.11185636404004
15/07/2014-02:54:00,96.48532162266446
15/07/2014-02:55:00,97.474128980327
15/07/2014-02:56:00,98.26127097358862
15/07/2014-02:57:00,98.92827867998668
15/07/2014-02:58:00,99.32593333162627
15/07/2014-02:59:00,98.07904807179791
15/07/2014-03:00:00,104.33352002568954
15/07/2014-03:01:00,113.83450487867496
15/07/2014-03:02:00,111.4463154680802
15/07/2014-03:03:00,110.18569420722858
15/07/2014-03:04:00,109.4124867371262
15/07/2014-03:05:00,109.37632518302962
15/07/2014-03:06:00,99.94955751113896
15/07/2014-03:07:00,87.95823871625772
15/07/2014-03:08:00,87.70771228633747
15/07/2014-03:09:00,87.25852825578403
15/07/2014-03:10:00,67.52124651131938
15/07/2014-03:11:00,11.93921046729524
15/07/2014-03:12:00,12.068665682130334
15/07/2014-03:13:00,11.902865361257197
15/07/2014-03:14:00,11.999849604253171
15/07/2014-03:15:00,11.99782563909767
15/07/2014-03:16:00,12.056047694906686
15/07/2014-03:17:00,12.000142050185916
15/07/2014-03:18:00,11.937505570143308
15/07/2014-03:19:00,11.99817360366314
15/07/2014-03:20:00,12.058423620136583
15/07/2014-03:21:00,12.093361317126693
15/07/2014-03:22:00,12.056421234880656
15/07/2014-03:23:00,11.999925893653488
15/07/2014-03:24:00,11.886961115157918
15/07/2014-03:25:00,11.980385028527882
15/07/2014-03:26:00,11.502318755503138
15/07/2014-03:27:00,9.133913407178811
15/07/2014-03:28:00,9.201990575457662
15/07/2014-03:29:00,9.242100053983137
15/07/2014-03:30:00,13.580819546431016
15/07/2014-03:31:00,35.19990485521555
15/07/2014-03:32:00,65.68938186216754
15/07/2014-03:33:00,85.1882875859405
15/07/2014-03:34:00,92.35380285388617
15/07/2014-03:35:00,93.82515523307046
15/07/2014-03:36:00,95.60612119472944
15/07/2014-03:37:00,98.454436190502
15/07/2014-03:38:00,99.00536282788424
15/07/2014-03:39:00,99.29371822105742
15/07/2014-03:40:00,98.0786730827664
15/07/2014-03:41:00,94.57407192447202
15/07/2014-03:42:00,92.57757987346004
15/07/2014-03:43:00,91.24981549464142
15/07/2014-03:44:00,90.39980068460446
15/07/2014-03:45:00,89.63340666078012
15/07/2014-03:46:00,89.09065909520501
15/07/2014-03:47:00,88.51674708000527
15/07/2014-03:48:00,88.03280464682844
15/07/2014-03:49:00,87.70911274949428
15/07/2014-03:50:00,87.37357934825499
15/07/2014-03:51:00,57.82587308739628
15/07/2014-03:52:00,11.976448037645271
15/07/2014-03:53:00,12.074597061345733
15/07/2014-03:54:00,11.863845289020432
15/07/2014-03:55:00,11.939507955399236
15/07/2014-03:56:00,12.031485118177269
15/07/2014-03:57:00,12.01740271550872
15/07/2014-03:58:00,12.001969103031495
15/07/2014-03:59:00,12.058423620136583
15/07/2014-04:00:00,11.976601694250048
15/07/2014-04:01:00,12.114706539871207
15/07/2014-04:02:00,11.939584007269213
15/07/2014-04:03:00,12.078392560714088
15/07/2014-04:04:00,11.980682516631878
15/07/2014-04:05:00,12.0952198708834
15/07/2014-04:06:00,12.036456029343034
15/07/2014-04:07:00,11.999849604253171
15/07/2014-04:08:00,12.017325110773918
15/07/2014-04:09:00,12.001969103031495
