Data-Ora,Consumo
16/07/2014-00:00:00,53.49001354842567
16/07/2014-00:01:00,72.4427506999019
16/07/2014-00:02:00,88.33390989385805
16/07/2014-00:03:00,96.64457396174048
16/07/2014-00:04:00,95.32225396683364
16/07/2014-00:05:00,92.43385593961584
16/07/2014-00:06:00,90.43630953682978
16/07/2014-00:07:00,89.69454598516697
16/07/2014-00:08:00,88.99454011273428
16/07/2014-00:09:00,88.39879433515668
16/07/2014-00:10:00,87.73628510462572
16/07/2014-00:11:00,87.14347716331307
16/07/2014-00:12:00,86.71553488255189
16/07/2014-00:13:00,86.1442528335472
16/07/2014-00:14:00,85.77561694668302
16/07/2014-00:15:00,87.25079848840775
16/07/2014-00:16:00,87.81249738593347
16/07/2014-00:17:00,87.40218959611758
16/07/2014-00:18:00,86.9724940278189
16/07/2014-00:19:00,65.1694576647829
16/07/2014-00:20:00,11.997904605319048
16/07/2014-00:21:00,11.960237485233284
16/07/2014-00:22:00,11.978901567609972
16/07/2014-00:23:00,11.88294627656938
16/07/2014-00:24:00,11.941366509155944
16/07/2014-00:25:00,11.887037404558232
16/07/2014-00:26:00,11.918564304249424
16/07/2014-00:27:00,11.941883880629137
16/07/2014-00:28:00,11.978604079505976
16/07/2014-00:29:00,12.056301166537311
16/07/2014-00:30:00,11.959816415128014
16/07/2014-00:31:00,11.879017601784591
16/07/2014-00:32:00,11.904504031644713
16/07/2014-00:33:00,11.877047475600248
16/07/2014-00:34:00,11.958122584298154
16/07/2014-00:35:00,11.963611914496369
16/07/2014-00:36:00,11.83750077313542
16/07/2014-00:37:00,11.902270385049205
16/07/2014-00:38:00,12.41950851838499
16/07/2014-00:39:00,14.812624819468368
16/07/2014-00:40:00,14.82268939490014
16/07/2014-00:41:00,14.628077097702796
16/07/2014-00:42:00,42.04280971667629
16/07/2014-00:43:00,65.27712992070188
16/07/2014-00:44:00,83.97331604643512
16/07/2014-00:45:00,98.32866904355348
16/07/2014-00:46:00,100.14924369353884
16/07/2014-00:47:00,100.47772062580076
16/07/2014-00:48:00,100.92562525810996
16/07/2014-00:49:00,99.11317577918123
16/07/2014-00:50:00,95.40445973497673
16/07/2014-00:51:00,93.67256705810696
16/07/2014-00:52:00,92.31880661186814
16/07/2014-00:53:00,91.45108490776576
16/07/2014-00:54:00,90.42632556156934
16/07/2014-00:55:00,87.59311597182902
16/07/2014-00:56:00,87.03891194708628
16/07/2014-00:57:00,86.48397706599741
16/07/2014-00:58:00,86.00010501575879
16/07/2014-00:59:00,85.70711782103564
16/07/2014-01:00:00,85.29694929519998
16/07/2014-01:01:00,85.06582621005026
16/07/2014-01:02:00,84.59507718727404
16/07/2014-01:03:00,43.42005980026824
16/07/2014-01:04:00,9.536240961954778
16/07/2014-01:05:00,11.857608424777895
16/07/2014-01:06:00,11.94352255101665
16/07/2014-01:07:00,11.850723425401114
16/07/2014-01:08:00,11.96031645145466
16/07/2014-01:09:00,11.86347174904646
16/07/2014-01:10:00,11.935292789121172
16/07/2014-01:11:00,11.828390220557136
16/07/2014-01:12:00,11.943444946281849
16/07/2014-01:13:00,11.826685323405204
16/07/2014-01:14:00,11.904426426909913
16/07/2014-01:15:00,11.937725453512504
16/07/2014-01:16:00,11.96243135238979
16/07/2014-01:17:00,11.978602526641149
16/07/2014-01:18:00,11.94158639252514
16/07/2014-01:19:00,12.035492759183434
16/07/2014-01:20:00,11.980604911897078
16/07/2014-01:21:00,11.90086297600127
16/07/2014-01:22:00,12.037607660118564
16/07/2014-01:23:00,11.941069021051948
16/07/2014-01:24:00,11.9049437983831
16/07/2014-01:25:00,15.887912480603031
16/07/2014-01:26:00,38.61151620489348
16/07/2014-01:27:00,66.72184629486229
16/07/2014-01:28:00,87.36716308320966
16/07/2014-01:29:00,95.05632409469035
16/07/2014-01:30:00,96.56426455322652
16/07/2014-01:31:00,97.73246913302212
16/07/2014-01:32:00,98.5981944735086
16/07/2014-01:33:00,99.18921198977796
16/07/2014-01:34:00,99.58253476998289
16/07/2014-01:35:00,100.00139366324802
16/07/2014-01:36:00,96.78420970288808
16/07/2014-01:37:00,94.05904889932224
16/07/2014-01:38:00,92.28195218864222
16/07/2014-01:39:00,91.13684688777911
16/07/2014-01:40:00,90.2873121942104
16/07/2014-01:41:00,89.69276348328023
16/07/2014-01:42:00,89.19792101409465
16/07/2014-01:43:00,88.88797303028781
16/07/2014-01:44:00,86.72623646784602
16/07/2014-01:45:00,85.06604995102242
16/07/2014-01:46:00,84.70990850018308
16/07/2014-01:47:00,72.96136075205425
16/07/2014-01:48:00,9.170776092304544
16/07/2014-01:49:00,9.095114771176068
16/07/2014-01:50:00,9.248968340518026
16/07/2014-01:51:00,9.24681250627182
16/07/2014-01:52:00,9.094817283072071
16/07/2014-01:53:00,9.173229414654749
16/07/2014-01:54:00,10.977061044179658
16/07/2014-01:55:00,12.039265081633538
16/07/2014-01:56:00,11.861842903764504
16/07/2014-01:57:00,12.037607660118564
16/07/2014-01:58:00,11.980231371923104
16/07/2014-01:59:00,11.94352255101665
16/07/2014-02:00:00,11.94158639252514
16/07/2014-02:01:00,11.980385028527882
16/07/2014-02:02:00,11.958122584298154
16/07/2014-02:03:00,11.999925893653488
16/07/2014-02:04:00,11.902270385049205
16/07/2014-02:05:00,11.995710738162542
16/07/2014-02:06:00,12.05849967200656
16/07/2014-02:07:00,12.017325110773918
16/07/2014-02:08:00,11.863174260942465
16/07/2014-02:09:00,11.97830659140198
16/07/2014-02:10:00,21.58688356084752
16/07/2014-02:11:00,49.585240124432055
16/07/2014-02:12:00,75.29155250668481
16/07/2014-02:13:00,91.83514018556733
16/07/2014-02:14:00,95.90161081432996
16/07/2014-02:15:00,97.14938668617395
16/07/2014-02:16:00,98.22243415245808
16/07/2014-02:17:00,98.89134187318464
16/07/2014-02:18:00,99.41268746852116
16/07/2014-02:19:00,99.38344162057966
16/07/2014-02:20:00,96.11928400945048
16/07/2014-02:21:00,93.5423867966224
16/07/2014-02:22:00,92.05847042033692
16/07/2014-02:23:00,91.11684057465534
16/07/2014-02:24:00,90.2120322187265
16/07/2014-02:25:00,89.6205956900621
16/07/2014-02:26:00,88.98903084501595
16/07/2014-02:27:00,88.58854617883698
16/07/2014-02:28:00,88.14306323985355
16/07/2014-02:29:00,87.88466438350262
16/07/2014-02:30:00,87.47828476272726
16/07/2014-02:31:00,87.18681503291393
16/07/2014-02:32:00,43.11932387532424
16/07/2014-02:33:00,12.056201351511463
16/07/2014-02:34:00,9.130570047253867
16/07/2014-02:35:00,9.216374564763395
16/07/2014-02:36:00,9.125199908987096
16/07/2014-02:37:00,9.216598305735555
16/07/2014-02:38:00,9.093112385920142
16/07/2014-02:39:00,9.216598305735555
16/07/2014-02:40:00,9.095372660293812
16/07/2014-02:41:00,9.133913407178811
16/07/2014-02:42:00,9.144276763329502
16/07/2014-02:43:00,9.402121995070967
16/07/2014-02:44:00,11.86176685189453
16/07/2014-02:45:00,15.485519527259518
16/07/2014-02:46:00,24.537815403944183
16/07/2014-02:47:00,11.82066834253186
16/07/2014-02:48:00,13.5614251605491
16/07/2014-02:49:00,14.777454484989514
16/07/2014-02:50:00,14.824767935833291
16/07/2014-02:51:00,14.781888373641468
16/07/2014-02:52:00,35.39986605153416
16/07/2014-02:53:00,30.442279740711417
16/07/2014-02:54:00,59.89433364343427
16/07/2014-02:55:00,80.01320361805712
16/07/2014-02:56:00,99.63428768478435
16/07/2014-02:57:00,105.88230802000766
16/07/2014-02:58:00,106.92117435538728
16/07/2014-02:59:00,149.3699966423449
16/07/2014-03:00:00,147.61273722453504
16/07/2014-03:01:00,149.80718081705714
16/07/2014-03:02:00,146.9625616424082
16/07/2014-03:03:00,140.55770918743255
16/07/2014-03:04:00,140.86472766479903
16/07/2014-03:05:00,139.20199855564184
16/07/2014-03:06:00,140.23848589031186
16/07/2014-03:07:00,139.32632619079794
16/07/2014-03:08:00,138.69996171962862
16/07/2014-03:09:00,138.40708572918473
16/07/2014-03:10:00,138.9824351632465
16/07/2014-03:11:00,136.37793196000663
16/07/2014-03:12:00,135.27804969524416
16/07/2014-03:13:00,135.49878743883957
16/07/2014-03:14:00,134.79353399233443
16/07/2014-03:15:00,133.39556381716184
16/07/2014-03:16:00,132.88185484843035
16/07/2014-03:17:00,128.1516041224521
16/07/2014-03:18:00,58.19137206467836
16/07/2014-03:19:00,54.95803373223303
16/07/2014-03:20:00,54.57130145910396
16/07/2014-03:21:00,53.75672644006829
16/07/2014-03:22:00,54.1187321411869
16/07/2014-03:23:00,54.30393305785176
16/07/2014-03:24:00,50.28296431990545
16/07/2014-03:25:00,51.78834497451903
16/07/2014-03:26:00,50.622329855578656
16/07/2014-03:27:00,50.57565831903637
16/07/2014-03:28:00,51.38042836936607
16/07/2014-03:29:00,50.49605957914342
16/07/2014-03:30:00,52.09900694218104
16/07/2014-03:31:00,52.66644358044342
16/07/2014-03:32:00,51.56703484555133
16/07/2014-03:33:00,52.05142439899467
16/07/2014-03:34:00,57.14361395510713
16/07/2014-03:35:00,55.68591277429276
