Data-Ora,Consumo
18/07/2014-00:00:00,130.8820985963842
18/07/2014-00:01:00,106.84647464190854
18/07/2014-00:02:00,100.15588253926374
18/07/2014-00:03:00,100.0341757981242
18/07/2014-00:04:00,99.94482440552486
18/07/2014-00:05:00,99.84159553717622
18/07/2014-00:06:00,83.41608611128802
18/07/2014-00:07:00,79.23732858276777
18/07/2014-00:08:00,79.57570544629661
18/07/2014-00:09:00,106.8164293672643
18/07/2014-00:10:00,238.52134533008365
18/07/2014-00:11:00,238.240842675007
18/07/2014-00:12:00,237.25248368140225
18/07/2014-00:13:00,236.4759036930959
18/07/2014-00:14:00,235.9829611232208
18/07/2014-00:15:00,235.2703497102593
18/07/2014-00:16:00,234.0914396126589
18/07/2014-00:17:00,234.3865743303976
18/07/2014-00:18:00,234.3970911495508
18/07/2014-00:19:00,235.2443755011875
18/07/2014-00:20:00,236.6106799321489
18/07/2014-00:21:00,237.72094285452687
18/07/2014-00:22:00,237.6820112867861
18/07/2014-00:23:00,237.347559307536
18/07/2014-00:24:00,237.7150666075196
18/07/2014-00:25:00,237.6120247605905
18/07/2014-00:26:00,237.54321142891007
18/07/2014-00:27:00,237.29306652660105
18/07/2014-00:28:00,237.23839905249883
18/07/2014-00:29:00,237.2203645554601
18/07/2014-00:30:00,237.2736139909352
18/07/2014-00:31:00,237.87261837487108
18/07/2014-00:32:00,238.1269439784902
18/07/2014-00:33:00,238.049433658116
18/07/2014-00:34:00,238.31762867131
18/07/2014-00:35:00,238.19693050468587
18/07/2014-00:36:00,102.4789922612498
18/07/2014-00:37:00,11.941366509155944
18/07/2014-00:38:00,29.41570767710166
18/07/2014-00:39:00,76.23035375189342
18/07/2014-00:40:00,106.19882834455494
18/07/2014-00:41:00,135.8404051858656
18/07/2014-00:42:00,144.13646878923325
18/07/2014-00:43:00,136.45026612661832
18/07/2014-00:44:00,121.61297118197857
18/07/2014-00:45:00,109.93717544242314
18/07/2014-00:46:00,112.62780214998712
18/07/2014-00:47:00,113.03549689920038
18/07/2014-00:48:00,111.33855774900664
18/07/2014-00:49:00,109.46048328440662
18/07/2014-00:50:00,107.8750058039045
18/07/2014-00:51:00,106.3875088266765
18/07/2014-00:52:00,105.35725648751357
18/07/2014-00:53:00,107.42556864175778
18/07/2014-00:54:00,108.29273500716944
18/07/2014-00:55:00,108.66637729291855
18/07/2014-00:56:00,108.40538697030637
18/07/2014-00:57:00,107.93307109075371
18/07/2014-00:58:00,109.30339855585136
18/07/2014-00:59:00,109.96669050951168
18/07/2014-01:00:00,109.13165059163316
18/07/2014-01:01:00,105.24627865000645
18/07/2014-01:02:00,102.80899702764684
18/07/2014-01:03:00,100.9579665698949
18/07/2014-01:04:00,99.81898155615777
18/07/2014-01:05:00,98.74702267518911
18/07/2014-01:06:00,97.8937898511331
