Data-Ora,Consumo
19/07/2014-00:00:00,237.2683938368092
19/07/2014-00:01:00,97.33841215824954
19/07/2014-00:02:00,9.09117643504313
19/07/2014-00:03:00,22.838666457364905
19/07/2014-00:04:00,71.66942399247121
19/07/2014-00:05:00,102.4252396379212
19/07/2014-00:06:00,135.23535469151074
19/07/2014-00:07:00,145.87681781015397
19/07/2014-00:08:00,138.19010970965567
19/07/2014-00:09:00,123.09220331740636
19/07/2014-00:10:00,110.81975751420674
19/07/2014-00:11:00,113.39573670763806
19/07/2014-00:12:00,114.1027518732929
19/07/2014-00:13:00,114.14571381535303
19/07/2014-00:14:00,113.43324093074486
19/07/2014-00:15:00,112.1393988975653
19/07/2014-00:16:00,110.57911325398707
19/07/2014-00:17:00,109.4516131377476
19/07/2014-00:18:00,111.41250690223173
19/07/2014-00:19:00,112.51840405292646
19/07/2014-00:20:00,112.8820268353284
19/07/2014-00:21:00,112.83191328592213
19/07/2014-00:22:00,112.66457892155412
19/07/2014-00:23:00,112.37074084444012
19/07/2014-00:24:00,111.77534372564824
19/07/2014-00:25:00,111.4825119061179
19/07/2014-00:26:00,111.15179903925706
19/07/2014-00:27:00,110.92357741337452
19/07/2014-00:28:00,110.48726099933548
19/07/2014-00:29:00,110.2448792724628
19/07/2014-00:30:00,109.8194052620067
19/07/2014-00:31:00,109.63345187561342
19/07/2014-00:32:00,106.2208913995076
19/07/2014-00:33:00,102.83952904562028
19/07/2014-00:34:00,100.95967146704685
19/07/2014-00:35:00,99.6444096787124
19/07/2014-00:36:00,98.5610788015383
19/07/2014-00:37:00,97.80469371809298
19/07/2014-00:38:00,96.89529359281208
19/07/2014-00:39:00,96.10500380015564
19/07/2014-00:40:00,95.52838548920175
19/07/2014-00:41:00,94.78564180993143
19/07/2014-00:42:00,94.34484374818892
19/07/2014-00:43:00,93.75507506208277
19/07/2014-00:44:00,93.428974574087
19/07/2014-00:45:00,90.95432431793218
19/07/2014-00:46:00,89.80505753261806
19/07/2014-00:47:00,89.19209357409994
19/07/2014-00:48:00,80.26731035714876
19/07/2014-00:49:00,9.017000127697392
19/07/2014-00:50:00,9.091034156408735
19/07/2014-00:51:00,9.104012085422758
19/07/2014-00:52:00,9.090561726324404
19/07/2014-00:53:00,9.209872216411286
19/07/2014-00:54:00,9.059821809994387
19/07/2014-00:55:00,11.420343484433571
19/07/2014-00:56:00,11.865407907537971
19/07/2014-00:57:00,11.876902700849463
19/07/2014-00:58:00,11.90272152975798
19/07/2014-00:59:00,11.861546968525335
19/07/2014-01:00:00,11.76609678785675
19/07/2014-01:01:00,11.941520165760725
19/07/2014-01:02:00,11.841575802779062
19/07/2014-01:03:00,13.37995034536014
19/07/2014-01:04:00,13.926329285796385
19/07/2014-01:05:00,13.86861463422097
19/07/2014-01:06:00,13.930114172939044
19/07/2014-01:07:00,14.12506449116434
19/07/2014-01:08:00,25.71591240468377
19/07/2014-01:09:00,58.155382685879104
19/07/2014-01:10:00,78.46758415618513
19/07/2014-01:11:00,97.0468292666704
19/07/2014-01:12:00,103.85788394917728
19/07/2014-01:13:00,104.43594902880145
19/07/2014-01:14:00,104.4908975711039
19/07/2014-01:15:00,104.54072997610744
19/07/2014-01:16:00,102.08955363171476
19/07/2014-01:17:00,98.96737631905806
19/07/2014-01:18:00,97.11863670343531
19/07/2014-01:19:00,95.93854684809324
19/07/2014-01:20:00,94.9482297252709
19/07/2014-01:21:00,94.23562233514916
19/07/2014-01:22:00,93.80227843821528
19/07/2014-01:23:00,93.0256899010542
19/07/2014-01:24:00,92.46476907549255
19/07/2014-01:25:00,92.02067624320452
19/07/2014-01:26:00,91.42869192228969
19/07/2014-01:27:00,91.02812044163991
19/07/2014-01:28:00,90.58302283905984
19/07/2014-01:29:00,90.291554147319
19/07/2014-01:30:00,89.85002290225054
19/07/2014-01:31:00,89.52005524680715
19/07/2014-01:32:00,14.787997866388162
19/07/2014-01:33:00,11.993817998091505
19/07/2014-01:34:00,11.38340288315129
19/07/2014-01:35:00,9.216295598542018
19/07/2014-01:36:00,9.208309597893743
19/07/2014-01:37:00,9.248968340518026
19/07/2014-01:38:00,9.242100053983137
19/07/2014-01:39:00,9.13529945606549
19/07/2014-01:40:00,9.173009531285553
19/07/2014-01:41:00,9.209872216411286
19/07/2014-01:42:00,9.173229414654749
19/07/2014-01:43:00,9.214560790913737
19/07/2014-01:44:00,10.020477561035896
19/07/2014-01:45:00,12.076640270723738
19/07/2014-01:46:00,12.073304654019983
19/07/2014-01:47:00,12.054265193019951
19/07/2014-01:48:00,14.196788302373957
19/07/2014-01:49:00,14.196788302373957
19/07/2014-01:50:00,14.197085790477953
19/07/2014-01:51:00,14.198944448041912
19/07/2014-01:52:00,14.059050080899588
19/07/2014-01:53:00,38.694134435363736
19/07/2014-01:54:00,65.40653745155575
19/07/2014-01:55:00,84.37359647503038
19/07/2014-01:56:00,100.43578486472148
19/07/2014-01:57:00,102.76990100734734
19/07/2014-01:58:00,103.25206778304316
19/07/2014-01:59:00,103.40375638310093
19/07/2014-02:00:00,102.17498301254048
19/07/2014-02:01:00,98.71298738877248
19/07/2014-02:02:00,96.47254159535568
19/07/2014-02:03:00,94.92419661478814
19/07/2014-02:04:00,94.09382505035656
19/07/2014-02:05:00,93.33195155099862
19/07/2014-02:06:00,92.76241878543652
19/07/2014-02:07:00,92.09433366777336
19/07/2014-02:08:00,91.50650678966092
19/07/2014-02:09:00,91.06505668301772
19/07/2014-02:10:00,90.47570999006416
19/07/2014-02:11:00,90.14570483595185
19/07/2014-02:12:00,89.72259086481127
19/07/2014-02:13:00,89.47168395679543
19/07/2014-02:14:00,88.88186878636148
19/07/2014-02:15:00,76.51152421733971
19/07/2014-02:16:00,11.994199671506422
19/07/2014-02:17:00,12.09328371239189
19/07/2014-02:18:00,11.941740049129915
19/07/2014-02:19:00,12.132303784628656
19/07/2014-02:20:00,12.031406151955888
19/07/2014-02:21:00,12.019624984133843
19/07/2014-02:22:00,12.208338438116602
19/07/2014-02:23:00,12.052109151159248
19/07/2014-02:24:00,10.092872919359726
19/07/2014-02:25:00,9.333369039483673
19/07/2014-02:26:00,9.209872216411286
19/07/2014-02:27:00,9.256301360535074
19/07/2014-02:28:00,9.216675480592006
19/07/2014-02:29:00,9.169368683256607
19/07/2014-02:30:00,9.209872216411286
19/07/2014-02:31:00,9.17293192655075
19/07/2014-02:32:00,9.361131825844357
19/07/2014-02:33:00,11.389267556914106
19/07/2014-02:34:00,13.534243058596983
19/07/2014-02:35:00,14.235884426480697
19/07/2014-02:36:00,14.15984832393517
19/07/2014-02:37:00,21.84578305018149
19/07/2014-02:38:00,53.90191351454362
19/07/2014-02:39:00,74.7003871648633
19/07/2014-02:40:00,93.20547646111932
19/07/2014-02:41:00,101.48339610183078
19/07/2014-02:42:00,102.25696368158704
19/07/2014-02:43:00,102.39014525028344
19/07/2014-02:44:00,102.4413448051907
19/07/2014-02:45:00,100.8116263701904
19/07/2014-02:46:00,97.53103763017948
19/07/2014-02:47:00,95.44698779549256
19/07/2014-02:48:00,94.20887583140578
19/07/2014-02:49:00,93.29702836546
19/07/2014-02:50:00,92.50572285468884
19/07/2014-02:51:00,91.87557171533476
19/07/2014-02:52:00,91.35876411215322
19/07/2014-02:53:00,90.84559901367273
19/07/2014-02:54:00,90.32633071358232
19/07/2014-02:55:00,89.77266281284182
19/07/2014-02:56:00,89.64032137224146
19/07/2014-02:57:00,89.06647290755183
19/07/2014-02:58:00,88.87002940723193
19/07/2014-02:59:00,88.2908887209464
19/07/2014-03:00:00,32.44329240772535
19/07/2014-03:01:00,32.50436370276195
19/07/2014-03:02:00,32.43398069127114
19/07/2014-03:03:00,32.39966719511894
19/07/2014-03:04:00,32.060457685959705
19/07/2014-03:05:00,32.429806568526175
19/07/2014-03:06:00,20.81125958526078
19/07/2014-03:07:00,11.95403755717868
19/07/2014-03:08:00,11.999849604253171
19/07/2014-03:09:00,11.996237186328242
