Data-Ora,Consumo
20/07/2014-00:00:00,90.1806675070291
20/07/2014-00:01:00,89.10564663639337
20/07/2014-00:02:00,90.03465023690512
20/07/2014-00:03:00,90.5394881940456
20/07/2014-00:04:00,89.98795675665649
20/07/2014-00:05:00,89.66147650025175
20/07/2014-00:06:00,88.98681076058699
20/07/2014-00:07:00,88.88967792743973
20/07/2014-00:08:00,88.47780824575706
20/07/2014-00:09:00,88.10442189370933
20/07/2014-00:10:00,12.263359267992742
20/07/2014-00:11:00,12.051889267790052
20/07/2014-00:12:00,12.01546655701721
20/07/2014-00:13:00,12.05664111824985
20/07/2014-00:14:00,12.054265193019951
20/07/2014-00:15:00,12.01546655701721
20/07/2014-00:16:00,12.095439754252595
20/07/2014-00:17:00,12.033678985333774
20/07/2014-00:18:00,12.091502763369984
20/07/2014-00:19:00,11.99782563909767
20/07/2014-00:20:00,12.036456029343034
20/07/2014-00:21:00,12.152487022646852
20/07/2014-00:22:00,12.017247506039116
20/07/2014-00:23:00,11.914635629464634
20/07/2014-00:24:00,12.151020519028323
20/07/2014-00:25:00,11.972960638606605
20/07/2014-00:26:00,12.149484385570403
20/07/2014-00:27:00,12.055970090171884
20/07/2014-00:28:00,12.073001946826444
20/07/2014-00:29:00,12.01546655701721
20/07/2014-00:30:00,24.13071925581614
20/07/2014-00:31:00,53.61307557560083
20/07/2014-00:32:00,78.24425340237924
20/07/2014-00:33:00,94.43219163696766
20/07/2014-00:34:00,97.37163330225222
20/07/2014-00:35:00,98.60217991032614
20/07/2014-00:36:00,99.44984317803916
20/07/2014-00:37:00,100.07745473446444
20/07/2014-00:38:00,100.22133284394968
20/07/2014-00:39:00,100.51882183839584
20/07/2014-00:40:00,99.4047699627656
20/07/2014-00:41:00,95.64766779907818
20/07/2014-00:42:00,91.03027980533264
20/07/2014-00:43:00,89.63552983327942
20/07/2014-00:44:00,88.85103668510277
20/07/2014-00:45:00,88.22118123591063
20/07/2014-00:46:00,87.71115953054546
20/07/2014-00:47:00,87.22999769304518
20/07/2014-00:48:00,86.48710426101847
20/07/2014-00:49:00,85.96605734176286
20/07/2014-00:50:00,85.51448556905761
20/07/2014-00:51:00,77.36272099457253
20/07/2014-00:52:00,12.07247756256741
20/07/2014-00:53:00,12.192413818418528
20/07/2014-00:54:00,12.09142515863518
20/07/2014-00:55:00,11.917803594356648
20/07/2014-00:56:00,12.036456029343034
20/07/2014-00:57:00,12.132819908332667
20/07/2014-00:58:00,12.132226179893852
20/07/2014-00:59:00,12.13237983649863
20/07/2014-01:00:00,12.130301399372726
20/07/2014-01:01:00,12.087937759596514
20/07/2014-01:02:00,12.11081384166299
20/07/2014-01:03:00,12.171322304000592
20/07/2014-01:04:00,12.01346417176128
20/07/2014-01:05:00,12.054562681123947
20/07/2014-01:06:00,12.037449727675806
20/07/2014-01:07:00,11.95607349189243
20/07/2014-01:08:00,12.013761659865278
20/07/2014-01:09:00,12.112587041092883
20/07/2014-01:10:00,11.952682842857245
20/07/2014-01:11:00,13.559665012877756
20/07/2014-01:12:00,31.46181257080612
20/07/2014-01:13:00,63.078643209458
20/07/2014-01:14:00,84.34290540247514
20/07/2014-01:15:00,96.2752135203004
20/07/2014-01:16:00,97.728514315526
20/07/2014-01:17:00,98.8601232389046
20/07/2014-01:18:00,99.67145813493184
20/07/2014-01:19:00,100.20358698781904
20/07/2014-01:20:00,100.5576204743986
20/07/2014-01:21:00,100.44070719491718
20/07/2014-01:22:00,97.26219419166986
20/07/2014-01:23:00,94.49617737197704
20/07/2014-01:24:00,92.97941606929436
20/07/2014-01:25:00,91.87820882886967
20/07/2014-01:26:00,91.26528248889038
20/07/2014-01:27:00,90.53707042843764
20/07/2014-01:28:00,89.98795675665649
20/07/2014-01:29:00,89.62245798087982
20/07/2014-01:30:00,89.29003087421452
20/07/2014-01:31:00,87.96842606632539
20/07/2014-01:32:00,85.81800508416903
20/07/2014-01:33:00,41.51813140214127
20/07/2014-01:34:00,9.3249271497505
20/07/2014-01:35:00,9.287986859889962
20/07/2014-01:36:00,9.209872216411286
20/07/2014-01:37:00,9.169148799887417
20/07/2014-01:38:00,9.242100053983137
20/07/2014-01:39:00,9.12899520425984
20/07/2014-01:40:00,9.287986859889962
20/07/2014-01:41:00,10.545610967753014
20/07/2014-01:42:00,11.996054104884818
20/07/2014-01:43:00,12.019481152634624
20/07/2014-01:44:00,12.01546655701721
20/07/2014-01:45:00,12.017325110773918
20/07/2014-01:46:00,11.92335138371535
20/07/2014-01:47:00,11.9024902684184
20/07/2014-01:48:00,12.038575528121354
20/07/2014-01:49:00,12.01346417176128
20/07/2014-01:50:00,11.978604079505976
20/07/2014-01:51:00,12.056421234880656
20/07/2014-01:52:00,11.999849604253171
20/07/2014-01:53:00,18.814248651840987
20/07/2014-01:54:00,45.37374464491382
20/07/2014-01:55:00,72.93433273496342
20/07/2014-01:56:00,91.2308287383146
20/07/2014-01:57:00,96.90510031125042
20/07/2014-01:58:00,98.0228720215811
20/07/2014-01:59:00,98.96937901573574
20/07/2014-02:00:00,99.5193942344208
20/07/2014-02:01:00,100.1146104439824
20/07/2014-02:02:00,100.40995477453828
20/07/2014-02:03:00,99.59944815060848
20/07/2014-02:04:00,95.9610246184364
20/07/2014-02:05:00,93.79625356799092
20/07/2014-02:06:00,92.54504180230116
20/07/2014-02:07:00,91.4306943075456
20/07/2014-02:08:00,90.72668324512811
20/07/2014-02:09:00,90.28998590363962
20/07/2014-02:10:00,89.73156211928298
20/07/2014-02:11:00,89.23361040274912
20/07/2014-02:12:00,88.92282720128593
20/07/2014-02:13:00,88.51436741771437
20/07/2014-02:14:00,88.0666804728901
20/07/2014-02:15:00,35.82513239377952
20/07/2014-02:16:00,11.956231424335186
20/07/2014-02:17:00,11.85990829813782
20/07/2014-02:18:00,11.863625405651238
20/07/2014-02:19:00,11.920534430433769
20/07/2014-02:20:00,11.839460901843932
20/07/2014-02:21:00,9.655310283296906
20/07/2014-02:22:00,9.011137011043326
20/07/2014-02:23:00,9.176895250936044
20/07/2014-02:24:00,9.241807608050392
20/07/2014-02:25:00,9.171151185143344
20/07/2014-02:26:00,8.973954027261106
20/07/2014-02:27:00,9.324190625709893
20/07/2014-02:28:00,9.093112385920142
20/07/2014-02:29:00,9.171151185143344
20/07/2014-02:30:00,9.12899520425984
20/07/2014-02:31:00,11.828765105781434
20/07/2014-02:32:00,11.941366509155944
20/07/2014-02:33:00,11.898409446036569
20/07/2014-02:34:00,11.963611914496369
20/07/2014-02:35:00,13.67753854069306
20/07/2014-02:36:00,32.87992966945565
20/07/2014-02:37:00,62.61709494065749
20/07/2014-02:38:00,84.00505601624599
20/07/2014-02:39:00,95.81054349500629
20/07/2014-02:40:00,97.13958540429827
20/07/2014-02:41:00,98.37065074129453
20/07/2014-02:42:00,98.88955947510512
20/07/2014-02:43:00,99.4456000830508
20/07/2014-02:44:00,99.96062176295024
20/07/2014-02:45:00,100.06009989292536
20/07/2014-02:46:00,96.48996013247768
20/07/2014-02:47:00,94.12651871578224
20/07/2014-02:48:00,92.64694003872184
20/07/2014-02:49:00,91.61277586496716
20/07/2014-02:50:00,91.03028032436887
20/07/2014-02:51:00,90.24851355820763
20/07/2014-02:52:00,89.77843172599222
20/07/2014-02:53:00,89.36003888851096
20/07/2014-02:54:00,88.91888273628132
20/07/2014-02:55:00,88.58578294486597
20/07/2014-02:56:00,88.17769773509696
20/07/2014-02:57:00,48.14125997547527
20/07/2014-02:58:00,11.939507955399236
20/07/2014-02:59:00,11.976601694250048
20/07/2014-03:00:00,23.132285028441185
20/07/2014-03:01:00,33.45829650456464
20/07/2014-03:02:00,32.287221411709545
20/07/2014-03:03:00,32.10282613836294
20/07/2014-03:04:00,31.918575359358588
20/07/2014-03:05:00,32.27904580266376
20/07/2014-03:06:00,19.56572080271299
20/07/2014-03:07:00,11.748570679926528
20/07/2014-03:08:00,11.773647396358813
20/07/2014-03:09:00,11.941444113890748
20/07/2014-03:10:00,11.012373049399988
20/07/2014-03:11:00,9.130052675780677
20/07/2014-03:12:00,9.097331208894255
20/07/2014-03:13:00,9.167070570376014
20/07/2014-03:14:00,9.093036541664668
20/07/2014-03:15:00,9.13711322991515
20/07/2014-03:16:00,9.057784295172564
20/07/2014-03:17:00,9.093112385920142
20/07/2014-03:18:00,19.471382057053223
20/07/2014-03:19:00,48.91189444542005
20/07/2014-03:20:00,75.28882955572213
20/07/2014-03:21:00,93.21753579002105
20/07/2014-03:22:00,96.63573672630832
20/07/2014-03:23:00,97.98246754175575
20/07/2014-03:24:00,98.82157891979944
20/07/2014-03:25:00,99.26070106893768
20/07/2014-03:26:00,99.88853261253942
20/07/2014-03:27:00,100.07328934801812
20/07/2014-03:28:00,99.40882113153154
20/07/2014-03:29:00,95.85686460141594
20/07/2014-03:30:00,93.5703943742301
20/07/2014-03:31:00,92.3928098572648
20/07/2014-03:32:00,91.31126127133506
20/07/2014-03:33:00,90.84135685294962
20/07/2014-03:34:00,90.21135732965342
20/07/2014-03:35:00,89.60967765613037
20/07/2014-03:36:00,89.10148447221573
20/07/2014-03:37:00,88.73814547536077
20/07/2014-03:38:00,88.29377724698364
20/07/2014-03:39:00,87.88072112937597
20/07/2014-03:40:00,22.356102493255616
20/07/2014-03:41:00,11.837423387022111
20/07/2014-03:42:00,11.982321187019394
20/07/2014-03:43:00,11.920534430433769
20/07/2014-03:44:00,11.82660927153523
20/07/2014-03:45:00,11.91660575564898
20/07/2014-03:46:00,11.952470405083718
20/07/2014-03:47:00,11.960160099119976
20/07/2014-03:48:00,11.84671176950033
20/07/2014-03:49:00,11.902347989784008
20/07/2014-03:50:00,11.824453229674525
20/07/2014-03:51:00,11.94158639252514
20/07/2014-03:52:00,11.925254725961244
20/07/2014-03:53:00,11.861546968525335
20/07/2014-03:54:00,11.90086297600127
20/07/2014-03:55:00,11.820745947266664
20/07/2014-03:56:00,11.980385028527884
20/07/2014-03:57:00,11.980462633262686
20/07/2014-03:58:00,11.900565487897271
20/07/2014-03:59:00,12.019481152634624
20/07/2014-04:00:00,10.421097519671427
20/07/2014-04:01:00,27.106368149937328
20/07/2014-04:02:00,57.44424266814276
20/07/2014-04:03:00,79.56750595271379
20/07/2014-04:04:00,92.5016985108339
20/07/2014-04:05:00,94.28097170482812
20/07/2014-04:06:00,95.43296866070708
20/07/2014-04:07:00,96.09435012972956
20/07/2014-04:08:00,96.74533190079788
20/07/2014-04:09:00,97.26229596762384
20/07/2014-04:10:00,100.01804907800728
20/07/2014-04:11:00,97.67059295955262
20/07/2014-04:12:00,94.67278355496494
20/07/2014-04:13:00,92.89906406910212
20/07/2014-04:14:00,91.61129085118444
20/07/2014-04:15:00,90.91314716151828
20/07/2014-04:16:00,90.2857484965224
20/07/2014-04:17:00,89.76849846446802
20/07/2014-04:18:00,89.21243360220905
20/07/2014-04:19:00,88.77646804066994
20/07/2014-04:20:00,88.40259824581182
20/07/2014-04:21:00,88.06926794660377
20/07/2014-04:22:00,87.69234697085282
20/07/2014-04:23:00,87.40240947948676
20/07/2014-04:24:00,87.06789936817658
20/07/2014-04:25:00,86.86556788594874
20/07/2014-04:26:00,86.63090611101924
20/07/2014-04:27:00,86.2572996679878
20/07/2014-04:28:00,86.07841193896691
20/07/2014-04:29:00,85.66460992604335
20/07/2014-04:30:00,85.38733313221579
20/07/2014-04:31:00,85.0344513524093
20/07/2014-04:32:00,84.70180249384431
20/07/2014-04:33:00,84.5252257361854
20/07/2014-04:34:00,84.38135857530767
20/07/2014-04:35:00,84.15373461364942
20/07/2014-04:36:00,84.00119595880292
20/07/2014-04:37:00,84.01345761508527
20/07/2014-04:38:00,83.67144203061507
20/07/2014-04:39:00,83.59593426710124
20/07/2014-04:40:00,83.37416627587407
20/07/2014-04:41:00,83.40990557217138
20/07/2014-04:42:00,83.11739218151332
20/07/2014-04:43:00,83.1237929792784
20/07/2014-04:44:00,109.93484476204443
20/07/2014-04:45:00,243.4371642018239
20/07/2014-04:46:00,242.24351610604003
20/07/2014-04:47:00,241.38088074542884
20/07/2014-04:48:00,240.6032824172296
20/07/2014-04:49:00,239.83808718371608
20/07/2014-04:50:00,237.2462671425252
20/07/2014-04:51:00,236.8534494102961
20/07/2014-04:52:00,236.83867887003217
20/07/2014-04:53:00,236.4693094404496
20/07/2014-04:54:00,236.3243335019441
20/07/2014-04:55:00,242.1252174054938
20/07/2014-04:56:00,245.4611930406821
20/07/2014-04:57:00,247.8464962592528
20/07/2014-04:58:00,247.9203658354053
20/07/2014-04:59:00,246.103146818717
20/07/2014-05:00:00,248.21598322124063
20/07/2014-05:01:00,248.28949393660616
20/07/2014-05:02:00,248.2938319730621
20/07/2014-05:03:00,247.9001445896517
20/07/2014-05:04:00,247.65995625088908
20/07/2014-05:05:00,247.70093634091336
20/07/2014-05:06:00,229.52694987248384
20/07/2014-05:07:00,21.80858612809655
20/07/2014-05:08:00,21.69344657876488
20/07/2014-05:09:00,21.76917718338939
20/07/2014-05:10:00,38.98304034436979
20/07/2014-05:11:00,85.36188622201375
20/07/2014-05:12:00,114.51462131221788
20/07/2014-05:13:00,143.07355078415202
20/07/2014-05:14:00,149.4200723835349
20/07/2014-05:15:00,140.63355547314342
20/07/2014-05:16:00,127.3597875268398
20/07/2014-05:17:00,126.09307223896252
20/07/2014-05:18:00,124.56386353458495
20/07/2014-05:19:00,122.6437058833068
20/07/2014-05:20:00,120.69710113220508
20/07/2014-05:21:00,118.8614287033744
20/07/2014-05:22:00,117.10215750456042
20/07/2014-05:23:00,115.8426843635715
20/07/2014-05:24:00,117.9890664608402
20/07/2014-05:25:00,119.01224296167103
20/07/2014-05:26:00,119.4383977002404
20/07/2014-05:27:00,12.37899740330383
20/07/2014-05:28:00,12.379868804053825
20/07/2014-05:29:00,12.414667835047831
20/07/2014-05:30:00,111.3003803198421
20/07/2014-05:31:00,118.13648456209287
20/07/2014-05:32:00,117.95563518442236
20/07/2014-05:33:00,117.6308412582198
20/07/2014-05:34:00,117.34387151075848
20/07/2014-05:35:00,116.91761423701683
20/07/2014-05:36:00,113.23751766295044
20/07/2014-05:37:00,110.43453473270591
20/07/2014-05:38:00,108.7334892272477
20/07/2014-05:39:00,739.689195249161
20/07/2014-05:40:00,441.0927109483538
20/07/2014-05:41:00,113.94717242612818
20/07/2014-05:42:00,129.49179711532733
20/07/2014-05:43:00,125.1356071013424
20/07/2014-05:44:00,97.38952586383358
20/07/2014-05:45:00,125.8927089180111
20/07/2014-05:46:00,120.0160156159304
20/07/2014-05:47:00,654.4101446152357
20/07/2014-05:48:00,521.3069715448136
20/07/2014-05:49:00,101.81357029221574
20/07/2014-05:50:00,920.0120356993872
20/07/2014-05:51:00,235.0878070681136
20/07/2014-05:52:00,119.10162831674069
20/07/2014-05:53:00,41.87219864742443
20/07/2014-05:54:00,35.81808508417422
20/07/2014-05:55:00,45.68581909552607
20/07/2014-05:56:00,32.63406637978153
20/07/2014-05:57:00,34.46536822026338
20/07/2014-05:58:00,43.11618430538037
20/07/2014-05:59:00,32.287216707548204
20/07/2014-06:00:00,32.2100371352803
20/07/2014-06:01:00,42.96062604650098
20/07/2014-06:02:00,32.245422359438706
20/07/2014-06:03:00,32.46502333420096
20/07/2014-06:04:00,43.081710918998176
20/07/2014-06:05:00,32.31377734666344
20/07/2014-06:06:00,32.5449594092542
20/07/2014-06:07:00,43.22045876594666
20/07/2014-06:08:00,46.936688806335525
20/07/2014-06:09:00,79.4259587385078
20/07/2014-06:10:00,108.29553915006204
20/07/2014-06:11:00,113.57636108229624
20/07/2014-06:12:00,117.83491851764818
20/07/2014-06:13:00,117.1091337229393
20/07/2014-06:14:00,115.8365824132382
20/07/2014-06:15:00,114.63613133246989
20/07/2014-06:16:00,114.36918391016262
20/07/2014-06:17:00,124.12031484726668
20/07/2014-06:18:00,113.55909118049848
20/07/2014-06:19:00,268.8722564528736
20/07/2014-06:20:00,906.3292516128084
20/07/2014-06:21:00,564.8943139951509
20/07/2014-06:22:00,754.6117650294593
20/07/2014-06:23:00,126.66399372705226
20/07/2014-06:24:00,151.74415351563152
20/07/2014-06:25:00,163.2102641516819
20/07/2014-06:26:00,174.80771656818712
20/07/2014-06:27:00,165.45887077379152
20/07/2014-06:28:00,164.56639884725865
