Data-Ora,Consumo
11/08/2014-00:00:00,100.68444514995602
11/08/2014-00:01:00,100.58287866595536
11/08/2014-00:02:00,101.68367925896722
11/08/2014-00:03:00,100.54602425846744
11/08/2014-00:04:00,100.28332720066042
11/08/2014-00:05:00,99.98662893503632
11/08/2014-00:06:00,99.74400832720109
11/08/2014-00:07:00,101.08148284407102
11/08/2014-00:08:00,100.22896592654614
11/08/2014-00:09:00,99.98791172470123
11/08/2014-00:10:00,100.35435327681157
11/08/2014-00:11:00,102.0042188388404
11/08/2014-00:12:00,102.64654765223062
11/08/2014-00:13:00,102.93079185100264
11/08/2014-00:14:00,103.08578656258544
11/08/2014-00:15:00,102.64864073319828
11/08/2014-00:16:00,129.46450522879698
11/08/2014-00:17:00,149.92916443465393
11/08/2014-00:18:00,168.26036930324895
11/08/2014-00:19:00,180.435236708357
11/08/2014-00:20:00,180.06057012471527
11/08/2014-00:21:00,179.3022847600202
11/08/2014-00:22:00,175.61729365012795
11/08/2014-00:23:00,172.4130869692017
11/08/2014-00:24:00,171.92758602385473
11/08/2014-00:25:00,167.09353287121004
11/08/2014-00:26:00,106.80894617731988
11/08/2014-00:27:00,100.620427502789
11/08/2014-00:28:00,100.0714225242458
11/08/2014-00:29:00,100.91855749270243
11/08/2014-00:30:00,99.74334372994386
11/08/2014-00:31:00,81.37208379758233
11/08/2014-00:32:00,81.03995013595149
11/08/2014-00:33:00,80.81178193836817
11/08/2014-00:34:00,80.40100898212278
11/08/2014-00:35:00,80.0870958241902
11/08/2014-00:36:00,79.87888194332166
11/08/2014-00:37:00,79.61195152359186
11/08/2014-00:38:00,79.16359546779967
11/08/2014-00:39:00,78.95402790374854
11/08/2014-00:40:00,52.90616265083126
11/08/2014-00:41:00,11.828687708661132
11/08/2014-00:42:00,11.783805865020629
11/08/2014-00:43:00,11.943368894411874
11/08/2014-00:44:00,11.863625405651238
11/08/2014-00:45:00,11.918340563277262
11/08/2014-00:46:00,11.902567873153204
11/08/2014-00:47:00,11.78751314742849
11/08/2014-00:48:00,11.850468275263356
11/08/2014-00:49:00,11.945227448168582
11/08/2014-00:50:00,11.898860590745342
11/08/2014-00:51:00,11.78988907265839
11/08/2014-00:52:00,11.902347989784008
11/08/2014-00:53:00,11.920534430433769
11/08/2014-00:54:00,11.954193909513364
11/08/2014-00:55:00,14.74880933421532
11/08/2014-00:56:00,14.746653292354614
11/08/2014-00:57:00,14.814818792253307
11/08/2014-00:58:00,14.786123060242575
11/08/2014-00:59:00,14.830293197457246
11/08/2014-01:00:00,18.16520241098792
11/08/2014-01:01:00,47.03364096715871
11/08/2014-01:02:00,66.67235331094557
11/08/2014-01:03:00,83.7163221890263
11/08/2014-01:04:00,93.53197291145509
11/08/2014-01:05:00,90.7327483171278
11/08/2014-01:06:00,88.44049400069356
11/08/2014-01:07:00,86.5447618423525
11/08/2014-01:08:00,85.36882001554311
11/08/2014-01:09:00,82.54757564128626
11/08/2014-01:10:00,81.19668365039391
11/08/2014-01:11:00,80.62674136562272
11/08/2014-01:12:00,80.09460612767022
11/08/2014-01:13:00,79.5713714147542
11/08/2014-01:14:00,79.0059754292151
11/08/2014-01:15:00,78.72399903597241
11/08/2014-01:16:00,78.48629957654438
11/08/2014-01:17:00,77.90744449236482
11/08/2014-01:18:00,77.7249984934241
11/08/2014-01:19:00,79.91051657515729
11/08/2014-01:20:00,79.83496095105885
11/08/2014-01:21:00,79.64991437121512
11/08/2014-01:22:00,79.34893802850509
11/08/2014-01:23:00,79.13129265073896
11/08/2014-01:24:00,63.96124017527633
11/08/2014-01:25:00,12.035413792962055
11/08/2014-01:26:00,11.937803058247304
11/08/2014-01:27:00,11.82267072778779
11/08/2014-01:28:00,11.902270385049205
11/08/2014-01:29:00,11.99782563909767
11/08/2014-01:30:00,11.937505570143308
11/08/2014-01:31:00,12.019623431269014
11/08/2014-01:32:00,11.97830659140198
11/08/2014-01:33:00,12.050377406169062
11/08/2014-01:34:00,11.996011865248011
11/08/2014-01:35:00,11.980385028527884
11/08/2014-01:36:00,11.898409446036569
11/08/2014-01:37:00,13.91114359619783
11/08/2014-01:38:00,14.898725497445662
11/08/2014-01:39:00,14.974683995256385
11/08/2014-01:40:00,14.81504253322547
11/08/2014-01:41:00,14.905040552502
11/08/2014-01:42:00,14.857846871452187
11/08/2014-01:43:00,15.750415860734352
11/08/2014-01:44:00,43.926946823217264
11/08/2014-01:45:00,64.01807208530698
11/08/2014-01:46:00,81.09225683110613
11/08/2014-01:47:00,91.53950043880852
11/08/2014-01:48:00,89.54642551158804
11/08/2014-01:49:00,87.68922185209995
11/08/2014-01:50:00,86.14827428044312
11/08/2014-01:51:00,85.23334374382854
11/08/2014-01:52:00,84.2218469832051
11/08/2014-01:53:00,83.86735571592712
11/08/2014-01:54:00,83.11598664523981
11/08/2014-01:55:00,82.63759261123839
11/08/2014-01:56:00,82.20029885556681
11/08/2014-01:57:00,81.83346694688848
11/08/2014-01:58:00,80.70109485008084
11/08/2014-01:59:00,78.18191233318596
11/08/2014-02:00:00,77.92252638579849
11/08/2014-02:01:00,77.58133466171657
11/08/2014-02:02:00,77.32255600214765
11/08/2014-02:03:00,76.9514814247104
11/08/2014-02:04:00,76.71783378165047
11/08/2014-02:05:00,76.50994270551992
11/08/2014-02:06:00,76.13670897200446
11/08/2014-02:07:00,19.84828367698075
11/08/2014-02:08:00,10.120752045763174
11/08/2014-02:09:00,11.941366509155944
11/08/2014-02:10:00,12.035413792962055
11/08/2014-02:11:00,11.900411831292496
11/08/2014-02:12:00,12.017325110773918
11/08/2014-02:13:00,11.978604079505976
11/08/2014-02:14:00,11.958122584298154
11/08/2014-02:15:00,11.941366509155944
11/08/2014-02:16:00,11.683542979480205
11/08/2014-02:17:00,11.776457526969326
11/08/2014-02:18:00,11.713174028160054
11/08/2014-02:19:00,11.954796344462997
11/08/2014-02:20:00,14.78210825701066
11/08/2014-02:21:00,14.744948395202682
11/08/2014-02:22:00,14.870477540885757
11/08/2014-02:23:00,14.782185861745464
11/08/2014-02:24:00,14.935587871149645
11/08/2014-02:25:00,15.009183019345144
11/08/2014-02:26:00,21.43269409471904
