Data-Ora,Consumo
15/08/2014-00:00:00,11.984323572275324
15/08/2014-00:01:00,11.801726393120692
15/08/2014-00:02:00,11.722465058272444
15/08/2014-00:03:00,11.9186432704708
15/08/2014-00:04:00,11.935292789121172
15/08/2014-00:05:00,11.78751159456366
15/08/2014-00:06:00,10.381531431562454
15/08/2014-00:07:00,11.311266513405585
15/08/2014-00:08:00,11.266644609768894
15/08/2014-00:09:00,11.282422489128937
15/08/2014-00:10:00,18.189738053590546
15/08/2014-00:11:00,44.88070370281372
15/08/2014-00:12:00,65.02645420820399
15/08/2014-00:13:00,82.17221192674323
15/08/2014-00:14:00,89.71797178427913
15/08/2014-00:15:00,90.35910271039351
15/08/2014-00:16:00,93.13813855752852
15/08/2014-00:17:00,94.00658648833245
15/08/2014-00:18:00,91.33651776330808
15/08/2014-00:19:00,88.44554689190007
15/08/2014-00:20:00,86.79039886658163
15/08/2014-00:21:00,85.6671002437932
15/08/2014-00:22:00,84.82071815858167
15/08/2014-00:23:00,83.96314852355223
15/08/2014-00:24:00,83.29850858799935
15/08/2014-00:25:00,82.95911329562917
15/08/2014-00:26:00,82.31170229642063
15/08/2014-00:27:00,81.9765967417392
15/08/2014-00:28:00,81.56825524956118
15/08/2014-00:29:00,81.15262549099398
15/08/2014-00:30:00,80.77534565301295
15/08/2014-00:31:00,80.32402566076387
15/08/2014-00:32:00,80.17935342826817
15/08/2014-00:33:00,79.80917771588123
15/08/2014-00:34:00,79.5388999402422
15/08/2014-00:35:00,79.12131057679028
15/08/2014-00:36:00,25.63372051851054
15/08/2014-00:37:00,12.048325816881412
15/08/2014-00:38:00,11.997904605319048
15/08/2014-00:39:00,11.99095386289823
15/08/2014-00:40:00,11.99782563909767
15/08/2014-00:41:00,11.879017601784591
15/08/2014-00:42:00,12.002057021075998
15/08/2014-00:43:00,11.92075817140593
15/08/2014-00:44:00,11.978228986667178
15/08/2014-00:45:00,11.878637508477745
15/08/2014-00:46:00,11.91660575564898
15/08/2014-00:47:00,11.8413520618069
15/08/2014-00:48:00,11.91267708086419
15/08/2014-00:49:00,11.918340563277262
15/08/2014-00:50:00,11.9186432704708
15/08/2014-00:51:00,11.84127309558552
15/08/2014-00:52:00,11.920534430433769
15/08/2014-00:53:00,11.9776297577187
15/08/2014-00:54:00,11.955928717141646
15/08/2014-00:55:00,11.316928833905925
15/08/2014-00:56:00,9.170773025880036
15/08/2014-00:57:00,11.35278334205476
15/08/2014-00:58:00,11.312922354812487
15/08/2014-00:59:00,34.01771610280495
15/08/2014-01:00:00,55.711606709928304
15/08/2014-01:01:00,73.62311313186905
15/08/2014-01:02:00,86.94293489629949
15/08/2014-01:03:00,88.0662966825882
15/08/2014-01:04:00,88.78449304481622
15/08/2014-01:05:00,90.06054615687317
15/08/2014-01:06:00,92.32305386586202
15/08/2014-01:07:00,92.38456058400422
15/08/2014-01:08:00,89.3481790303232
15/08/2014-01:09:00,86.64195557917698
15/08/2014-01:10:00,84.9031475332302
15/08/2014-01:11:00,84.014519646606
15/08/2014-01:12:00,83.2197848786457
15/08/2014-01:13:00,82.60846416144462
15/08/2014-01:14:00,81.94431208035101
15/08/2014-01:15:00,81.42254533552872
15/08/2014-01:16:00,80.92280132015507
15/08/2014-01:17:00,80.54552148217404
15/08/2014-01:18:00,80.24049139754487
15/08/2014-01:19:00,79.88064762214294
15/08/2014-01:20:00,79.49314676076011
15/08/2014-01:21:00,79.27834948739563
15/08/2014-01:22:00,78.93149174543069
15/08/2014-01:23:00,78.67422397345968
15/08/2014-01:24:00,47.4774153870268
15/08/2014-01:25:00,11.993819578199574
15/08/2014-01:26:00,11.954114943291987
15/08/2014-01:27:00,11.900565487897271
15/08/2014-01:28:00,11.937217719797763
15/08/2014-01:29:00,11.9186432704708
15/08/2014-01:30:00,11.84127309558552
15/08/2014-01:31:00,11.900487883162471
15/08/2014-01:32:00,12.033298892026924
15/08/2014-01:33:00,11.956152458113808
15/08/2014-01:34:00,11.99782563909767
15/08/2014-01:35:00,11.954193909513364
15/08/2014-01:36:00,11.883170017541543
15/08/2014-01:37:00,11.991703097156371
15/08/2014-01:38:00,12.054148499514056
15/08/2014-01:39:00,11.99397593053426
15/08/2014-01:40:00,11.9186432704708
15/08/2014-01:41:00,11.997748252984362
15/08/2014-01:42:00,11.978602526641149
15/08/2014-01:43:00,12.01812217197211
15/08/2014-01:44:00,12.015246673648017
15/08/2014-01:45:00,10.054506693356766
