Data-Ora,Consumo
17/08/2014-00:00:00,9.252372897007143
17/08/2014-00:01:00,9.170853697039346
17/08/2014-00:02:00,9.209949821146086
17/08/2014-00:03:00,9.176592543742505
17/08/2014-00:04:00,9.209872216411286
17/08/2014-00:05:00,9.059821809994387
17/08/2014-00:06:00,9.170853697039346
17/08/2014-00:07:00,9.095372660293812
17/08/2014-00:08:00,9.099524864793905
17/08/2014-00:09:00,10.648538328676535
17/08/2014-00:10:00,11.918340563277262
17/08/2014-00:11:00,11.943444946281849
17/08/2014-00:12:00,11.7603543392223
17/08/2014-00:13:00,11.82846782529194
17/08/2014-00:14:00,11.9186432704708
17/08/2014-00:15:00,18.646651327173423
17/08/2014-00:16:00,43.08356065392125
17/08/2014-00:17:00,68.78573236541096
17/08/2014-00:18:00,86.55285973386677
17/08/2014-00:19:00,91.24451981144628
17/08/2014-00:20:00,92.16131219449726
17/08/2014-00:21:00,93.09298194036808
17/08/2014-00:22:00,93.85836884321174
17/08/2014-00:23:00,94.45971508295652
17/08/2014-00:24:00,94.9021776047634
17/08/2014-00:25:00,95.17161522784605
17/08/2014-00:26:00,94.24372886052416
17/08/2014-00:27:00,90.58064234631094
17/08/2014-00:28:00,88.3689457382086
17/08/2014-00:29:00,87.05772736615577
17/08/2014-00:30:00,86.00306491758717
17/08/2014-00:31:00,85.17245017286903
17/08/2014-00:32:00,84.63433049743207
17/08/2014-00:33:00,84.16371732136868
17/08/2014-00:34:00,83.71270130385432
17/08/2014-00:35:00,83.34683434572362
17/08/2014-00:36:00,82.91407860820516
17/08/2014-00:37:00,82.58524022628971
17/08/2014-00:38:00,82.32206858318493
17/08/2014-00:39:00,82.05471138521789
17/08/2014-00:40:00,81.64584578530888
17/08/2014-00:41:00,70.67146867547534
17/08/2014-00:42:00,11.94158639252514
17/08/2014-00:43:00,12.017325110773918
17/08/2014-00:44:00,11.952000042356858
17/08/2014-00:45:00,11.961416126317731
17/08/2014-00:46:00,11.995631771941165
17/08/2014-00:47:00,11.876902700849463
17/08/2014-00:48:00,12.01740271550872
17/08/2014-00:49:00,9.468453518784278
17/08/2014-00:50:00,9.050002081424983
17/08/2014-00:51:00,9.287766976520768
17/08/2014-00:52:00,9.095596401265974
17/08/2014-00:53:00,9.216295598542017
17/08/2014-00:54:00,9.170853697039346
17/08/2014-00:55:00,9.223028763509893
17/08/2014-00:56:00,9.127168355509871
17/08/2014-00:57:00,9.176816284714665
17/08/2014-00:58:00,9.36186723199653
17/08/2014-00:59:00,11.916829496621142
17/08/2014-01:00:00,10.740201485732376
17/08/2014-01:01:00,9.895902376630644
17/08/2014-01:02:00,10.057758488115184
17/08/2014-01:03:00,10.847167028221728
17/08/2014-01:04:00,12.036456029343034
17/08/2014-01:05:00,12.333923783551048
17/08/2014-01:06:00,28.30563941293113
17/08/2014-01:07:00,56.19467303089441
17/08/2014-01:08:00,77.65941459016929
17/08/2014-01:09:00,90.13978586638146
17/08/2014-01:10:00,91.72612185267172
17/08/2014-01:11:00,92.68816871422422
17/08/2014-01:12:00,93.40735916340311
17/08/2014-01:13:00,93.92944406829967
17/08/2014-01:14:00,94.68733883767628
17/08/2014-01:15:00,95.04821694647184
17/08/2014-01:16:00,95.28678905855033
17/08/2014-01:17:00,92.57735926344012
17/08/2014-01:18:00,89.68863628378507
17/08/2014-01:19:00,87.81979626193645
17/08/2014-01:20:00,86.64429823496462
17/08/2014-01:21:00,85.85918317484817
17/08/2014-01:22:00,85.06794470235201
17/08/2014-01:23:00,84.41225650647961
17/08/2014-01:24:00,83.97351766162163
17/08/2014-01:25:00,83.4544403868527
17/08/2014-01:26:00,83.10983554717899
17/08/2014-01:27:00,82.71756923411303
17/08/2014-01:28:00,82.28039181083446
17/08/2014-01:29:00,82.08456331900561
17/08/2014-01:30:00,81.75829739937922
17/08/2014-01:31:00,81.4539108954198
17/08/2014-01:32:00,26.3923993040205
17/08/2014-01:33:00,12.093361317126693
17/08/2014-01:34:00,11.995631771941165
17/08/2014-01:35:00,12.01740271550872
17/08/2014-01:36:00,11.898409446036569
17/08/2014-01:37:00,11.99601344535608
17/08/2014-01:38:00,10.98505806186892
17/08/2014-01:39:00,9.169148799887417
17/08/2014-01:40:00,9.216374564763395
17/08/2014-01:41:00,9.326785495892707
17/08/2014-01:42:00,9.176816284714665
17/08/2014-01:43:00,9.176895250936044
17/08/2014-01:44:00,9.089098205531728
17/08/2014-01:45:00,9.209794611676482
17/08/2014-01:46:00,9.136810522721609
17/08/2014-01:47:00,9.209949821146086
17/08/2014-01:48:00,10.724134006947285
17/08/2014-01:49:00,11.952302749550398
17/08/2014-01:50:00,11.939288072030042
17/08/2014-01:51:00,11.879017601784591
17/08/2014-01:52:00,11.976448037645271
17/08/2014-01:53:00,12.07519581398295
17/08/2014-01:54:00,11.896704548884635
17/08/2014-01:55:00,12.011890298924715
17/08/2014-01:56:00,20.177157260989123
17/08/2014-01:57:00,45.37133651622621
17/08/2014-01:58:00,70.21793353321846
17/08/2014-01:59:00,87.34071998882746
17/08/2014-02:00:00,91.52451859136244
17/08/2014-02:01:00,92.4733942694812
17/08/2014-02:02:00,93.13140309172137
17/08/2014-02:03:00,93.9851766241812
17/08/2014-02:04:00,94.57399483877349
17/08/2014-02:05:00,94.791841773111
17/08/2014-02:06:00,95.21343730308944
17/08/2014-02:07:00,92.76025547282435
17/08/2014-02:08:00,89.61859330480618
17/08/2014-02:09:00,87.81473466578272
17/08/2014-02:10:00,86.4419043082144
17/08/2014-02:11:00,85.5645950579103
17/08/2014-02:12:00,84.91109304301294
17/08/2014-02:13:00,84.30973993742019
17/08/2014-02:14:00,83.86244850667924
17/08/2014-02:15:00,83.44537185362427
17/08/2014-02:16:00,83.14719647433304
17/08/2014-02:17:00,82.52470077865289
17/08/2014-02:18:00,82.26538691890732
17/08/2014-02:19:00,81.93757822236726
17/08/2014-02:20:00,81.57226044963483
17/08/2014-02:21:00,81.18184246079859
17/08/2014-02:22:00,39.57611314349173
17/08/2014-02:23:00,11.626441474441318
17/08/2014-02:24:00,11.656436536945597
17/08/2014-02:25:00,11.941740049129915
17/08/2014-02:26:00,12.015810360608189
17/08/2014-02:27:00,11.822748332522591
17/08/2014-02:28:00,9.626063310515296
17/08/2014-02:29:00,9.130052675780677
17/08/2014-02:30:00,9.176592543742505
17/08/2014-02:31:00,9.136810522721609
17/08/2014-02:32:00,9.169071195152611
17/08/2014-02:33:00,9.169071195152611
17/08/2014-02:34:00,9.142043935003077
17/08/2014-02:35:00,9.216374564763395
17/08/2014-02:36:00,9.053940417557929
17/08/2014-02:37:00,9.056018647069328
17/08/2014-02:38:00,11.691155376170322
17/08/2014-02:39:00,11.941366509155944
17/08/2014-02:40:00,11.7893717011852
17/08/2014-02:41:00,11.91660575564898
17/08/2014-02:42:00,11.865330302803171
17/08/2014-02:43:00,11.99782563909767
17/08/2014-02:44:00,11.898706934140565
17/08/2014-02:45:00,11.902567873153204
17/08/2014-02:46:00,15.719030900958469
17/08/2014-02:47:00,34.5504218373961
17/08/2014-02:48:00,63.90857458766671
17/08/2014-02:49:00,83.25562185247517
