Data-Ora,Consumo
15/09/2014-00:00:00,14.861707914272076
15/09/2014-00:01:00,14.178685598389556
15/09/2014-00:02:00,12.126362855625286
15/09/2014-00:03:00,12.167163876883958
15/09/2014-00:04:00,12.130223794637924
15/09/2014-00:05:00,10.113637594710086
15/09/2014-00:06:00,9.20808971452455
15/09/2014-00:07:00,9.208818553536148
15/09/2014-00:08:00,9.094817283072071
15/09/2014-00:09:00,9.051938032301996
15/09/2014-00:10:00,9.051938032301996
15/09/2014-00:11:00,10.056966602380404
15/09/2014-00:12:00,11.785808250276558
15/09/2014-00:13:00,11.904348822175107
15/09/2014-00:14:00,11.863625405651238
15/09/2014-00:15:00,31.441558716179085
15/09/2014-00:16:00,53.41964701892479
15/09/2014-00:17:00,69.52665340823307
15/09/2014-00:18:00,81.75073121573614
15/09/2014-00:19:00,81.9028005142242
15/09/2014-00:20:00,80.56489446251072
15/09/2014-00:21:00,79.7274746614994
15/09/2014-00:22:00,78.93731812914109
15/09/2014-00:23:00,78.35678965364504
15/09/2014-00:24:00,77.76185785671784
15/09/2014-00:25:00,77.35253404890396
15/09/2014-00:26:00,77.0558749057817
15/09/2014-00:27:00,76.67030155806205
15/09/2014-00:28:00,76.39734929954759
15/09/2014-00:29:00,76.02589806791886
15/09/2014-00:30:00,75.68922464824045
15/09/2014-00:31:00,75.39166769222457
15/09/2014-00:32:00,75.25200309932667
15/09/2014-00:33:00,75.14313034496615
15/09/2014-00:34:00,74.78030127304086
15/09/2014-00:35:00,74.49434565554381
15/09/2014-00:36:00,74.4190210875651
15/09/2014-00:37:00,74.20160885578075
15/09/2014-00:38:00,73.95920558507429
15/09/2014-00:39:00,73.78597592836066
15/09/2014-00:40:00,73.61601002567915
15/09/2014-00:41:00,73.40460166232988
15/09/2014-00:42:00,73.43862324761092
15/09/2014-00:43:00,73.33715113729203
15/09/2014-00:44:00,73.10780863800443
15/09/2014-00:45:00,72.88824862048254
15/09/2014-00:46:00,72.85317290519922
