Data-Ora,Consumo
16/09/2014-00:00:00,78.75151190764224
16/09/2014-00:01:00,78.01841206346546
16/09/2014-00:02:00,77.42742130165969
16/09/2014-00:03:00,77.1729449666136
16/09/2014-00:04:00,76.58143760212958
16/09/2014-00:05:00,76.32733941672068
16/09/2014-00:06:00,76.00430070868265
16/09/2014-00:07:00,76.01282028603677
16/09/2014-00:08:00,77.05609822424015
16/09/2014-00:09:00,77.42378051365502
16/09/2014-00:10:00,77.16477698339986
16/09/2014-00:11:00,77.02706025791939
16/09/2014-00:12:00,76.68868194108903
16/09/2014-00:13:00,76.50607865228979
16/09/2014-00:14:00,76.24543832474666
16/09/2014-00:15:00,75.9598604270228
16/09/2014-00:16:00,75.87153765755716
16/09/2014-00:17:00,75.58786324306737
16/09/2014-00:18:00,75.399673781935
16/09/2014-00:19:00,75.3279586905344
16/09/2014-00:20:00,75.17842790130453
16/09/2014-00:21:00,74.87690686737899
16/09/2014-00:22:00,74.92380995261175
16/09/2014-00:23:00,74.77784562470077
16/09/2014-00:24:00,74.51326166261103
16/09/2014-00:25:00,74.5044075450597
16/09/2014-00:26:00,74.27377700848203
16/09/2014-00:27:00,74.17926539757144
16/09/2014-00:28:00,74.14805383932551
16/09/2014-00:29:00,74.05591088985742
16/09/2014-00:30:00,76.97677224709359
16/09/2014-00:31:00,80.02939706726725
16/09/2014-00:32:00,81.75497617925501
16/09/2014-00:33:00,82.845256251992
16/09/2014-00:34:00,83.59794568301473
16/09/2014-00:35:00,84.29765988054942
16/09/2014-00:36:00,84.76083375924323
16/09/2014-00:37:00,85.190083686577
16/09/2014-00:38:00,84.45135159251384
16/09/2014-00:39:00,80.90543048211777
16/09/2014-00:40:00,78.52003376076463
16/09/2014-00:41:00,77.09275182858988
16/09/2014-00:42:00,76.37972843773464
16/09/2014-00:43:00,75.77328468867819
16/09/2014-00:44:00,75.24806154516898
16/09/2014-00:45:00,74.87861176453093
16/09/2014-00:46:00,74.65722506281149
16/09/2014-00:47:00,21.39577672278605
16/09/2014-00:48:00,9.239764602767996
16/09/2014-00:49:00,9.255998653341534
16/09/2014-00:50:00,9.131757572932608
16/09/2014-00:51:00,9.169148799887417
16/09/2014-00:52:00,9.090956551673935
16/09/2014-00:53:00,9.176816284714665
16/09/2014-00:54:00,9.20779398689988
16/09/2014-00:55:00,9.12687590957713
16/09/2014-00:56:00,9.099827571987444
16/09/2014-00:57:00,9.758035734879265
16/09/2014-00:58:00,11.999633447720743
16/09/2014-00:59:00,11.863769237150455
16/09/2014-01:00:00,11.902270385049205
16/09/2014-01:01:00,11.872974026064677
