Data-Ora,Consumo
18/09/2014-00:00:00,9.089630140433966
18/09/2014-00:01:00,10.525840788185368
18/09/2014-00:02:00,11.748648284661328
18/09/2014-00:03:00,13.227880682755975
18/09/2014-00:04:00,14.888024656912444
18/09/2014-00:05:00,14.77156715597585
18/09/2014-00:06:00,14.894786849890972
18/09/2014-00:07:00,14.931891916309672
18/09/2014-00:08:00,14.852933288654963
18/09/2014-00:09:00,14.929474202552573
18/09/2014-00:10:00,14.88991592250384
18/09/2014-00:11:00,15.004874039996649
18/09/2014-00:12:00,14.933882973997711
18/09/2014-00:13:00,13.8356366881006
18/09/2014-00:14:00,20.78939515123887
18/09/2014-00:15:00,49.17606577104689
18/09/2014-00:16:00,66.45721106081052
18/09/2014-00:17:00,80.44493581797205
18/09/2014-00:18:00,85.36672645100458
18/09/2014-00:19:00,83.33110678258956
18/09/2014-00:20:00,81.94432651682277
18/09/2014-00:21:00,80.87273505196885
18/09/2014-00:22:00,80.17973679605635
18/09/2014-00:23:00,79.57837925406955
18/09/2014-00:24:00,78.88213421586575
18/09/2014-00:25:00,78.60336953174786
18/09/2014-00:26:00,78.13516846831736
18/09/2014-00:27:00,77.77430472679742
18/09/2014-00:28:00,77.47582188271491
18/09/2014-00:29:00,77.01867318292997
18/09/2014-00:30:00,76.6950095731896
18/09/2014-00:31:00,76.39697264535612
18/09/2014-00:32:00,76.11844731650388
18/09/2014-00:33:00,75.87807259106994
18/09/2014-00:34:00,75.5471790910619
18/09/2014-00:35:00,75.10456795344858
18/09/2014-00:36:00,74.86736380560254
18/09/2014-00:37:00,74.7196931229942
18/09/2014-00:38:00,74.76750317953912
18/09/2014-00:39:00,74.57738079595856
18/09/2014-00:40:00,74.41947966457391
18/09/2014-00:41:00,71.92780413760714
18/09/2014-00:42:00,71.38272072008104
18/09/2014-00:43:00,71.26823011239085
18/09/2014-00:44:00,71.08006543238328
18/09/2014-00:45:00,71.12344614401846
18/09/2014-00:46:00,70.89622965395408
18/09/2014-00:47:00,70.8984263730782
18/09/2014-00:48:00,70.51848262305572
18/09/2014-00:49:00,70.36572095537232
18/09/2014-00:50:00,70.3263218796259
18/09/2014-00:51:00,72.765350512946
18/09/2014-00:52:00,72.9240180630217
18/09/2014-00:53:00,72.77549105179797
18/09/2014-00:54:00,72.77557001801935
18/09/2014-00:55:00,18.18608237294601
18/09/2014-00:56:00,12.033678985333774
18/09/2014-00:57:00,11.99389696431288
18/09/2014-00:58:00,12.075419554955111
18/09/2014-00:59:00,14.802895788280503
18/09/2014-01:00:00,14.97660877577751
18/09/2014-01:01:00,14.80696123142687
18/09/2014-01:02:00,14.848321602112929
18/09/2014-01:03:00,14.965551184132408
18/09/2014-01:04:00,14.927884169675076
18/09/2014-01:05:00,14.917652146061185
18/09/2014-01:06:00,14.811036261070512
18/09/2014-01:07:00,14.894864454625775
18/09/2014-01:08:00,11.980165145158688
18/09/2014-01:09:00,12.11081384166299
18/09/2014-01:10:00,12.091502763369984
18/09/2014-01:11:00,12.033298892026924
18/09/2014-01:12:00,12.150293155490344
18/09/2014-01:13:00,12.033600019112397
18/09/2014-01:14:00,12.01346417176128
18/09/2014-01:15:00,12.069375979235192
18/09/2014-01:16:00,12.075419554955111
18/09/2014-01:17:00,12.13237983649863
18/09/2014-01:18:00,12.033902726305936
18/09/2014-01:19:00,11.99812834629121
18/09/2014-01:20:00,12.15226328167469
18/09/2014-01:21:00,12.093581200495883
18/09/2014-01:22:00,12.073001946826444
18/09/2014-01:23:00,12.150293155490344
18/09/2014-01:24:00,12.10946608147575
18/09/2014-01:25:00,12.150372121711722
18/09/2014-01:26:00,19.555140198555968
18/09/2014-01:27:00,46.58287345283048
18/09/2014-01:28:00,64.5818627047438
18/09/2014-01:29:00,78.97907600424392
18/09/2014-01:30:00,83.37875291771793
18/09/2014-01:31:00,79.7265214187071
18/09/2014-01:32:00,78.52812080676036
18/09/2014-01:33:00,77.5075752259027
18/09/2014-01:34:00,76.91196814132121
18/09/2014-01:35:00,76.2536853640328
18/09/2014-01:36:00,75.77875183408213
18/09/2014-01:37:00,75.36493289176858
18/09/2014-01:38:00,74.87616729789048
18/09/2014-01:39:00,74.59129870135489
18/09/2014-01:40:00,75.52384296418786
18/09/2014-01:41:00,76.84661612519832
18/09/2014-01:42:00,76.53430292861182
18/09/2014-01:43:00,76.30849031134936
18/09/2014-01:44:00,75.93286420220663
18/09/2014-01:45:00,75.69725170035017
18/09/2014-01:46:00,75.40107181524152
18/09/2014-01:47:00,76.23725165682191
18/09/2014-01:48:00,79.68923892963228
18/09/2014-01:49:00,81.93996893409347
18/09/2014-01:50:00,83.07588033238223
18/09/2014-01:51:00,83.93445984049684
18/09/2014-01:52:00,84.55264727350868
18/09/2014-01:53:00,84.99277557735645
18/09/2014-01:54:00,85.48349338212921
18/09/2014-01:55:00,84.26502631726042
18/09/2014-01:56:00,81.00652274680839
18/09/2014-01:57:00,78.86646368742926
18/09/2014-01:58:00,77.58319622588351
18/09/2014-01:59:00,76.78260397214686
18/09/2014-02:00:00,76.14094967942609
18/09/2014-02:01:00,75.66765102608132
18/09/2014-02:02:00,75.36840399014153
18/09/2014-02:03:00,75.03305854960155
18/09/2014-02:04:00,74.88457334599946
18/09/2014-02:05:00,74.40490844502406
18/09/2014-02:06:00,74.24342987473986
18/09/2014-02:07:00,74.09316847840157
18/09/2014-02:08:00,73.90728202314018
18/09/2014-02:09:00,73.74382749666805
18/09/2014-02:10:00,73.511831713907
18/09/2014-02:11:00,73.37445605165948
18/09/2014-02:12:00,73.30929229172185
18/09/2014-02:13:00,73.0764753291383
18/09/2014-02:14:00,44.0063317855936
18/09/2014-02:15:00,12.072922980605064
18/09/2014-02:16:00,12.148178254555212
18/09/2014-02:17:00,12.13237983649863
18/09/2014-02:18:00,12.131281858343405
18/09/2014-02:19:00,12.013837711735253
18/09/2014-02:20:00,9.814002816614446
18/09/2014-02:21:00,9.216743080486344
18/09/2014-02:22:00,9.261663445797732
18/09/2014-02:23:00,9.293665984684155
18/09/2014-02:24:00,9.29388972565632
18/09/2014-02:25:00,9.216295598542017
18/09/2014-02:26:00,9.170776092304544
18/09/2014-02:27:00,9.295780674362426
18/09/2014-02:28:00,9.293665984684155
18/09/2014-02:29:00,9.180917922934745
18/09/2014-02:30:00,11.835075949992868
18/09/2014-02:31:00,12.009657255568984
18/09/2014-02:32:00,12.09328371239189
18/09/2014-02:33:00,12.227584364154245
18/09/2014-02:34:00,12.031787825370806
18/09/2014-02:35:00,12.231592005160412
18/09/2014-02:36:00,12.152487022646852
18/09/2014-02:37:00,13.08206099887595
18/09/2014-02:38:00,14.848701801048206
18/09/2014-02:39:00,14.88818111487556
18/09/2014-02:40:00,15.005254238931926
18/09/2014-02:41:00,15.04284228716788
18/09/2014-02:42:00,14.967207025539311
18/09/2014-02:43:00,14.972450244853627
18/09/2014-02:44:00,15.011220534166965
18/09/2014-02:45:00,15.005175272710549
18/09/2014-02:46:00,15.084359115817056
18/09/2014-02:47:00,15.088287896230277
18/09/2014-02:48:00,27.21889343062694
18/09/2014-02:49:00,53.154017291562965
18/09/2014-02:50:00,69.27441273850837
18/09/2014-02:51:00,83.0382877421238
18/09/2014-02:52:00,85.22032247842345
18/09/2014-02:53:00,83.27354386373588
