Data-Ora,Consumo
19/09/2014-00:00:00,80.60599474084057
19/09/2014-00:01:00,79.91232764020593
19/09/2014-00:02:00,82.01145049750832
19/09/2014-00:03:00,84.42036209758936
19/09/2014-00:04:00,85.66639440451176
19/09/2014-00:05:00,86.5180942749792
19/09/2014-00:06:00,87.00183529984851
19/09/2014-00:07:00,87.06766447358325
19/09/2014-00:08:00,87.21340788429644
19/09/2014-00:09:00,87.50420094553397
19/09/2014-00:10:00,86.18342542050898
19/09/2014-00:11:00,82.97210427965733
19/09/2014-00:12:00,80.8144414934237
19/09/2014-00:13:00,79.53668765357541
19/09/2014-00:14:00,78.61318844330856
19/09/2014-00:15:00,77.91138791929694
19/09/2014-00:16:00,77.4736248467055
19/09/2014-00:17:00,76.91030374926024
19/09/2014-00:18:00,76.4260247361021
19/09/2014-00:19:00,76.21236540994826
19/09/2014-00:20:00,75.90784857528013
19/09/2014-00:21:00,75.62764526408826
19/09/2014-00:22:00,75.32587724299823
19/09/2014-00:23:00,75.0651586878768
19/09/2014-00:24:00,74.80875823729728
19/09/2014-00:25:00,74.4664376396585
19/09/2014-00:26:00,74.40245044710367
19/09/2014-00:27:00,74.25276299085878
19/09/2014-00:28:00,74.02891829121897
19/09/2014-00:29:00,73.80751574357346
19/09/2014-00:30:00,73.62074893685839
19/09/2014-00:31:00,73.55073874260972
19/09/2014-00:32:00,73.36218912258617
19/09/2014-00:33:00,73.45422130375236
19/09/2014-00:34:00,73.10533389404414
19/09/2014-00:35:00,73.03399493779874
19/09/2014-00:36:00,72.89011008084225
19/09/2014-00:37:00,72.16989134941463
19/09/2014-00:38:00,69.96612417482989
19/09/2014-00:39:00,69.96820541475155
19/09/2014-00:40:00,69.78314267473041
19/09/2014-00:41:00,33.29924223080503
19/09/2014-00:42:00,9.011356894412518
19/09/2014-00:43:00,9.13183517766741
19/09/2014-00:44:00,9.139004178621256
19/09/2014-00:45:00,9.174477854064234
19/09/2014-00:46:00,9.130052675780677
19/09/2014-00:47:00,10.092497722713675
19/09/2014-00:48:00,12.091423111839216
19/09/2014-00:49:00,11.902567873153204
19/09/2014-00:50:00,11.880976150385036
19/09/2014-00:51:00,11.810321500942898
19/09/2014-00:52:00,11.80565506790548
19/09/2014-00:53:00,11.867486344663876
19/09/2014-00:54:00,12.85892804728852
19/09/2014-00:55:00,14.861707914272076
19/09/2014-00:56:00,14.7836708755282
19/09/2014-00:57:00,14.703773730162789
19/09/2014-00:58:00,14.69812586713222
19/09/2014-00:59:00,14.744497146686658
19/09/2014-01:00:00,14.82276699963494
19/09/2014-01:01:00,14.664975094160043
19/09/2014-01:02:00,14.861488030902882
19/09/2014-01:03:00,14.850291833925704
19/09/2014-01:04:00,11.972289299106889
19/09/2014-01:05:00,11.672174018664224
19/09/2014-01:06:00,11.589501392195285
19/09/2014-01:07:00,11.47274176931864
19/09/2014-01:08:00,11.62889500440602
19/09/2014-01:09:00,11.752431618939164
19/09/2014-01:10:00,11.902270385049205
19/09/2014-01:11:00,11.865483959407948
19/09/2014-01:12:00,11.980385028527884
19/09/2014-01:13:00,22.199848563768107
19/09/2014-01:14:00,49.02652937622552
19/09/2014-01:15:00,66.2974826814972
19/09/2014-01:16:00,80.3921681593322
19/09/2014-01:17:00,84.44748753928371
19/09/2014-01:18:00,82.78704413481745
19/09/2014-01:19:00,81.4247840729234
19/09/2014-01:20:00,80.16691526101356
19/09/2014-01:21:00,79.38715769480356
19/09/2014-01:22:00,78.90162768420232
19/09/2014-01:23:00,78.4306633820876
19/09/2014-01:24:00,77.86673142249671
19/09/2014-01:25:00,77.50296277665346
19/09/2014-01:26:00,77.09885264263303
19/09/2014-01:27:00,75.035880302816
19/09/2014-01:28:00,73.81353874526731
19/09/2014-01:29:00,73.55535558518656
19/09/2014-01:30:00,73.26156318100148
19/09/2014-01:31:00,72.6050633644514
19/09/2014-01:32:00,72.39049626130947
19/09/2014-01:33:00,72.07418062508776
19/09/2014-01:34:00,72.20308511869328
19/09/2014-01:35:00,72.01554081076647
19/09/2014-01:36:00,71.91567848734768
19/09/2014-01:37:00,73.81353770719483
19/09/2014-01:38:00,74.14597239178936
19/09/2014-01:39:00,73.9431793717904
19/09/2014-01:40:00,73.81175624338057
19/09/2014-01:41:00,73.59645885353875
19/09/2014-01:42:00,73.35514855077751
19/09/2014-01:43:00,73.28605911960014
19/09/2014-01:44:00,73.14081463232583
19/09/2014-01:45:00,74.19774102067079
19/09/2014-01:46:00,77.80273575606056
19/09/2014-01:47:00,80.01894771314474
19/09/2014-01:48:00,81.37974192901412
19/09/2014-01:49:00,82.42370140090148
19/09/2014-01:50:00,82.88152286550991
19/09/2014-01:51:00,83.38566969297345
19/09/2014-01:52:00,83.8976800585196
19/09/2014-01:53:00,82.09420201029059
19/09/2014-01:54:00,78.9150835320004
19/09/2014-01:55:00,76.92864681314744
19/09/2014-01:56:00,75.89505537059453
19/09/2014-01:57:00,75.18445090299838
19/09/2014-01:58:00,74.65081616961012
19/09/2014-01:59:00,74.2567836072967
19/09/2014-02:00:00,73.88741288893888
19/09/2014-02:01:00,73.66794940638789
19/09/2014-02:02:00,73.36635191385122
19/09/2014-02:03:00,73.14529352356946
19/09/2014-02:04:00,13.679651294930483
19/09/2014-02:05:00,11.999849604253171
19/09/2014-02:06:00,11.955928717141646
19/09/2014-02:07:00,11.939507955399236
19/09/2014-02:08:00,12.01740271550872
19/09/2014-02:09:00,11.939584007269213
19/09/2014-02:10:00,11.941366509155944
19/09/2014-02:11:00,12.036456029343034
19/09/2014-02:12:00,11.9186432704708
19/09/2014-02:13:00,11.925394593093356
19/09/2014-02:14:00,11.99367322334072
19/09/2014-02:15:00,12.019481152634624
19/09/2014-02:16:00,11.582240094998426
19/09/2014-02:17:00,9.242100053983137
19/09/2014-02:18:00,9.251769273984996
19/09/2014-02:19:00,9.209872216411286
19/09/2014-02:20:00,9.205933880278344
19/09/2014-02:21:00,9.173267703236723
19/09/2014-02:22:00,9.246592622902629
19/09/2014-02:23:00,9.173151809919943
19/09/2014-02:24:00,9.16742868219528
19/09/2014-02:25:00,9.256077619562912
19/09/2014-02:26:00,9.873090460603976
19/09/2014-02:27:00,12.033522632999087
19/09/2014-02:28:00,12.013541776496082
19/09/2014-02:29:00,12.058423620136583
19/09/2014-02:30:00,11.996011865248011
19/09/2014-02:31:00,11.939881495373209
19/09/2014-02:32:00,11.95791307288212
19/09/2014-02:33:00,13.977303124107705
19/09/2014-02:34:00,14.892109895288778
19/09/2014-02:35:00,14.89270830895782
19/09/2014-02:36:00,15.044577094796162
19/09/2014-02:37:00,14.816969694516292
19/09/2014-02:38:00,14.937744016817602
19/09/2014-02:39:00,14.852630581461426
19/09/2014-02:40:00,14.892109895288778
19/09/2014-02:41:00,14.894633089478946
19/09/2014-02:42:00,40.05258477820032
19/09/2014-02:43:00,61.42466354431682
19/09/2014-02:44:00,76.05910194211748
19/09/2014-02:45:00,87.48014601547247
19/09/2014-02:46:00,85.74621384133512
19/09/2014-02:47:00,83.29321940726982
19/09/2014-02:48:00,81.64488177484174
19/09/2014-02:49:00,80.6268221318458
19/09/2014-02:50:00,79.7641854755684
19/09/2014-02:51:00,79.20871667398919
19/09/2014-02:52:00,78.54147397475145
19/09/2014-02:53:00,78.22721803072372
19/09/2014-02:54:00,77.61232592136429
