Data-Ora,Consumo
20/09/2014-00:00:00,11.939507955399236
20/09/2014-00:01:00,12.09157881523996
20/09/2014-00:02:00,12.092987777152722
20/09/2014-00:03:00,12.011681669874545
20/09/2014-00:04:00,12.054265193019951
20/09/2014-00:05:00,13.013007338716903
20/09/2014-00:06:00,14.97252784958843
20/09/2014-00:07:00,14.85598821388823
20/09/2014-00:08:00,15.048486347399152
20/09/2014-00:09:00,15.08005013646856
20/09/2014-00:10:00,15.087504866771088
20/09/2014-00:11:00,14.972825337692424
20/09/2014-00:12:00,14.970745347701696
20/09/2014-00:13:00,15.046311691167585
20/09/2014-00:14:00,12.167163876883958
20/09/2014-00:15:00,12.07126713919816
20/09/2014-00:16:00,12.26736638517514
20/09/2014-00:17:00,12.108776326841168
20/09/2014-00:18:00,12.169242314009862
20/09/2014-00:19:00,12.128434197953682
20/09/2014-00:20:00,12.13237983649863
20/09/2014-00:21:00,12.089500378114057
20/09/2014-00:22:00,12.130223794637924
20/09/2014-00:23:00,12.09328371239189
20/09/2014-00:24:00,33.88028292577437
20/09/2014-00:25:00,54.73044180648047
20/09/2014-00:26:00,70.71326277798997
20/09/2014-00:27:00,82.39965668947872
20/09/2014-00:28:00,81.9048046684473
20/09/2014-00:29:00,80.63075418674033
20/09/2014-00:30:00,79.57986948324866
20/09/2014-00:31:00,78.70810064454878
20/09/2014-00:32:00,78.28715684023858
20/09/2014-00:33:00,77.65491110966963
20/09/2014-00:34:00,75.58859787619777
20/09/2014-00:35:00,74.20175363053153
20/09/2014-00:36:00,73.8137586286365
20/09/2014-00:37:00,73.60206255687966
20/09/2014-00:38:00,73.25985828384955
20/09/2014-00:39:00,72.96561385789225
20/09/2014-00:40:00,72.7077254297252
20/09/2014-00:41:00,72.49398663030605
20/09/2014-00:42:00,72.17193108675185
20/09/2014-00:43:00,71.96489818787971
20/09/2014-00:44:00,73.62706943090018
20/09/2014-00:45:00,74.35436988969356
20/09/2014-00:46:00,74.06986159111203
20/09/2014-00:47:00,73.92643140831082
20/09/2014-00:48:00,73.77690061908095
20/09/2014-00:49:00,73.48551883858505
20/09/2014-00:50:00,73.3315736866719
20/09/2014-00:51:00,73.33751887601646
20/09/2014-00:52:00,73.11419092500633
20/09/2014-00:53:00,72.92393771931235
20/09/2014-00:54:00,72.9333688924068
20/09/2014-00:55:00,72.78175634421903
20/09/2014-00:56:00,72.62515026672457
20/09/2014-00:57:00,72.60085670688471
20/09/2014-00:58:00,72.3641717513773
20/09/2014-00:59:00,72.20821352861282
20/09/2014-01:00:00,72.06129335647798
20/09/2014-01:01:00,72.00354026067467
20/09/2014-01:02:00,71.93420368968522
20/09/2014-01:03:00,71.82101333092322
20/09/2014-01:04:00,48.44309184715186
20/09/2014-01:05:00,12.091127670531185
20/09/2014-01:06:00,12.07519581398295
20/09/2014-01:07:00,11.995934479134704
20/09/2014-01:08:00,12.130223794637924
20/09/2014-01:09:00,13.274086584060496
20/09/2014-01:10:00,15.048563952133954
20/09/2014-01:11:00,14.9298681707658
20/09/2014-01:12:00,14.965315759947917
20/09/2014-01:13:00,14.97252784958843
20/09/2014-01:14:00,14.931275579813734
20/09/2014-01:15:00,14.97252784958843
20/09/2014-01:16:00,14.97252784958843
20/09/2014-01:17:00,14.228085147091194
20/09/2014-01:18:00,12.050149669822398
20/09/2014-01:19:00,12.165458979732026
20/09/2014-01:20:00,12.114675127810305
20/09/2014-01:21:00,12.112705001625956
20/09/2014-01:22:00,12.128145357512022
20/09/2014-01:23:00,11.960237062719564
20/09/2014-01:24:00,9.242951774873683
20/09/2014-01:25:00,9.21440464983591
20/09/2014-01:26:00,9.322771315504292
20/09/2014-01:27:00,9.286128513747752
20/09/2014-01:28:00,9.331175383584023
20/09/2014-01:29:00,9.28605090901295
