Data-Ora,Consumo
21/09/2014-00:00:00,72.96606577585723
21/09/2014-00:01:00,72.73389387943945
21/09/2014-00:02:00,72.54604824180704
21/09/2014-00:03:00,72.34716723693684
21/09/2014-00:04:00,72.36425071759867
21/09/2014-00:05:00,72.05312600703479
21/09/2014-00:06:00,71.96660308503165
21/09/2014-00:07:00,71.72129040494659
21/09/2014-00:08:00,71.63002571598587
21/09/2014-00:09:00,71.339150675199
21/09/2014-00:10:00,71.4147816921629
21/09/2014-00:11:00,71.18675929384116
21/09/2014-00:12:00,71.11387841182996
21/09/2014-00:13:00,71.00415413651139
21/09/2014-00:14:00,70.9692825048449
21/09/2014-00:15:00,70.78082556265777
21/09/2014-00:16:00,70.6269240567192
21/09/2014-00:17:00,70.5571206460344
21/09/2014-00:18:00,70.52634823168337
21/09/2014-00:19:00,52.66426280825305
21/09/2014-00:20:00,11.939132862560438
21/09/2014-00:21:00,11.89918608524675
21/09/2014-00:22:00,14.262869187476523
21/09/2014-00:23:00,15.013328870847102
21/09/2014-00:24:00,14.929648287396605
21/09/2014-00:25:00,15.007068012781584
21/09/2014-00:26:00,14.896491747042903
21/09/2014-00:27:00,14.85792447618699
21/09/2014-00:28:00,14.848478060076044
21/09/2014-00:29:00,14.381487260302627
21/09/2014-00:30:00,12.054342797754757
21/09/2014-00:31:00,9.359711501557577
21/09/2014-00:32:00,9.176513577521124
21/09/2014-00:33:00,9.246890111006625
21/09/2014-00:34:00,9.169071195152611
21/09/2014-00:35:00,9.199871280774952
21/09/2014-00:36:00,9.216295598542017
21/09/2014-00:37:00,9.095596401265974
21/09/2014-00:38:00,9.1273845120423
21/09/2014-00:39:00,9.214560790913737
21/09/2014-00:40:00,9.383410031274542
21/09/2014-00:41:00,11.976524089515244
21/09/2014-00:42:00,12.019481152634624
21/09/2014-00:43:00,11.89862932940576
21/09/2014-00:44:00,11.963535625096055
21/09/2014-00:45:00,12.054265193019951
21/09/2014-00:46:00,12.112783967847337
21/09/2014-00:47:00,11.980682516631878
21/09/2014-00:48:00,11.97830659140198
21/09/2014-00:49:00,12.114898868782465
21/09/2014-00:50:00,12.09328371239189
21/09/2014-00:51:00,11.792425365532472
21/09/2014-00:52:00,12.0952198708834
21/09/2014-00:53:00,11.995934479134704
21/09/2014-00:54:00,12.014871580809215
21/09/2014-00:55:00,12.033522632999087
21/09/2014-00:56:00,12.056421234880656
21/09/2014-00:57:00,17.117156446672354
21/09/2014-00:58:00,42.095285381377685
21/09/2014-00:59:00,60.596241465298135
21/09/2014-01:00:00,75.17707563069051
21/09/2014-01:01:00,81.79183491970524
21/09/2014-01:02:00,80.05580728405297
21/09/2014-01:03:00,78.83734564652043
21/09/2014-01:04:00,77.88917754036306
21/09/2014-01:05:00,77.20996259617532
21/09/2014-01:06:00,76.77482374048468
21/09/2014-01:07:00,76.27112906731003
21/09/2014-01:08:00,75.88409580037828
21/09/2014-01:09:00,75.55404140091815
21/09/2014-01:10:00,75.06167207973694
21/09/2014-01:11:00,74.95565237371089
21/09/2014-01:12:00,74.66733189729742
21/09/2014-01:13:00,74.27276833282994
21/09/2014-01:14:00,74.2080417144809
21/09/2014-01:15:00,73.86538203795969
21/09/2014-01:16:00,73.44603952475768
21/09/2014-01:17:00,73.25554038692214
21/09/2014-01:18:00,73.33348273460466
21/09/2014-01:19:00,73.00129805434833
21/09/2014-01:20:00,71.57246026833396
21/09/2014-01:21:00,69.88246743398432
21/09/2014-01:22:00,69.69349999325716
21/09/2014-01:23:00,71.23001696352596
21/09/2014-01:24:00,74.22408693146079
21/09/2014-01:25:00,75.85747006869778
21/09/2014-01:26:00,76.75777532385894
21/09/2014-01:27:00,77.61626924448916
21/09/2014-01:28:00,78.22342916183513
21/09/2014-01:29:00,78.58049249412339
21/09/2014-01:30:00,79.76630291158584
21/09/2014-01:31:00,77.9188173324771
21/09/2014-01:32:00,75.91716840375493
21/09/2014-01:33:00,74.7757641771646
21/09/2014-01:34:00,74.0350835715472
21/09/2014-01:35:00,73.36880835041893
21/09/2014-01:36:00,72.95250785751327
21/09/2014-01:37:00,72.74258126163932
21/09/2014-01:38:00,72.3621328590675
21/09/2014-01:39:00,72.19246643108245
21/09/2014-01:40:00,71.96705713634341
21/09/2014-01:41:00,71.80220758120173
21/09/2014-01:42:00,71.65224984703121
21/09/2014-01:43:00,71.37984825551398
21/09/2014-01:44:00,71.23078958524486
21/09/2014-01:45:00,71.04483605391292
21/09/2014-01:46:00,70.97351801065038
21/09/2014-01:47:00,33.85047579456966
21/09/2014-01:48:00,12.091127670531185
21/09/2014-01:49:00,12.09328371239189
21/09/2014-01:50:00,12.095439754252595
21/09/2014-01:51:00,12.029370217242136
21/09/2014-01:52:00,12.056421234880656
21/09/2014-01:53:00,11.954417650485526
21/09/2014-01:54:00,12.073225687798605
21/09/2014-01:55:00,12.152487022646852
21/09/2014-01:56:00,12.128518897485993
21/09/2014-01:57:00,12.033219925805549
21/09/2014-01:58:00,12.054265193019951
21/09/2014-01:59:00,12.130223794637924
21/09/2014-02:00:00,12.146843318193262
21/09/2014-02:01:00,12.073001946826444
21/09/2014-02:02:00,12.017325110773918
21/09/2014-02:03:00,12.037607660118562
21/09/2014-02:04:00,12.05418758828515
21/09/2014-02:05:00,12.031708859149427
21/09/2014-02:06:00,12.035334826740677
