Data-Ora,Consumo
06/10/2014-00:00:00,64.7987364057367
06/10/2014-00:01:00,78.19111542524172
06/10/2014-00:02:00,85.85070657731502
06/10/2014-00:03:00,82.56550138468255
06/10/2014-00:04:00,79.94113232673723
06/10/2014-00:05:00,78.22100817359672
06/10/2014-00:06:00,77.14211186942659
06/10/2014-00:07:00,76.1383362644216
06/10/2014-00:08:00,75.51527325432825
06/10/2014-00:09:00,74.99309268960002
06/10/2014-00:10:00,74.4190210875651
06/10/2014-00:11:00,73.93458148329205
06/10/2014-00:12:00,73.66787180165309
06/10/2014-00:13:00,73.2591137052346
06/10/2014-00:14:00,72.88219714969102
06/10/2014-00:15:00,72.54612720802844
06/10/2014-00:16:00,72.37507096556871
06/10/2014-00:17:00,72.02166926789982
06/10/2014-00:18:00,71.7062589999055
06/10/2014-00:19:00,71.49547652014294
06/10/2014-00:20:00,71.37776691178507
06/10/2014-00:21:00,71.11712481951871
06/10/2014-00:22:00,70.89018037429895
06/10/2014-00:23:00,70.7867705443878
06/10/2014-00:24:00,70.48067358018677
06/10/2014-00:25:00,70.37837923051305
06/10/2014-00:26:00,70.23271135263357
06/10/2014-00:27:00,70.06723525932222
06/10/2014-00:28:00,69.8576134597699
06/10/2014-00:29:00,69.73108508389709
06/10/2014-00:30:00,66.90619009094418
06/10/2014-00:31:00,66.83663239089853
06/10/2014-00:32:00,66.60860916211877
06/10/2014-00:33:00,66.56997921939873
06/10/2014-00:34:00,66.46686428540167
06/10/2014-00:35:00,24.326235942120377
06/10/2014-00:36:00,9.167644838727709
06/10/2014-00:37:00,9.015515113914654
06/10/2014-00:38:00,9.248968340518026
06/10/2014-00:39:00,9.464516424094414
06/10/2014-00:40:00,11.943742434385843
06/10/2014-00:41:00,11.943742434385843
06/10/2014-00:42:00,11.958043618076776
06/10/2014-00:43:00,11.981056056605851
06/10/2014-00:44:00,11.99782563909767
06/10/2014-00:45:00,11.96185962450602
06/10/2014-00:46:00,11.899002869379732
06/10/2014-00:47:00,11.976524089515244
06/10/2014-00:48:00,12.037607660118564
06/10/2014-00:49:00,11.941288904421144
06/10/2014-00:50:00,11.84346696274203
06/10/2014-00:51:00,12.134238390255335
06/10/2014-00:52:00,11.937505570143308
06/10/2014-00:53:00,11.941662444395114
06/10/2014-00:54:00,11.980682516631878
06/10/2014-00:55:00,11.941146625786752
06/10/2014-00:56:00,12.03849923872104
06/10/2014-00:57:00,12.353724187121168
06/10/2014-00:58:00,11.916526789427602
06/10/2014-00:59:00,12.095439754252595
06/10/2014-01:00:00,12.684320979845689
06/10/2014-01:01:00,26.31121263315504
06/10/2014-01:02:00,51.652296081893255
06/10/2014-01:03:00,71.52765681178116
06/10/2014-01:04:00,81.87210871926212
06/10/2014-01:05:00,81.01616336623955
06/10/2014-01:06:00,80.83193403071017
06/10/2014-01:07:00,80.71023926256073
06/10/2014-01:08:00,80.40085104968003
06/10/2014-01:09:00,80.4852016722544
06/10/2014-01:10:00,80.59536666025195
06/10/2014-01:11:00,80.70701903670196
06/10/2014-01:12:00,80.7209667710313
06/10/2014-01:13:00,80.97113543157688
06/10/2014-01:14:00,81.03381545934815
06/10/2014-01:15:00,81.08419246003432
06/10/2014-01:16:00,81.24963326620451
06/10/2014-01:17:00,79.91230032697496
06/10/2014-01:18:00,77.32887805329815
06/10/2014-01:19:00,74.22313025559887
06/10/2014-01:20:00,71.91746407944083
06/10/2014-01:21:00,71.16152348635565
06/10/2014-01:22:00,70.47639077166986
06/10/2014-01:23:00,69.95288932075438
06/10/2014-01:24:00,69.40253256847045
06/10/2014-01:25:00,69.27658175627533
06/10/2014-01:26:00,68.98316393013673
06/10/2014-01:27:00,68.57053170122585
06/10/2014-01:28:00,68.47020292480545
06/10/2014-01:29:00,69.75074297220617
06/10/2014-01:30:00,70.72179380164886
06/10/2014-01:31:00,70.44300931206861
06/10/2014-01:32:00,70.38083681320443
06/10/2014-01:33:00,70.16515811823277
06/10/2014-01:34:00,69.82267856557554
06/10/2014-01:35:00,69.75290306254962
06/10/2014-01:36:00,69.60299510009203
06/10/2014-01:37:00,69.49634449165356
06/10/2014-01:38:00,69.38739390604793
06/10/2014-01:39:00,46.62712948790965
06/10/2014-01:40:00,12.093063829022697
06/10/2014-01:41:00,12.171398355870569
06/10/2014-01:42:00,12.091502763369984
06/10/2014-01:43:00,12.093361317126693
06/10/2014-01:44:00,12.056343630145856
06/10/2014-01:45:00,12.095439754252595
06/10/2014-01:46:00,12.095439754252595
06/10/2014-01:47:00,11.980682516631878
06/10/2014-01:48:00,12.113170406413284
06/10/2014-01:49:00,12.071188172976782
06/10/2014-01:50:00,12.095439754252595
06/10/2014-01:51:00,12.095439754252595
06/10/2014-01:52:00,12.151095281883553
06/10/2014-01:53:00,11.95864903246386
06/10/2014-01:54:00,12.134458273624531
06/10/2014-01:55:00,12.075116847761572
06/10/2014-01:56:00,12.019701036003818
06/10/2014-01:57:00,12.09128132713596
06/10/2014-01:58:00,12.054782564493143
06/10/2014-01:59:00,12.05649883961546
06/10/2014-02:00:00,12.095362149517792
06/10/2014-02:01:00,12.095439754252595
06/10/2014-02:02:00,11.937427965408505
06/10/2014-02:03:00,12.017622598877914
06/10/2014-02:04:00,12.037607660118562
06/10/2014-02:05:00,17.897239672833017
06/10/2014-02:06:00,38.80447949709194
06/10/2014-02:07:00,62.77623528195731
06/10/2014-02:08:00,78.94985428505771
06/10/2014-02:09:00,78.75362987180185
06/10/2014-02:10:00,77.91562883433306
06/10/2014-02:11:00,77.6993584977466
06/10/2014-02:12:00,77.3966498215739
06/10/2014-02:13:00,77.43968916499826
06/10/2014-02:14:00,77.39845487668255
06/10/2014-02:15:00,77.61835079583257
06/10/2014-02:16:00,77.58660354271214
06/10/2014-02:17:00,77.70325204750098
06/10/2014-02:18:00,78.0522398123016
06/10/2014-02:19:00,80.83572068682001
06/10/2014-02:20:00,80.69109759096455
06/10/2014-02:21:00,77.84576574912744
06/10/2014-02:22:00,75.99498410158418
06/10/2014-02:23:00,74.73718542453106
06/10/2014-02:24:00,73.77444251735332
06/10/2014-02:25:00,73.22292110820652
06/10/2014-02:26:00,72.70148275227665
06/10/2014-02:27:00,72.26433704337441
06/10/2014-02:28:00,71.92796101223668
06/10/2014-02:29:00,71.56253049854229
06/10/2014-02:30:00,71.30381485195696
06/10/2014-02:31:00,70.9287169590933
06/10/2014-02:32:00,70.93875974676706
06/10/2014-02:33:00,70.55796193688307
06/10/2014-02:34:00,70.33928310640631
06/10/2014-02:35:00,70.09821252311353
06/10/2014-02:36:00,70.1088323260523
06/10/2014-02:37:00,69.86355844149993
06/10/2014-02:38:00,69.6916862194075
06/10/2014-02:39:00,69.52919814592627
06/10/2014-02:40:00,69.50988795580011
06/10/2014-02:41:00,69.15937109249717
06/10/2014-02:42:00,69.09183182194458
06/10/2014-02:43:00,45.70760708317726
06/10/2014-02:44:00,12.05418758828515
06/10/2014-02:45:00,12.056421234880656
06/10/2014-02:46:00,12.017622598877914
06/10/2014-02:47:00,12.015686440386403
06/10/2014-02:48:00,11.976601694250048
06/10/2014-02:49:00,12.13237983649863
06/10/2014-02:50:00,12.054265193019951
06/10/2014-02:51:00,11.901082859370463
06/10/2014-02:52:00,12.039789949691173
06/10/2014-02:53:00,11.937427965408505
06/10/2014-02:54:00,12.031485118177269
06/10/2014-02:55:00,12.019481152634624
06/10/2014-02:56:00,12.038283082188611
06/10/2014-02:57:00,11.978526474771174
06/10/2014-02:58:00,10.761656999716989
06/10/2014-02:59:00,18.77288735656027
06/10/2014-03:00:00,30.981111736772952
06/10/2014-03:01:00,29.575188971798944
06/10/2014-03:02:00,29.486970053080864
06/10/2014-03:03:00,29.146969131825745
06/10/2014-03:04:00,29.547862630220653
06/10/2014-03:05:00,15.433804931803706
06/10/2014-03:06:00,9.169071195152611
06/10/2014-03:07:00,9.095114771176068
06/10/2014-03:08:00,10.543340620814758
06/10/2014-03:09:00,12.01316761367861
06/10/2014-03:10:00,24.4558540234326
06/10/2014-03:11:00,48.73279256963823
06/10/2014-03:12:00,69.74834607366782
06/10/2014-03:13:00,80.72074657624036
06/10/2014-03:14:00,80.50120808413581
06/10/2014-03:15:00,79.93912879535763
06/10/2014-03:16:00,79.79965217953499
