Data-Ora,Consumo
09/10/2014-00:00:00,70.64912888816004
09/10/2014-00:01:00,70.37199524785916
09/10/2014-00:02:00,70.30363854241011
09/10/2014-00:03:00,42.39140211747797
09/10/2014-00:04:00,12.358397087595836
09/10/2014-00:05:00,12.334848254179269
09/10/2014-00:06:00,12.284065778394996
09/10/2014-00:07:00,12.279984956013164
09/10/2014-00:08:00,12.3193785682239
09/10/2014-00:09:00,12.227505397932868
09/10/2014-00:10:00,12.185832216949006
09/10/2014-00:11:00,12.356318650469934
09/10/2014-00:12:00,12.28028244411716
09/10/2014-00:13:00,13.867180075154897
09/10/2014-00:14:00,14.622702781330736
09/10/2014-00:15:00,14.547463351125248
09/10/2014-00:16:00,14.455730313449031
09/10/2014-00:17:00,14.496387607015736
09/10/2014-00:18:00,14.533778833970544
09/10/2014-00:19:00,13.940582099016783
09/10/2014-00:20:00,11.658318026807915
09/10/2014-00:21:00,11.65415959969128
09/10/2014-00:22:00,10.228709364411072
09/10/2014-00:23:00,9.418778957146902
09/10/2014-00:24:00,9.399103457096237
09/10/2014-00:25:00,9.36587044964356
09/10/2014-00:26:00,16.934426659923506
09/10/2014-00:27:00,45.0435645172431
09/10/2014-00:28:00,62.18486553825397
09/10/2014-00:29:00,76.61169137092232
09/10/2014-00:30:00,83.15558872666108
09/10/2014-00:31:00,80.21195844723928
09/10/2014-00:32:00,78.33026085756254
09/10/2014-00:33:00,76.95965085926173
09/10/2014-00:34:00,76.17605491420419
09/10/2014-00:35:00,75.41060668251556
09/10/2014-00:36:00,74.92781763821445
09/10/2014-00:37:00,74.3891424528614
09/10/2014-00:38:00,73.9804790150112
09/10/2014-00:39:00,73.63323741446082
09/10/2014-00:40:00,73.26594575182848
09/10/2014-00:41:00,73.16009282386601
09/10/2014-00:42:00,72.66719492102742
09/10/2014-00:43:00,72.38161248485943
09/10/2014-00:44:00,72.16355578851287
09/10/2014-00:45:00,71.82182954423858
09/10/2014-00:46:00,71.67950865953782
09/10/2014-00:47:00,71.38222698353965
09/10/2014-00:48:00,71.2408506297333
09/10/2014-00:49:00,71.05157522030476
09/10/2014-00:50:00,70.74849052978917
09/10/2014-00:51:00,70.72129854990867
09/10/2014-00:52:00,70.56431519559128
09/10/2014-00:53:00,70.30710453293824
09/10/2014-00:54:00,70.24111391705499
09/10/2014-00:55:00,70.09120595459741
09/10/2014-00:56:00,69.83040729912324
09/10/2014-00:57:00,69.66672357360075
09/10/2014-00:58:00,69.54542131332356
09/10/2014-00:59:00,69.49101157154888
09/10/2014-01:00:00,69.42833720594099
09/10/2014-01:01:00,69.28429686131277
09/10/2014-01:02:00,69.16777324168959
09/10/2014-01:03:00,69.17396099320499
09/10/2014-01:04:00,68.94614894214439
09/10/2014-01:05:00,68.86984479309176
09/10/2014-01:06:00,17.082326110236284
