Data-Ora,Consumo
10/10/2014-00:00:00,73.45643589449197
10/10/2014-00:01:00,73.12396405996606
10/10/2014-00:02:00,72.90051679948678
10/10/2014-00:03:00,72.56629971681275
10/10/2014-00:04:00,72.42435392495078
10/10/2014-00:05:00,72.23951148352783
10/10/2014-00:06:00,71.98103021249959
10/10/2014-00:07:00,71.83142004956775
10/10/2014-00:08:00,71.72462841242582
10/10/2014-00:09:00,71.47233275454772
10/10/2014-00:10:00,71.35123593575032
10/10/2014-00:11:00,71.05335897212241
10/10/2014-00:12:00,71.0235058509105
10/10/2014-00:13:00,70.79903810054854
10/10/2014-00:14:00,70.76210082109826
10/10/2014-00:15:00,70.57555306729438
10/10/2014-00:16:00,68.91479435471402
10/10/2014-00:17:00,67.43974203500825
10/10/2014-00:18:00,67.2899899091077
10/10/2014-00:19:00,67.10827517843516
10/10/2014-00:20:00,54.65721868515744
10/10/2014-00:21:00,9.491878551488195
10/10/2014-00:22:00,9.43990271787558
10/10/2014-00:23:00,9.441905103131509
10/10/2014-00:24:00,9.493995032531394
10/10/2014-00:25:00,9.355050594265103
10/10/2014-00:26:00,11.36287124075736
10/10/2014-00:27:00,12.30086793181198
10/10/2014-00:28:00,16.17179621823391
10/10/2014-00:29:00,61.32072350482477
10/10/2014-00:30:00,62.470408719259815
10/10/2014-00:31:00,65.06867208716174
10/10/2014-00:32:00,65.08826888698376
10/10/2014-00:33:00,64.33198185809098
10/10/2014-00:34:00,64.75032325732586
10/10/2014-00:35:00,63.23738250937359
10/10/2014-00:36:00,64.11866971602163
10/10/2014-00:37:00,64.62451973257359
10/10/2014-00:38:00,65.2363825095682
10/10/2014-00:39:00,64.8552658064455
10/10/2014-00:40:00,65.04140478898533
10/10/2014-00:41:00,67.98443618673757
10/10/2014-00:42:00,81.36152771255801
10/10/2014-00:43:00,107.99045866120716
10/10/2014-00:44:00,125.78821840082138
10/10/2014-00:45:00,129.49381311618103
10/10/2014-00:46:00,126.69108986392204
10/10/2014-00:47:00,125.97734657584589
10/10/2014-00:48:00,124.74027617077611
10/10/2014-00:49:00,124.67846758009512
10/10/2014-00:50:00,125.52515004448976
10/10/2014-00:51:00,128.20080165609593
10/10/2014-00:52:00,129.2705258525079
10/10/2014-00:53:00,130.3775619849907
10/10/2014-00:54:00,130.89388379891665
10/10/2014-00:55:00,131.72320365677322
10/10/2014-00:56:00,131.16201799858595
10/10/2014-00:57:00,128.4592862564636
10/10/2014-00:58:00,126.87978588821
10/10/2014-00:59:00,126.05873901030104
10/10/2014-01:00:00,125.21222650259304
10/10/2014-01:01:00,104.511853361719
10/10/2014-01:02:00,92.83557362480836
10/10/2014-01:03:00,92.4566593190666
10/10/2014-01:04:00,92.3804589651276
10/10/2014-01:05:00,92.19420721834776
10/10/2014-01:06:00,74.93946702717919
10/10/2014-01:07:00,67.57768325972896
10/10/2014-01:08:00,67.46902985080557
10/10/2014-01:09:00,67.24873400183533
10/10/2014-01:10:00,67.10136029253867
10/10/2014-01:11:00,66.9516079590236
10/10/2014-01:12:00,66.879891621936
10/10/2014-01:13:00,66.85052495147296
10/10/2014-01:14:00,66.66026908480323
10/10/2014-01:15:00,66.65602889641788
10/10/2014-01:16:00,69.17365828601146
10/10/2014-01:17:00,69.13291699454646
10/10/2014-01:18:00,68.9857312483854
10/10/2014-01:19:00,68.75759838785558
10/10/2014-01:20:00,68.76203257708381
10/10/2014-01:21:00,68.57760076909007
10/10/2014-01:22:00,25.234736582102823
10/10/2014-01:23:00,12.245278520362636
10/10/2014-01:24:00,12.383980555331709
10/10/2014-01:25:00,34.041314999909694
10/10/2014-01:26:00,12.239107882884516
