Data-Ora,Consumo
11/12/2013-00:00:00,31.249917348978087
11/12/2013-00:01:00,31.345896758950303
11/12/2013-00:02:00,31.3418616844383
11/12/2013-00:03:00,31.268264017441545
11/12/2013-00:04:00,31.192868404688376
11/12/2013-00:05:00,31.41729276669474
11/12/2013-00:06:00,31.214856933558657
11/12/2013-00:07:00,31.308469739709444
11/12/2013-00:08:00,32.45019309351977
11/12/2013-00:09:00,49.03994217103619
11/12/2013-00:10:00,72.82858683953464
11/12/2013-00:11:00,91.23954357387312
11/12/2013-00:12:00,100.38348265990945
11/12/2013-00:13:00,100.1437246075732
11/12/2013-00:14:00,100.19724666952854
11/12/2013-00:15:00,100.19924388928136
11/12/2013-00:16:00,100.3425465021012
11/12/2013-00:17:00,100.22300340048514
11/12/2013-00:18:00,100.46274866077452
11/12/2013-00:19:00,104.28372866785416
11/12/2013-00:20:00,106.88954592971508
11/12/2013-00:21:00,108.6199316387738
11/12/2013-00:22:00,105.19321447322308
11/12/2013-00:23:00,97.83737434017957
11/12/2013-00:24:00,95.5094811893728
11/12/2013-00:25:00,92.57895078253068
11/12/2013-00:26:00,90.89996389393636
11/12/2013-00:27:00,89.49254138938187
11/12/2013-00:28:00,88.8228933613799
11/12/2013-00:29:00,88.37208083192422
11/12/2013-00:30:00,87.77491102192991
11/12/2013-00:31:00,87.37706841318419
11/12/2013-00:32:00,60.41350062683574
11/12/2013-00:33:00,21.701929289728785
11/12/2013-00:34:00,21.5115400125122
11/12/2013-00:35:00,21.62142185476392
11/12/2013-00:36:00,21.575733216273075
11/12/2013-00:37:00,21.622274357717256
11/12/2013-00:38:00,21.70247565071336
11/12/2013-00:39:00,21.742734231973685
11/12/2013-00:40:00,21.701631801624792
11/12/2013-00:41:00,21.66111709306261
11/12/2013-00:42:00,21.65836193700996
11/12/2013-00:43:00,21.815080094063955
11/12/2013-00:44:00,21.59018710732604
11/12/2013-00:45:00,21.74022207557618
11/12/2013-00:46:00,21.621734656259378
11/12/2013-00:47:00,21.667160562734924
11/12/2013-00:48:00,21.517869794881
11/12/2013-00:49:00,21.69992690447286
11/12/2013-00:50:00,21.554184274136112
11/12/2013-00:51:00,21.513696054372904
11/12/2013-00:52:00,21.59112435638215
11/12/2013-00:53:00,21.517556993385544
11/12/2013-00:54:00,21.59360851312978
11/12/2013-00:55:00,29.17916989082226
11/12/2013-00:56:00,51.443637089702335
11/12/2013-00:57:00,72.70941021452005
11/12/2013-00:58:00,88.19511041919776
11/12/2013-00:59:00,90.62182256436344
11/12/2013-01:00:00,90.44800899813951
11/12/2013-01:01:00,90.48039357109154
11/12/2013-01:02:00,90.4374211945807
11/12/2013-01:03:00,90.4437542987815
11/12/2013-01:04:00,90.3671024549338
11/12/2013-01:05:00,90.294781330031
11/12/2013-01:06:00,89.99990620604567
11/12/2013-01:07:00,89.99524801738676
11/12/2013-01:08:00,89.7500612030615
11/12/2013-01:09:00,89.65573409388219
11/12/2013-01:10:00,93.13905198984804
11/12/2013-01:11:00,95.90944792337736
11/12/2013-01:12:00,95.24614361459804
11/12/2013-01:13:00,96.33998798660537
11/12/2013-01:14:00,97.23917280530974
11/12/2013-01:15:00,68.4612508856514
11/12/2013-01:16:00,18.71973043199681
11/12/2013-01:17:00,18.71490344252193
11/12/2013-01:18:00,18.61869800014324
11/12/2013-01:19:00,18.72155728074678
11/12/2013-01:20:00,18.633301400004587
11/12/2013-01:21:00,19.2237202206868
11/12/2013-01:22:00,21.40864731922536
11/12/2013-01:23:00,21.40736234963836
11/12/2013-01:24:00,21.364056405221785
11/12/2013-01:25:00,21.36409248502352
11/12/2013-01:26:00,21.51847846575135
11/12/2013-01:27:00,21.44044149287176
11/12/2013-01:28:00,21.330246849124578
11/12/2013-01:29:00,21.479537616978494
11/12/2013-01:30:00,21.399327670117625
11/12/2013-01:31:00,21.40383842624268
11/12/2013-01:32:00,21.51940125569984
11/12/2013-01:33:00,21.36223393126681
11/12/2013-01:34:00,21.4392171309031
11/12/2013-01:35:00,28.198562038031582
11/12/2013-01:36:00,50.69640987864972
11/12/2013-01:37:00,71.97095443188189
11/12/2013-01:38:00,87.93754802866695
11/12/2013-01:39:00,91.68578164556492
11/12/2013-01:40:00,91.5527905478008
11/12/2013-01:41:00,91.5102846293902
11/12/2013-01:42:00,91.34028498932896
11/12/2013-01:43:00,91.37026610942334
11/12/2013-01:44:00,90.99411093454144
11/12/2013-01:45:00,91.00089850528305
11/12/2013-01:46:00,90.55163375577727
11/12/2013-01:47:00,90.3329440175394
11/12/2013-01:48:00,89.99448954927576
11/12/2013-01:49:00,89.9281920489103
11/12/2013-01:50:00,89.74535813086939
11/12/2013-01:51:00,89.37227845568935
11/12/2013-01:52:00,89.18759413458294
11/12/2013-01:53:00,88.85100071145001
11/12/2013-01:54:00,47.258277720479946
11/12/2013-01:55:00,21.63270463723652
11/12/2013-01:56:00,21.51970875547504
11/12/2013-01:57:00,21.36044601967799
11/12/2013-01:58:00,21.25266489051055
11/12/2013-01:59:00,21.365011272944773
11/12/2013-02:00:00,21.375667784104905
11/12/2013-02:01:00,19.670086513214816
11/12/2013-02:02:00,18.5989895136199
11/12/2013-02:03:00,18.628346545787235
11/12/2013-02:04:00,18.596971607358007
11/12/2013-02:05:00,18.711340199227788
11/12/2013-02:06:00,18.63502181816248
11/12/2013-02:07:00,18.671931066011087
11/12/2013-02:08:00,18.67441543037322
11/12/2013-02:09:00,18.693237729390013
11/12/2013-02:10:00,18.7739907137929
11/12/2013-02:11:00,20.57751803072055
11/12/2013-02:12:00,21.335640758667605
11/12/2013-02:13:00,21.371840575790944
11/12/2013-02:14:00,21.77738846366788
11/12/2013-02:15:00,21.480929712634968
11/12/2013-02:16:00,21.48120860112796
11/12/2013-02:17:00,24.01169036935448
11/12/2013-02:18:00,48.45342981384675
11/12/2013-02:19:00,73.10969795242208
11/12/2013-02:20:00,91.0639203251897
11/12/2013-02:21:00,97.60945301601272
11/12/2013-02:22:00,99.230479709333
11/12/2013-02:23:00,100.08218669241916
11/12/2013-02:24:00,100.93250941740725
11/12/2013-02:25:00,101.91972113200562
11/12/2013-02:26:00,99.74899522432064
11/12/2013-02:27:00,96.8690309229601
11/12/2013-02:28:00,95.11384632831546
11/12/2013-02:29:00,94.09560689085504
11/12/2013-02:30:00,93.14014533685356
11/12/2013-02:31:00,92.62025392514624
11/12/2013-02:32:00,92.21826963747154
11/12/2013-02:33:00,91.64740679157572
11/12/2013-02:34:00,91.36733028756908
11/12/2013-02:35:00,91.07261266241838
11/12/2013-02:36:00,90.63781520504769
11/12/2013-02:37:00,90.2221337362973
11/12/2013-02:38:00,89.96543828898778
11/12/2013-02:39:00,89.66932514254135
11/12/2013-02:40:00,75.11621367576439
11/12/2013-02:41:00,21.403958043620403
11/12/2013-02:42:00,21.442146390023687
11/12/2013-02:43:00,21.59221641747331
11/12/2013-02:44:00,21.55662268034009
11/12/2013-02:45:00,21.628730770947
11/12/2013-02:46:00,21.55815728725293
11/12/2013-02:47:00,21.55638490885673
11/12/2013-02:48:00,21.44492803487532
11/12/2013-02:49:00,21.5903578637166
11/12/2013-02:50:00,21.33626341476892
11/12/2013-02:51:00,18.7353915590349
11/12/2013-02:52:00,18.68782695175845
11/12/2013-02:53:00,18.812443444679182
11/12/2013-02:54:00,18.633614409114543
11/12/2013-02:55:00,18.71104271112379
11/12/2013-02:56:00,18.71568290973213
11/12/2013-02:57:00,18.60362971222824
11/12/2013-02:58:00,18.49127902662035
11/12/2013-02:59:00,18.588505756440984
11/12/2013-03:00:00,18.96670168658503
11/12/2013-03:01:00,21.37382951523488
11/12/2013-03:02:00,21.37167347337417
11/12/2013-03:03:00,22.84957991063676
11/12/2013-03:04:00,39.031284361760456
11/12/2013-03:05:00,65.26246238267483
