Data-Ora,Consumo
12/12/2013-00:00:00,120.1661031549072
12/12/2013-00:01:00,121.21929853553478
12/12/2013-00:02:00,121.55461585830832
12/12/2013-00:03:00,133.10579350665213
12/12/2013-00:04:00,120.02348429868694
12/12/2013-00:05:00,116.58375048194796
12/12/2013-00:06:00,124.9866371479734
12/12/2013-00:07:00,113.52244161713448
12/12/2013-00:08:00,112.4845554419291
12/12/2013-00:09:00,122.85121708467038
12/12/2013-00:10:00,111.15423071181225
12/12/2013-00:11:00,110.858784441417
12/12/2013-00:12:00,120.56762129656062
12/12/2013-00:13:00,109.67545833407114
12/12/2013-00:14:00,109.494476285709
12/12/2013-00:15:00,119.66077495340274
12/12/2013-00:16:00,112.15108380189793
12/12/2013-00:17:00,108.55428829661255
12/12/2013-00:18:00,117.1284804907468
12/12/2013-00:19:00,105.05781263213174
12/12/2013-00:20:00,105.2145407324616
12/12/2013-00:21:00,114.97139998627972
12/12/2013-00:22:00,104.52311291288736
12/12/2013-00:23:00,100.29534126741324
12/12/2013-00:24:00,115.889411997699
12/12/2013-00:25:00,109.93669211433216
12/12/2013-00:26:00,95.14651579668718
12/12/2013-00:27:00,92.85006998241302
12/12/2013-00:28:00,93.43902712069746
12/12/2013-00:29:00,95.25066903019568
12/12/2013-00:30:00,94.99193591088206
12/12/2013-00:31:00,94.73026800778672
12/12/2013-00:32:00,94.73402683759451
12/12/2013-00:33:00,94.54882711966754
12/12/2013-00:34:00,94.43598020449386
12/12/2013-00:35:00,94.2438364059787
12/12/2013-00:36:00,94.05984269078834
12/12/2013-00:37:00,93.819344878055
12/12/2013-00:38:00,93.68416897489728
12/12/2013-00:39:00,93.54331952017418
12/12/2013-00:40:00,93.62495487710191
12/12/2013-00:41:00,93.6831931949334
12/12/2013-00:42:00,93.74485192131483
12/12/2013-00:43:00,93.60680758243512
12/12/2013-00:44:00,93.53075691800824
12/12/2013-00:45:00,93.57107401268236
12/12/2013-00:46:00,93.41307830010706
12/12/2013-00:47:00,93.34524590371048
12/12/2013-00:48:00,172.25462149922276
12/12/2013-00:49:00,257.56759690367977
12/12/2013-00:50:00,256.7990963869585
12/12/2013-00:51:00,255.6479297948188
12/12/2013-00:52:00,255.6504197873493
12/12/2013-00:53:00,255.3570290860304
12/12/2013-00:54:00,254.8379754889247
12/12/2013-00:55:00,254.09969187243289
12/12/2013-00:56:00,253.1340906230536
12/12/2013-00:57:00,251.294698510204
12/12/2013-00:58:00,250.851719134054
12/12/2013-00:59:00,250.7329220920976
12/12/2013-01:00:00,250.1868142120444
12/12/2013-01:01:00,252.3753222154553
12/12/2013-01:02:00,252.91842939882736
12/12/2013-01:03:00,252.8779304869174
12/12/2013-01:04:00,252.8818021180768
12/12/2013-01:05:00,252.55156280078543
12/12/2013-01:06:00,252.4711029771279
12/12/2013-01:07:00,252.53977995752288
12/12/2013-01:08:00,250.2559398451932
12/12/2013-01:09:00,249.65163078809647
12/12/2013-01:10:00,270.93827532604973
12/12/2013-01:11:00,289.23269119122097
12/12/2013-01:12:00,334.88873821774393
12/12/2013-01:13:00,336.22559220564443
12/12/2013-01:14:00,1798.5183528399627
12/12/2013-01:15:00,1941.522164626304
12/12/2013-01:16:00,1929.6685916261456
12/12/2013-01:17:00,1971.4617822782143
12/12/2013-01:18:00,1999.5976717789315
12/12/2013-01:19:00,2033.2752403254144
12/12/2013-01:20:00,2056.171480349933
12/12/2013-01:21:00,2058.855921688559
12/12/2013-01:22:00,2071.145908319927
12/12/2013-01:23:00,2049.6869707550413
12/12/2013-01:24:00,2053.7891319849987
12/12/2013-01:25:00,2042.4063041858224
12/12/2013-01:26:00,2051.893109111044
12/12/2013-01:27:00,359.47354665908034
12/12/2013-01:28:00,232.6774507226741
12/12/2013-01:29:00,232.7208973499821
12/12/2013-01:30:00,221.99140365238247
12/12/2013-01:31:00,231.3738592088346
12/12/2013-01:32:00,221.8368523202719
12/12/2013-01:33:00,233.6742596980412
12/12/2013-01:34:00,226.5922657879699
12/12/2013-01:35:00,238.1570555666949
12/12/2013-01:36:00,227.42362713672043
12/12/2013-01:37:00,234.24105476052185
12/12/2013-01:38:00,235.18611439552103
12/12/2013-01:39:00,224.7463397609262
12/12/2013-01:40:00,240.4172224441888
12/12/2013-01:41:00,222.15469391977868
12/12/2013-01:42:00,228.21515388126903
12/12/2013-01:43:00,219.9990257085688
12/12/2013-01:44:00,224.4040639631979
12/12/2013-01:45:00,218.11042591025188
12/12/2013-01:46:00,218.10564923488656
12/12/2013-01:47:00,220.95341033217304
12/12/2013-01:48:00,211.0503038969688
12/12/2013-01:49:00,223.26898349720312
12/12/2013-01:50:00,212.6491379453588
12/12/2013-01:51:00,221.2695521971779
12/12/2013-01:52:00,211.907976833192
12/12/2013-01:53:00,220.02146192528488
12/12/2013-01:54:00,210.6578182634697
12/12/2013-01:55:00,214.17911346305883
12/12/2013-01:56:00,217.46056606100893
12/12/2013-01:57:00,164.7252990792065
12/12/2013-01:58:00,98.68331211414696
12/12/2013-01:59:00,98.22203526648347
12/12/2013-02:00:00,84.61682011878385
12/12/2013-02:01:00,134.82770786980913
12/12/2013-02:02:00,144.11453764073067
12/12/2013-02:03:00,141.0265835892448
12/12/2013-02:04:00,135.10799356551013
12/12/2013-02:05:00,139.1143268776211
12/12/2013-02:06:00,133.43189371493628
12/12/2013-02:07:00,151.83309213193826
12/12/2013-02:08:00,144.05002262956333
12/12/2013-02:09:00,145.96187819213156
12/12/2013-02:10:00,135.88891903947402
12/12/2013-02:11:00,146.86618129822864
12/12/2013-02:12:00,138.91476019322766
12/12/2013-02:13:00,147.08973180616783
12/12/2013-02:14:00,138.2657626063827
12/12/2013-02:15:00,148.88848522941743
12/12/2013-02:16:00,133.31680284434486
12/12/2013-02:17:00,141.6173098178805
12/12/2013-02:18:00,147.82118693140035
12/12/2013-02:19:00,138.75922576072423
12/12/2013-02:20:00,159.57248457374322
12/12/2013-02:21:00,139.84316375953657
12/12/2013-02:22:00,147.47138799052394
12/12/2013-02:23:00,144.89092527711773
12/12/2013-02:24:00,175.7437614724643
12/12/2013-02:25:00,197.25451375550224
12/12/2013-02:26:00,218.625309634639
12/12/2013-02:27:00,224.71307538035103
12/12/2013-02:28:00,218.4003135499545
12/12/2013-02:29:00,228.95115563069515
12/12/2013-02:30:00,219.3143155270925
12/12/2013-02:31:00,228.44389057543177
12/12/2013-02:32:00,222.6774205691488
12/12/2013-02:33:00,228.9778561535357
12/12/2013-02:34:00,221.6060163832488
12/12/2013-02:35:00,220.70666752234808
12/12/2013-02:36:00,220.6466621636748
12/12/2013-02:37:00,172.1278992919825
12/12/2013-02:38:00,173.7561349588872
12/12/2013-02:39:00,185.0887825074936
12/12/2013-02:40:00,159.2372113558035
