Data-Ora,Consumo
15/12/2013-00:00:00,127.92629949470216
15/12/2013-00:01:00,137.93508572783202
15/12/2013-00:02:00,127.62473677173362
15/12/2013-00:03:00,127.7107345030498
15/12/2013-00:04:00,137.76224442703793
15/12/2013-00:05:00,127.40270692331572
15/12/2013-00:06:00,127.36518815545011
15/12/2013-00:07:00,137.7508631657566
15/12/2013-00:08:00,125.15292736600314
15/12/2013-00:09:00,124.9002934576444
15/12/2013-00:10:00,124.09104612415815
15/12/2013-00:11:00,122.01800158563697
15/12/2013-00:12:00,118.43021670110215
15/12/2013-00:13:00,125.95088829147052
15/12/2013-00:14:00,115.31370206864004
15/12/2013-00:15:00,112.7515728082566
15/12/2013-00:16:00,111.85875104148862
15/12/2013-00:17:00,110.96792944106149
15/12/2013-00:18:00,112.67135788311684
15/12/2013-00:19:00,115.31065455709258
15/12/2013-00:20:00,111.52515973345956
15/12/2013-00:21:00,110.50700412073571
15/12/2013-00:22:00,120.11047662110435
15/12/2013-00:23:00,109.30899092761511
15/12/2013-00:24:00,109.30492170825782
15/12/2013-00:25:00,118.98004182717573
15/12/2013-00:26:00,108.82930504522106
15/12/2013-00:27:00,118.79752721284544
15/12/2013-00:28:00,108.28863774862138
15/12/2013-00:29:00,108.15054636651512
15/12/2013-00:30:00,118.06572579670764
15/12/2013-00:31:00,107.30707011745233
15/12/2013-00:32:00,106.94373704383392
15/12/2013-00:33:00,114.01606009229756
15/12/2013-00:34:00,96.2032099440097
15/12/2013-00:35:00,84.08981198362014
15/12/2013-00:36:00,31.40120625667561
15/12/2013-00:37:00,31.29146992347688
15/12/2013-00:38:00,31.36425468129321
15/12/2013-00:39:00,31.29116242370168
15/12/2013-00:40:00,46.84650920189038
15/12/2013-00:41:00,31.566737513936225
15/12/2013-00:42:00,31.345896758950303
15/12/2013-00:43:00,31.38234990420151
15/12/2013-00:44:00,31.343725403698134
15/12/2013-00:45:00,31.361904133356383
15/12/2013-00:46:00,31.15775140669578
15/12/2013-00:47:00,49.61570796620274
15/12/2013-00:48:00,192.93197614603977
15/12/2013-00:49:00,198.96969424870545
15/12/2013-00:50:00,196.46519198967871
15/12/2013-00:51:00,175.07398457402823
15/12/2013-00:52:00,21.329616986236896
15/12/2013-00:53:00,21.437659848020125
15/12/2013-00:54:00,21.473828484270136
15/12/2013-00:55:00,33.11041078276308
15/12/2013-00:56:00,21.80968834730557
15/12/2013-00:57:00,20.59392770003551
15/12/2013-00:58:00,18.71104271112379
15/12/2013-00:59:00,20.95403681028893
15/12/2013-01:00:00,44.39223752357037
15/12/2013-01:01:00,68.53591259371892
15/12/2013-01:02:00,80.79964333794983
15/12/2013-01:03:00,88.89102537835439
15/12/2013-01:04:00,88.4144009246589
15/12/2013-01:05:00,88.19212921814587
15/12/2013-01:06:00,88.07855443681487
15/12/2013-01:07:00,88.48920278067008
15/12/2013-01:08:00,89.59544662410535
15/12/2013-01:09:00,89.16742014960474
15/12/2013-01:10:00,15.636275978504315
15/12/2013-01:11:00,12.051106272591165
15/12/2013-01:12:00,11.99155161168006
15/12/2013-01:13:00,70.48493655445844
15/12/2013-01:14:00,91.29191594714622
15/12/2013-01:15:00,89.69489351892145
15/12/2013-01:16:00,88.5953737975691
15/12/2013-01:17:00,119.02978033055788
15/12/2013-01:18:00,1281.2909279288417
15/12/2013-01:19:00,1281.803436172872
15/12/2013-01:20:00,1283.135462465896
15/12/2013-01:21:00,1284.3540575284076
15/12/2013-01:22:00,1287.2173267645787
15/12/2013-01:23:00,374.9664432482872
15/12/2013-01:24:00,85.51546897362019
15/12/2013-01:25:00,85.12068088394346
15/12/2013-01:26:00,84.99992018364912
15/12/2013-01:27:00,84.86303845136739
15/12/2013-01:28:00,84.23788696840772
15/12/2013-01:29:00,84.23248636654
15/12/2013-01:30:00,84.09308556021307
15/12/2013-01:31:00,37.15265137079873
15/12/2013-01:32:00,21.224496869329748
15/12/2013-01:33:00,21.34600852219621
15/12/2013-01:34:00,21.2409192918019
15/12/2013-01:35:00,21.362149663211365
15/12/2013-01:36:00,21.40677970862998
15/12/2013-01:37:00,22.63276899818689
15/12/2013-01:38:00,34.12677711473593
15/12/2013-01:39:00,31.065140896583102
15/12/2013-01:40:00,30.937362119201417
15/12/2013-01:41:00,31.000361036475145
15/12/2013-01:42:00,31.03867325252807
15/12/2013-01:43:00,30.83646097582686
15/12/2013-01:44:00,30.994324459134063
15/12/2013-01:45:00,31.06499979785024
15/12/2013-01:46:00,30.781431214335257
15/12/2013-01:47:00,28.87351197798175
15/12/2013-01:48:00,28.35327497919323
15/12/2013-01:49:00,28.16530355482357
15/12/2013-01:50:00,34.116107762649364
15/12/2013-01:51:00,28.65093245717566
15/12/2013-01:52:00,28.27953327308276
15/12/2013-01:53:00,28.311493867318696
15/12/2013-01:54:00,28.20378918171636
15/12/2013-01:55:00,28.27953327308276
15/12/2013-01:56:00,28.16982040082728
15/12/2013-01:57:00,30.237520158926248
15/12/2013-01:58:00,30.678486997199773
15/12/2013-01:59:00,30.82934399620953
15/12/2013-02:00:00,39.54558428714601
15/12/2013-02:01:00,60.383139220335785
15/12/2013-02:02:00,80.5080244619413
15/12/2013-02:03:00,95.0768419669025
15/12/2013-02:04:00,96.47082762044182
15/12/2013-02:05:00,107.21669425806186
15/12/2013-02:06:00,94.31580106435544
15/12/2013-02:07:00,95.0285598549407
15/12/2013-02:08:00,97.35744729068767
15/12/2013-02:09:00,102.59287811788928
15/12/2013-02:10:00,105.37056741286248
15/12/2013-02:11:00,106.76081999885996
15/12/2013-02:12:00,107.73571832013056
15/12/2013-02:13:00,108.28993784101992
15/12/2013-02:14:00,108.06116892483809
15/12/2013-02:15:00,104.0522521350062
15/12/2013-02:16:00,101.1643343748596
15/12/2013-02:17:00,99.37779143858512
15/12/2013-02:18:00,98.18917113897018
15/12/2013-02:19:00,97.51829250327742
15/12/2013-02:20:00,96.8395394462577
15/12/2013-02:21:00,96.43123557819104
15/12/2013-02:22:00,95.94922674406357
15/12/2013-02:23:00,95.48933503223122
15/12/2013-02:24:00,95.31176056649896
15/12/2013-02:25:00,94.81028062680392
15/12/2013-02:26:00,94.51139388427262
15/12/2013-02:27:00,94.1304478149376
15/12/2013-02:28:00,93.9958745508858
15/12/2013-02:29:00,93.77149449685888
15/12/2013-02:30:00,93.38484803435271
15/12/2013-02:31:00,93.1382842087318
15/12/2013-02:32:00,40.54513144724318
15/12/2013-02:33:00,30.87198077922016
15/12/2013-02:34:00,31.05376319271277
15/12/2013-02:35:00,30.927071549744635
15/12/2013-02:36:00,30.38094941096113
15/12/2013-02:37:00,28.25121821145961
15/12/2013-02:38:00,28.275498406185253
15/12/2013-02:39:00,28.433645393500864
15/12/2013-02:40:00,28.318331909085497
